Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,East,(Sat) 8 Mar 2014 (W9),Seattle Sounders FC (1),1-0,?,Sporting Kansas City (1),,
Regular,?,East,East,(Sat) 8 Mar 2014 (W9),D.C. United (1),0-3,?,Columbus Crew SC (1),,
Regular,?,West,East,(Sat) 8 Mar 2014 (W9),Vancouver Whitecaps FC (1),4-1,?,New York Red Bulls (1),,
Regular,?,East,East,(Sat) 8 Mar 2014 (W9),Houston Dynamo (1),4-0,?,New England Revolution (1),,
Regular,?,West,East,(Sat) 8 Mar 2014 (W9),FC Dallas (1),3-2,?,Montreal Impact (1),,
Regular,?,West,West,(Sun) 9 Mar 2014 (W9),LA Galaxy (1),0-1,?,Real Salt Lake (1),,
Regular,?,West,East,(Sun) 9 Mar 2014 (W9),Portland Timbers (1),1-1,?,Philadelphia Union (1),,
Regular,?,West,East,(Sun) 9 Mar 2014 (W9),CD Chivas USA (1),3-2,?,Chicago Fire (1),,
Regular,?,East,West,(Sat) 15 Mar 2014 (W10),New York Red Bulls (2),1-1,?,Colorado Rapids (1),,
Regular,?,East,East,(Sat) 15 Mar 2014 (W10),Philadelphia Union (2),1-0,?,New England Revolution (2),,
Regular,?,West,East,(Sat) 15 Mar 2014 (W10),Seattle Sounders FC (2),1-2,?,Toronto FC (1),,
Regular,?,East,West,(Sat) 15 Mar 2014 (W10),Sporting Kansas City (2),1-1,?,FC Dallas (2),,
Regular,?,East,East,(Sat) 15 Mar 2014 (W10),Houston Dynamo (2),1-0,?,Montreal Impact (2),,
Regular,?,West,West,(Sun) 16 Mar 2014 (W10),San Jose Earthquakes (1),3-3,?,Real Salt Lake (2),,
Regular,?,West,East,(Sun) 16 Mar 2014 (W10),Portland Timbers (2),1-1,?,Chicago Fire (2),,
Regular,?,West,West,(Sun) 16 Mar 2014 (W10),CD Chivas USA (2),1-1,?,Vancouver Whitecaps FC (2),,
Regular,?,East,West,(Sat) 22 Mar 2014 (W11),New England Revolution (3),0-0,?,Vancouver Whitecaps FC (3),,
Regular,?,West,West,(Sat) 22 Mar 2014 (W11),Real Salt Lake (3),1-1,?,LA Galaxy (2),,
Regular,?,East,East,(Sat) 22 Mar 2014 (W11),Toronto FC (2),1-0,?,D.C. United (2),,
Regular,?,West,West,(Sat) 22 Mar 2014 (W11),Colorado Rapids (2),2-0,?,Portland Timbers (3),,
Regular,?,East,East,(Sat) 22 Mar 2014 (W11),Columbus Crew SC (2),2-1,?,Philadelphia Union (3),,
Regular,?,East,West,(Sat) 22 Mar 2014 (W11),Sporting Kansas City (3),1-0,?,San Jose Earthquakes (2),,
Regular,?,West,West,(Sat) 22 Mar 2014 (W11),FC Dallas (3),3-1,?,CD Chivas USA (3),,
Regular,?,East,East,(Sun) 23 Mar 2014 (W11),Chicago Fire (3),1-1,?,New York Red Bulls (3),,
Regular,?,East,West,(Sun) 23 Mar 2014 (W11),Montreal Impact (3),0-2,?,Seattle Sounders FC (3),,
Regular,?,East,East,(Sat) 29 Mar 2014 (W12),Philadelphia Union (4),1-1,?,Montreal Impact (4),,
Regular,?,East,East,(Sat) 29 Mar 2014 (W12),D.C. United (3),2-2,?,Chicago Fire (4),,
Regular,?,West,East,(Sat) 29 Mar 2014 (W12),Colorado Rapids (3),2-3,?,Sporting Kansas City (4),,
Regular,?,West,East,(Sat) 29 Mar 2014 (W12),Vancouver Whitecaps FC (4),2-1,?,Houston Dynamo (3),,
Regular,?,West,West,(Sat) 29 Mar 2014 (W12),FC Dallas (4),2-1,?,Portland Timbers (4),,
Regular,?,West,East,(Sat) 29 Mar 2014 (W12),Real Salt Lake (4),3-0,?,Toronto FC (3),,
Regular,?,West,East,(Sun) 30 Mar 2014 (W12),Seattle Sounders FC (4),1-2,?,Columbus Crew SC (3),,
Regular,?,West,East,(Sun) 30 Mar 2014 (W12),San Jose Earthquakes (3),1-2,?,New England Revolution (4),,
Regular,?,East,West,(Sun) 30 Mar 2014 (W12),New York Red Bulls (4),1-1,?,CD Chivas USA (4),,
Regular,?,West,West,(Sat) 5 Apr 2014 (W13),Portland Timbers (5),4-4,?,Seattle Sounders FC (5),,
Regular,?,East,East,(Sat) 5 Apr 2014 (W13),Montreal Impact (5),2-2,?,New York Red Bulls (5),,
Regular,?,East,East,(Sat) 5 Apr 2014 (W13),Chicago Fire (5),2-2,?,Philadelphia Union (5),,
Regular,?,East,East,(Sat) 5 Apr 2014 (W13),Columbus Crew SC (4),0-2,?,Toronto FC (4),,
Regular,?,West,West,(Sat) 5 Apr 2014 (W13),Vancouver Whitecaps FC (5),1-2,?,Colorado Rapids (4),,
Regular,?,East,East,(Sat) 5 Apr 2014 (W13),D.C. United (4),2-0,?,New England Revolution (5),,
Regular,?,East,West,(Sat) 5 Apr 2014 (W13),Houston Dynamo (4),1-4,?,FC Dallas (5),,
Regular,?,East,West,(Sat) 5 Apr 2014 (W13),Sporting Kansas City (5),0-0,?,Real Salt Lake (5),,
Regular,?,West,West,(Sun) 6 Apr 2014 (W13),CD Chivas USA (5),0-3,?,LA Galaxy (3),,
Regular,?,East,West,(Sat) 12 Apr 2014 (W14),Philadelphia Union (6),2-2,?,Real Salt Lake (6),,
Regular,?,East,East,(Sat) 12 Apr 2014 (W14),Montreal Impact (6),1-1,?,Chicago Fire (6),,
Regular,?,East,West,(Sat) 12 Apr 2014 (W14),Toronto FC (5),0-1,?,Colorado Rapids (5),,
Regular,?,East,East,(Sat) 12 Apr 2014 (W14),New England Revolution (6),2-0,?,Houston Dynamo (5),,
Regular,?,East,East,(Sat) 12 Apr 2014 (W14),D.C. United (5),1-0,?,New York Red Bulls (6),,
Regular,?,West,West,(Sat) 12 Apr 2014 (W14),FC Dallas (6),2-3,?,Seattle Sounders FC (6),,
Regular,?,West,West,(Sun) 13 Apr 2014 (W14),Portland Timbers (6),1-1,?,CD Chivas USA (6),,
Regular,?,West,West,(Sun) 13 Apr 2014 (W14),LA Galaxy (4),1-0,?,Vancouver Whitecaps FC (6),,
Regular,?,West,East,(Sun) 13 Apr 2014 (W14),San Jose Earthquakes (4),1-1,?,Columbus Crew SC (5),,
Regular,?,East,East,(Wed) 16 Apr 2014 (W15),New York Red Bulls (7),2-1,?,Philadelphia Union (7),,
Regular,?,East,East,(Sat) 19 Apr 2014 (W15),Philadelphia Union (8),0-0,?,Houston Dynamo (6),,
Regular,?,East,East,(Sat) 19 Apr 2014 (W15),Chicago Fire (7),1-1,?,New England Revolution (7),,
Regular,?,West,West,(Sat) 19 Apr 2014 (W15),Colorado Rapids (6),0-0,?,San Jose Earthquakes (5),,
Regular,?,West,West,(Sat) 19 Apr 2014 (W15),Vancouver Whitecaps FC (7),2-2,?,LA Galaxy (5),,
Regular,?,East,East,(Sat) 19 Apr 2014 (W15),Columbus Crew SC (6),1-1,?,D.C. United (6),,
