Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,East,East,(Sat) 14 Mar 1998 (W10),Miami Fusion (1),0-2,?,D.C. United (1),,
Regular,?,East,West,(Fri) 20 Mar 1998 (W11),D.C. United (2),3-2,?,Sporting Kansas City (1),,
Regular,?,West,West,(Fri) 20 Mar 1998 (W11),FC Dallas (1),2-1,?,Colorado Rapids (1),,
Regular,?,West,West,(Fri) 20 Mar 1998 (W11),LA Galaxy (1),4-3,?,San Jose Earthquakes (1),,
Regular,?,East,West,(Fri) 20 Mar 1998 (W11),Miami Fusion (2),0-2,?,Chicago Fire (1),,
Regular,?,East,East,(Fri) 20 Mar 1998 (W11),Tampa Bay Mutiny (1),1-2,?,Columbus Crew SC (1),,
Regular,?,East,East,(Wed) 25 Mar 1998 (W12),Tampa Bay Mutiny (2),0-1,?,Miami Fusion (3),,
Regular,?,West,West,(Fri) 27 Mar 1998 (W12),San Jose Earthquakes (2),2-3,?,Colorado Rapids (2),,
Regular,?,West,East,(Fri) 27 Mar 1998 (W12),LA Galaxy (2),3-2,?,New York Red Bulls (1),,
Regular,?,East,East,(Sat) 28 Mar 1998 (W12),D.C. United (3),2-1,?,New England Revolution (1),,
Regular,?,West,East,(Sat) 28 Mar 1998 (W12),FC Dallas (2),2-1,?,Columbus Crew SC (2),,
Regular,?,West,East,(Fri) 3 Apr 1998 (W13),Chicago Fire (2),2-0,?,Tampa Bay Mutiny (3),,
Regular,?,West,West,(Fri) 3 Apr 1998 (W13),Colorado Rapids (3),0-1,?,LA Galaxy (3),,
Regular,?,East,East,(Fri) 3 Apr 1998 (W13),Columbus Crew SC (3),2-1,?,D.C. United (4),,
Regular,?,East,East,(Fri) 3 Apr 1998 (W13),Miami Fusion (4),2-1,?,New England Revolution (2),,
Regular,?,West,East,(Fri) 3 Apr 1998 (W13),Sporting Kansas City (2),2-0,?,New York Red Bulls (2),,
Regular,?,West,West,(Sat) 4 Apr 1998 (W13),San Jose Earthquakes (3),2-3,?,FC Dallas (3),,
Regular,?,West,West,(Tue) 7 Apr 1998 (W14),Sporting Kansas City (3),1-0,?,Chicago Fire (3),,
Regular,?,East,East,(Fri) 10 Apr 1998 (W14),Columbus Crew SC (4),3-2,?,New England Revolution (3),,
Regular,?,East,West,(Fri) 10 Apr 1998 (W14),D.C. United (5),4-3,?,Colorado Rapids (4),,
Regular,?,West,West,(Fri) 10 Apr 1998 (W14),San Jose Earthquakes (4),1-0,?,Chicago Fire (4),,
Regular,?,East,West,(Fri) 10 Apr 1998 (W14),Miami Fusion (5),2-1,?,Sporting Kansas City (4),,
