Stage,Round,Leg,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,,East,West,(Fri) 7 Apr 2000 (W14),Miami Fusion (4),0-0,?,Sporting Kansas City (3),,
Regular,?,,Central,East,(Fri) 14 Apr 2000 (W15),Chicago Fire (5),1-0,?,Miami Fusion (5),,
Regular,?,,West,Central,(Fri) 14 Apr 2000 (W15),LA Galaxy (5),2-1,?,FC Dallas (5),,
Regular,?,,Central,West,(Fri) 14 Apr 2000 (W15),Tampa Bay Mutiny (5),4-2,?,Colorado Rapids (5),,
Regular,?,,East,East,(Fri) 14 Apr 2000 (W15),New England Revolution (5),2-1,?,D.C. United (4),,
Regular,?,,East,Central,(Fri) 14 Apr 2000 (W15),New York Red Bulls (4),0-1,?,Columbus Crew SC (5),,
Regular,?,,West,West,(Fri) 14 Apr 2000 (W15),Sporting Kansas City (4),2-0,?,San Jose Earthquakes (4),,
Regular,?,,East,West,(Tue) 18 Apr 2000 (W16),New York Red Bulls (5),1-2,?,Sporting Kansas City (5),,
Regular,?,,Central,West,(Fri) 21 Apr 2000 (W16),Columbus Crew SC (6),2-3,?,Colorado Rapids (6),,
Regular,?,,East,East,(Fri) 21 Apr 2000 (W16),D.C. United (5),2-3,?,New York Red Bulls (6),,
Regular,?,,West,Central,(Fri) 21 Apr 2000 (W16),San Jose Earthquakes (5),5-0,?,FC Dallas (6),,
Regular,?,,West,East,(Fri) 21 Apr 2000 (W16),LA Galaxy (6),2-0,?,Miami Fusion (6),,
Regular,?,,East,Central,(Fri) 21 Apr 2000 (W16),New England Revolution (6),1-1,?,Chicago Fire (6),,
Regular,?,,West,Central,(Fri) 21 Apr 2000 (W16),Sporting Kansas City (6),1-0,?,Tampa Bay Mutiny (6),,
Regular,?,,Central,West,(Tue) 25 Apr 2000 (W17),Tampa Bay Mutiny (7),4-0,?,San Jose Earthquakes (6),,
Regular,?,,Central,Central,(Thu) 27 Apr 2000 (W17),Chicago Fire (7),5-1,?,Tampa Bay Mutiny (8),,
Regular,?,,West,West,(Fri) 28 Apr 2000 (W17),Colorado Rapids (7),0-5,?,Sporting Kansas City (7),,
Regular,?,,Central,Central,(Fri) 28 Apr 2000 (W17),FC Dallas (7),2-1,?,Columbus Crew SC (7),,
Regular,?,,West,East,(Fri) 28 Apr 2000 (W17),San Jose Earthquakes (7),2-2,?,D.C. United (6),,
Regular,?,,East,East,(Fri) 28 Apr 2000 (W17),New England Revolution (7),1-1,?,Miami Fusion (7),,
Regular,?,,East,West,(Fri) 28 Apr 2000 (W17),New York Red Bulls (7),0-1,?,LA Galaxy (7),,
Regular,?,,Central,West,(Tue) 2 May 2000 (W18),Chicago Fire (8),1-2,?,Colorado Rapids (8),,
Regular,?,,East,Central,(Tue) 2 May 2000 (W18),D.C. United (7),1-2,?,Columbus Crew SC (8),,
Regular,?,,West,East,(Fri) 5 May 2000 (W18),Colorado Rapids (9),2-5,?,D.C. United (8),,
Regular,?,,Central,East,(Fri) 5 May 2000 (W18),Columbus Crew SC (9),0-2,?,New York Red Bulls (8),,
Regular,?,,West,West,(Fri) 5 May 2000 (W18),LA Galaxy (8),0-0,?,Sporting Kansas City (8),,
Regular,?,,East,Central,(Fri) 5 May 2000 (W18),Miami Fusion (8),0-3,?,Chicago Fire (9),,
Regular,?,,Central,Central,(Fri) 5 May 2000 (W18),Tampa Bay Mutiny (9),3-1,?,FC Dallas (8),,
Regular,?,,East,West,(Fri) 5 May 2000 (W18),New England Revolution (8),2-1,?,San Jose Earthquakes (8),,
Regular,?,,East,East,(Tue) 9 May 2000 (W19),Miami Fusion (9),1-0,?,D.C. United (9),,
Regular,?,,Central,West,(Fri) 12 May 2000 (W19),Chicago Fire (10),4-1,?,San Jose Earthquakes (9),,
Regular,?,,West,East,(Fri) 12 May 2000 (W19),Colorado Rapids (10),1-2,?,Miami Fusion (10),,
Regular,?,,East,East,(Fri) 12 May 2000 (W19),D.C. United (10),1-3,?,New England Revolution (9),,
Regular,?,,Central,West,(Fri) 12 May 2000 (W19),FC Dallas (9),1-1,?,LA Galaxy (9),,
Regular,?,,Central,Central,(Fri) 12 May 2000 (W19),Tampa Bay Mutiny (10),3-1,?,Columbus Crew SC (10),,
