Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,West,(Sat) 12 Jul 2003 (W27),San Jose Earthquakes (15),0-2,?,Colorado Rapids (16),,
Regular,?,West,West,(Sat) 12 Jul 2003 (W27),Sporting Kansas City (15),5-1,?,FC Dallas (14),,
Regular,?,East,East,(Sat) 12 Jul 2003 (W27),New England Revolution (14),3-3,?,New York Red Bulls (15),,
Regular,?,East,West,(Wed) 16 Jul 2003 (W28),New England Revolution (15),1-2,?,FC Dallas (15),,
Regular,?,East,East,(Sat) 19 Jul 2003 (W28),Chicago Fire (15),3-1,?,New England Revolution (16),,
Regular,?,East,West,(Sat) 19 Jul 2003 (W28),Columbus Crew SC (15),0-1,?,Sporting Kansas City (16),,
Regular,?,West,East,(Sat) 19 Jul 2003 (W28),FC Dallas (16),1-2,?,New York Red Bulls (16),,
Regular,?,East,West,(Sat) 19 Jul 2003 (W28),D.C. United (16),1-2,?,San Jose Earthquakes (16),,
Regular,?,East,East,(Wed) 23 Jul 2003 (W29),Columbus Crew SC (16),1-1,?,New England Revolution (17),,
Regular,?,East,West,(Sat) 26 Jul 2003 (W29),Chicago Fire (16),2-0,?,Sporting Kansas City (17),,
Regular,?,West,East,(Sat) 26 Jul 2003 (W29),Colorado Rapids (17),1-0,?,New York Red Bulls (17),,
Regular,?,West,West,(Sat) 26 Jul 2003 (W29),San Jose Earthquakes (17),3-0,?,FC Dallas (17),,
Regular,?,East,East,(Sun) 27 Jul 2003 (W29),New England Revolution (18),2-4,?,D.C. United (17),,
Regular,?,West,East,(Wed) 30 Jul 2003 (W30),LA Galaxy (17),2-1,?,Columbus Crew SC (17),,
Regular,?,West,West,(Fri) 8 Aug 2003 (W31),Sporting Kansas City (18),0-1,?,San Jose Earthquakes (18),,
Regular,?,West,West,(Sat) 9 Aug 2003 (W31),Colorado Rapids (18),2-0,?,FC Dallas (18),,
Regular,?,East,East,(Sat) 9 Aug 2003 (W31),D.C. United (18),1-0,?,New England Revolution (19),,
Regular,?,West,East,(Sat) 9 Aug 2003 (W31),LA Galaxy (18),3-1,?,Columbus Crew SC (18),,
Regular,?,East,East,(Sat) 9 Aug 2003 (W31),Chicago Fire (17),1-1,?,New York Red Bulls (18),,
Regular,?,East,East,(Wed) 13 Aug 2003 (W32),Columbus Crew SC (19),2-2,?,Chicago Fire (18),,
Regular,?,East,West,(Wed) 13 Aug 2003 (W32),D.C. United (19),1-0,?,Colorado Rapids (19),,
Regular,?,West,West,(Wed) 13 Aug 2003 (W32),FC Dallas (19),0-3,?,San Jose Earthquakes (19),,
Regular,?,East,West,(Wed) 13 Aug 2003 (W32),New York Red Bulls (19),0-0,?,Sporting Kansas City (19),,
Regular,?,East,East,(Sat) 16 Aug 2003 (W32),Chicago Fire (19),3-1,?,D.C. United (20),,
Regular,?,West,East,(Sat) 16 Aug 2003 (W32),Colorado Rapids (20),2-1,?,Columbus Crew SC (20),,
Regular,?,West,West,(Sat) 16 Aug 2003 (W32),FC Dallas (20),3-2,?,Sporting Kansas City (20),,
Regular,?,West,East,(Sat) 16 Aug 2003 (W32),LA Galaxy (19),1-1,?,New York Red Bulls (20),,
Regular,?,East,West,(Sat) 16 Aug 2003 (W32),New England Revolution (20),1-1,?,San Jose Earthquakes (20),,
Regular,?,East,West,(Wed) 20 Aug 2003 (W33),Chicago Fire (20),1-0,?,LA Galaxy (20),,
Regular,?,West,West,(Fri) 22 Aug 2003 (W33),Sporting Kansas City (21),2-2,?,Colorado Rapids (21),,
Regular,?,West,East,(Sat) 23 Aug 2003 (W33),FC Dallas (21),1-2,?,Columbus Crew SC (21),,
Regular,?,West,East,(Sat) 23 Aug 2003 (W33),LA Galaxy (21),2-1,?,New England Revolution (21),,
Regular,?,West,East,(Sun) 24 Aug 2003 (W33),San Jose Earthquakes (21),1-0,?,D.C. United (21),,
Regular,?,East,East,(Sun) 24 Aug 2003 (W33),New York Red Bulls (21),1-2,?,Chicago Fire (21),,
Regular,?,West,West,(Sat) 30 Aug 2003 (W34),San Jose Earthquakes (22),1-2,?,Colorado Rapids (22),,
Regular,?,West,West,(Sat) 30 Aug 2003 (W34),LA Galaxy (22),2-1,?,FC Dallas (22),,
Regular,?,East,East,(Sat) 30 Aug 2003 (W34),New England Revolution (22),5-1,?,Chicago Fire (22),,
Regular,?,East,West,(Sun) 31 Aug 2003 (W34),Columbus Crew SC (22),1-0,?,Sporting Kansas City (22),,
Regular,?,East,East,(Sat) 6 Sep 2003 (W35),Chicago Fire (23),1-1,?,Columbus Crew SC (23),,
Regular,?,West,West,(Sat) 6 Sep 2003 (W35),Colorado Rapids (23),2-1,?,FC Dallas (23),,
Regular,?,East,West,(Sat) 6 Sep 2003 (W35),D.C. United (22),2-1,?,LA Galaxy (23),,
Regular,?,West,East,(Sat) 6 Sep 2003 (W35),Sporting Kansas City (23),1-2,?,New York Red Bulls (22),,
Regular,?,West,East,(Sun) 7 Sep 2003 (W35),San Jose Earthquakes (23),2-1,?,New England Revolution (23),,
Regular,?,West,West,(Sat) 13 Sep 2003 (W36),Colorado Rapids (24),1-0,?,Sporting Kansas City (24),,
Regular,?,East,West,(Sat) 13 Sep 2003 (W36),Columbus Crew SC (24),3-2,?,FC Dallas (24),,
Regular,?,East,West,(Sat) 13 Sep 2003 (W36),D.C. United (23),2-1,?,San Jose Earthquakes (24),,
Regular,?,West,East,(Sat) 13 Sep 2003 (W36),LA Galaxy (24),0-2,?,Chicago Fire (24),,
Regular,?,East,East,(Sat) 13 Sep 2003 (W36),New York Red Bulls (23),1-2,?,New England Revolution (24),,
Regular,?,East,West,(Thu) 18 Sep 2003 (W37),New England Revolution (25),0-0,?,Colorado Rapids (25),,
Regular,?,West,East,(Sat) 20 Sep 2003 (W37),FC Dallas (25),2-0,?,Chicago Fire (25),,
Regular,?,West,East,(Sat) 20 Sep 2003 (W37),LA Galaxy (25),1-0,?,D.C. United (24),,
Regular,?,East,East,(Sat) 20 Sep 2003 (W37),New York Red Bulls (24),1-0,?,Columbus Crew SC (25),,
Regular,?,West,West,(Sat) 20 Sep 2003 (W37),Sporting Kansas City (25),1-4,?,San Jose Earthquakes (25),,
Regular,?,East,East,(Thu) 25 Sep 2003 (W38),New York Red Bulls (25),0-2,?,D.C. United (25),,
Regular,?,West,West,(Sat) 27 Sep 2003 (W38),San Jose Earthquakes (26),5-2,?,FC Dallas (26),,
Regular,?,West,West,(Sat) 27 Sep 2003 (W38),LA Galaxy (26),1-2,?,Sporting Kansas City (26),,
Regular,?,East,East,(Sun) 28 Sep 2003 (W38),New England Revolution (26),3-2,?,Columbus Crew SC (26),,
Regular,?,East,East,(Sun) 28 Sep 2003 (W38),D.C. United (26),1-1,?,New York Red Bulls (26),,
