Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,West,(Sun) 16 Apr 2006 (W15),CD Chivas USA (3),1-2,?,LA Galaxy (3),,
Regular,?,East,East,(Sat) 22 Apr 2006 (W16),New York Red Bulls (4),1-4,?,D.C. United (4),,
Regular,?,West,West,(Sat) 22 Apr 2006 (W16),Houston Dynamo (4),2-1,?,Real Salt Lake (4),,
Regular,?,West,East,(Sun) 23 Apr 2006 (W16),LA Galaxy (4),0-1,?,Columbus Crew SC (4),,
Regular,?,West,East,(Sun) 23 Apr 2006 (W16),FC Dallas (4),2-1,?,Sporting Kansas City (4),,
Regular,?,West,West,(Sat) 29 Apr 2006 (W17),Real Salt Lake (5),2-3,?,LA Galaxy (5),,
Regular,?,East,East,(Sat) 29 Apr 2006 (W17),Columbus Crew SC (5),0-1,?,Sporting Kansas City (5),,
Regular,?,East,West,(Sat) 29 Apr 2006 (W17),D.C. United (5),1-1,?,FC Dallas (5),,
Regular,?,West,West,(Sat) 29 Apr 2006 (W17),Colorado Rapids (4),0-1,?,Houston Dynamo (5),,
Regular,?,West,East,(Sun) 30 Apr 2006 (W17),CD Chivas USA (4),0-0,?,New York Red Bulls (5),,
Regular,?,East,East,(Sun) 30 Apr 2006 (W17),New England Revolution (4),1-2,?,Chicago Fire (4),,
Regular,?,East,West,(Sat) 6 May 2006 (W18),New England Revolution (5),4-0,?,LA Galaxy (6),,
Regular,?,West,West,(Sat) 6 May 2006 (W18),Houston Dynamo (6),4-3,?,FC Dallas (6),,
Regular,?,East,East,(Sat) 6 May 2006 (W18),Sporting Kansas City (6),1-1,?,Chicago Fire (5),,
Regular,?,West,East,(Sat) 6 May 2006 (W18),Real Salt Lake (6),0-1,?,Columbus Crew SC (6),,
Regular,?,West,East,(Sat) 6 May 2006 (W18),Colorado Rapids (5),2-1,?,D.C. United (6),,
Regular,?,West,West,(Wed) 10 May 2006 (W19),FC Dallas (7),1-0,?,LA Galaxy (7),,
Regular,?,West,West,(Sat) 13 May 2006 (W19),FC Dallas (8),1-1,?,Houston Dynamo (7),,
Regular,?,East,West,(Sat) 13 May 2006 (W19),New England Revolution (6),3-1,?,CD Chivas USA (5),,
Regular,?,East,West,(Sat) 13 May 2006 (W19),Columbus Crew SC (7),1-0,?,Colorado Rapids (6),,
Regular,?,East,East,(Sat) 13 May 2006 (W19),New York Red Bulls (6),1-1,?,Chicago Fire (6),,
Regular,?,East,East,(Sat) 13 May 2006 (W19),D.C. United (7),2-1,?,Sporting Kansas City (7),,
Regular,?,West,West,(Sun) 14 May 2006 (W19),LA Galaxy (8),0-3,?,Real Salt Lake (7),,
Regular,?,West,East,(Sat) 20 May 2006 (W20),Houston Dynamo (8),0-1,?,Chicago Fire (7),,
Regular,?,East,East,(Sat) 20 May 2006 (W20),Columbus Crew SC (8),1-1,?,D.C. United (8),,
Regular,?,East,West,(Sat) 20 May 2006 (W20),New York Red Bulls (7),5-4,?,CD Chivas USA (6),,
Regular,?,West,East,(Sat) 20 May 2006 (W20),FC Dallas (9),4-0,?,New England Revolution (7),,
Regular,?,West,East,(Sat) 20 May 2006 (W20),Real Salt Lake (8),2-1,?,Sporting Kansas City (8),,
Regular,?,West,West,(Sun) 21 May 2006 (W20),LA Galaxy (9),0-1,?,Colorado Rapids (7),,
Regular,?,East,West,(Wed) 24 May 2006 (W21),New York Red Bulls (8),1-2,?,FC Dallas (10),,
Regular,?,West,West,(Sat) 27 May 2006 (W21),Real Salt Lake (9),2-2,?,Colorado Rapids (8),,
Regular,?,East,West,(Sat) 27 May 2006 (W21),New England Revolution (8),1-1,?,Houston Dynamo (9),,
Regular,?,East,East,(Sat) 27 May 2006 (W21),Sporting Kansas City (9),1-3,?,D.C. United (9),,
Regular,?,West,East,(Sun) 28 May 2006 (W21),CD Chivas USA (7),1-0,?,Chicago Fire (8),,
Regular,?,East,East,(Wed) 31 May 2006 (W22),D.C. United (10),5-1,?,Columbus Crew SC (9),,
Regular,?,West,West,(Wed) 31 May 2006 (W22),Colorado Rapids (9),1-0,?,LA Galaxy (10),,
Regular,?,East,East,(Sat) 3 Jun 2006 (W22),D.C. United (11),1-0,?,New England Revolution (9),,
Regular,?,West,East,(Sat) 3 Jun 2006 (W22),FC Dallas (11),1-2,?,Columbus Crew SC (10),,
Regular,?,West,West,(Sat) 3 Jun 2006 (W22),Houston Dynamo (10),2-1,?,LA Galaxy (11),,
Regular,?,East,East,(Sat) 3 Jun 2006 (W22),Sporting Kansas City (10),1-1,?,New York Red Bulls (9),,
Regular,?,West,East,(Sat) 3 Jun 2006 (W22),Real Salt Lake (10),3-1,?,Chicago Fire (9),,
Regular,?,West,West,(Sun) 4 Jun 2006 (W22),CD Chivas USA (8),4-1,?,Colorado Rapids (10),,
Regular,?,West,West,(Fri) 9 Jun 2006 (W23),LA Galaxy (12),1-2,?,CD Chivas USA (9),,
Regular,?,West,West,(Fri) 9 Jun 2006 (W23),Colorado Rapids (11),1-0,?,Real Salt Lake (11),,
Regular,?,East,East,(Sat) 10 Jun 2006 (W23),Columbus Crew SC (11),0-1,?,Sporting Kansas City (11),,
Regular,?,East,West,(Sat) 10 Jun 2006 (W23),New York Red Bulls (10),1-1,?,Houston Dynamo (11),,
Regular,?,West,West,(Sun) 11 Jun 2006 (W23),FC Dallas (12),2-1,?,CD Chivas USA (10),,
Regular,?,East,East,(Sun) 11 Jun 2006 (W23),Chicago Fire (10),3-3,?,New England Revolution (10),,
Regular,?,West,East,(Sun) 11 Jun 2006 (W23),LA Galaxy (13),1-1,?,D.C. United (12),,
Regular,?,East,East,(Sat) 17 Jun 2006 (W24),New England Revolution (11),1-1,?,D.C. United (13),,
Regular,?,East,West,(Sat) 17 Jun 2006 (W24),New York Red Bulls (11),2-1,?,LA Galaxy (14),,
Regular,?,West,West,(Sat) 17 Jun 2006 (W24),Houston Dynamo (12),2-1,?,Real Salt Lake (12),,
Regular,?,East,East,(Sat) 17 Jun 2006 (W24),Sporting Kansas City (12),3-2,?,Chicago Fire (11),,
Regular,?,West,East,(Mon) 19 Jun 2006 (W25),CD Chivas USA (11),2-0,?,Columbus Crew SC (12),,
Regular,?,East,East,(Wed) 21 Jun 2006 (W25),Columbus Crew SC (13),1-1,?,New England Revolution (12),,
Regular,?,East,East,(Wed) 21 Jun 2006 (W25),D.C. United (14),1-0,?,Chicago Fire (12),,
Regular,?,West,West,(Wed) 21 Jun 2006 (W25),Colorado Rapids (12),1-1,?,CD Chivas USA (12),,
Regular,?,East,West,(Sat) 24 Jun 2006 (W25),Columbus Crew SC (14),1-1,?,CD Chivas USA (13),,
Regular,?,East,East,(Sat) 24 Jun 2006 (W25),D.C. United (15),1-0,?,Sporting Kansas City (13),,
Regular,?,West,West,(Sat) 24 Jun 2006 (W25),FC Dallas (13),1-0,?,Colorado Rapids (13),,
Regular,?,West,East,(Sat) 24 Jun 2006 (W25),Real Salt Lake (13),0-0,?,New England Revolution (13),,
Regular,?,West,West,(Sun) 25 Jun 2006 (W25),LA Galaxy (15),0-0,?,Houston Dynamo (13),,
Regular,?,East,East,(Sun) 25 Jun 2006 (W25),Chicago Fire (13),2-0,?,New York Red Bulls (12),,
Regular,?,East,West,(Wed) 28 Jun 2006 (W26),New England Revolution (14),1-0,?,FC Dallas (14),,
Regular,?,East,East,(Wed) 28 Jun 2006 (W26),New York Red Bulls (13),0-0,?,Columbus Crew SC (15),,
Regular,?,East,East,(Wed) 28 Jun 2006 (W26),Sporting Kansas City (14),2-3,?,D.C. United (16),,
Regular,?,East,West,(Wed) 28 Jun 2006 (W26),Chicago Fire (14),2-1,?,Real Salt Lake (14),,
Regular,?,West,West,(Thu) 29 Jun 2006 (W26),CD Chivas USA (14),1-1,?,Houston Dynamo (14),,
Regular,?,East,East,(Sat) 1 Jul 2006 (W26),New England Revolution (15),3-2,?,New York Red Bulls (14),,
Regular,?,East,West,(Sat) 1 Jul 2006 (W26),Sporting Kansas City (15),0-2,?,LA Galaxy (16),,
Regular,?,West,West,(Sun) 2 Jul 2006 (W26),CD Chivas USA (15),3-0,?,FC Dallas (15),,
Regular,?,West,East,(Tue) 4 Jul 2006 (W27),FC Dallas (16),0-1,?,D.C. United (17),,
Regular,?,East,East,(Tue) 4 Jul 2006 (W27),Chicago Fire (15),1-0,?,Sporting Kansas City (16),,
Regular,?,West,East,(Tue) 4 Jul 2006 (W27),Houston Dynamo (15),1-1,?,Columbus Crew SC (16),,
Regular,?,West,East,(Tue) 4 Jul 2006 (W27),Colorado Rapids (14),3-2,?,New England Revolution (16),,
Regular,?,West,West,(Wed) 5 Jul 2006 (W27),Real Salt Lake (15),0-0,?,CD Chivas USA (16),,
Regular,?,West,East,(Wed) 5 Jul 2006 (W27),LA Galaxy (17),1-0,?,New York Red Bulls (15),,
Regular,?,West,West,(Sat) 8 Jul 2006 (W27),Houston Dynamo (16),3-1,?,CD Chivas USA (17),,
Regular,?,East,East,(Sat) 8 Jul 2006 (W27),Columbus Crew SC (17),0-1,?,D.C. United (18),,
Regular,?,East,East,(Sat) 8 Jul 2006 (W27),Chicago Fire (16),1-2,?,New England Revolution (17),,
Regular,?,West,East,(Sat) 8 Jul 2006 (W27),FC Dallas (17),2-1,?,New York Red Bulls (16),,
Regular,?,West,East,(Sat) 8 Jul 2006 (W27),Colorado Rapids (15),1-0,?,Sporting Kansas City (17),,
Regular,?,West,West,(Sun) 9 Jul 2006 (W27),LA Galaxy (18),2-0,?,Real Salt Lake (16),,
Regular,?,East,West,(Fri) 14 Jul 2006 (W28),New York Red Bulls (17),1-0,?,Colorado Rapids (16),,
Regular,?,East,West,(Fri) 14 Jul 2006 (W28),New England Revolution (18),1-3,?,Real Salt Lake (17),,
Regular,?,East,West,(Sat) 15 Jul 2006 (W28),Chicago Fire (17),2-3,?,FC Dallas (18),,
Regular,?,East,East,(Sat) 15 Jul 2006 (W28),D.C. United (19),3-2,?,Columbus Crew SC (18),,
Regular,?,East,West,(Sat) 15 Jul 2006 (W28),Sporting Kansas City (18),2-3,?,Houston Dynamo (17),,
Regular,?,West,West,(Sun) 16 Jul 2006 (W28),CD Chivas USA (18),0-0,?,LA Galaxy (19),,
Regular,?,East,East,(Wed) 19 Jul 2006 (W29),Columbus Crew SC (19),0-2,?,New York Red Bulls (18),,
Regular,?,West,West,(Thu) 20 Jul 2006 (W29),Colorado Rapids (17),3-3,?,CD Chivas USA (19),,
Regular,?,East,West,(Sat) 22 Jul 2006 (W29),Columbus Crew SC (20),1-1,?,LA Galaxy (20),,
Regular,?,East,East,(Sat) 22 Jul 2006 (W29),New York Red Bulls (19),1-0,?,Sporting Kansas City (19),,
Regular,?,East,East,(Sat) 22 Jul 2006 (W29),Chicago Fire (18),1-1,?,D.C. United (20),,
Regular,?,West,East,(Sat) 22 Jul 2006 (W29),Houston Dynamo (18),1-1,?,New England Revolution (19),,
Regular,?,West,West,(Sun) 23 Jul 2006 (W29),Real Salt Lake (18),0-1,?,FC Dallas (19),,
Regular,?,West,West,(Wed) 26 Jul 2006 (W30),Real Salt Lake (19),3-3,?,CD Chivas USA (20),,
Regular,?,West,West,(Wed) 26 Jul 2006 (W30),Colorado Rapids (18),1-0,?,Houston Dynamo (19),,
Regular,?,East,East,(Sat) 29 Jul 2006 (W30),Sporting Kansas City (20),1-1,?,New England Revolution (20),,
Regular,?,West,West,(Sat) 29 Jul 2006 (W30),FC Dallas (20),4-1,?,Colorado Rapids (19),,
Regular,?,East,East,(Sat) 29 Jul 2006 (W30),Chicago Fire (19),0-0,?,Columbus Crew SC (21),,
Regular,?,West,East,(Sat) 29 Jul 2006 (W30),Houston Dynamo (20),1-1,?,New York Red Bulls (20),,
Regular,?,West,East,(Sat) 29 Jul 2006 (W30),Real Salt Lake (20),2-1,?,D.C. United (21),,
Regular,?,West,East,(Sun) 6 Aug 2006 (W31),CD Chivas USA (21),1-1,?,New England Revolution (21),,
Regular,?,East,East,(Wed) 9 Aug 2006 (W32),New England Revolution (22),0-0,?,Sporting Kansas City (21),,
Regular,?,West,West,(Wed) 9 Aug 2006 (W32),Houston Dynamo (21),0-1,?,LA Galaxy (21),,
Regular,?,West,West,(Wed) 9 Aug 2006 (W32),Colorado Rapids (20),1-4,?,Real Salt Lake (21),,
Regular,?,East,West,(Sat) 12 Aug 2006 (W32),Chicago Fire (20),1-2,?,CD Chivas USA (22),,
Regular,?,West,West,(Sat) 12 Aug 2006 (W32),Houston Dynamo (22),1-0,?,FC Dallas (21),,
Regular,?,East,East,(Sat) 12 Aug 2006 (W32),Sporting Kansas City (22),4-0,?,Columbus Crew SC (22),,
Regular,?,West,West,(Sat) 12 Aug 2006 (W32),Colorado Rapids (21),1-0,?,LA Galaxy (22),,
Regular,?,East,East,(Wed) 16 Aug 2006 (W33),New York Red Bulls (21),0-0,?,D.C. United (22),,
Regular,?,East,West,(Wed) 16 Aug 2006 (W33),Columbus Crew SC (23),1-2,?,Real Salt Lake (22),,
Regular,?,East,East,(Wed) 16 Aug 2006 (W33),Chicago Fire (21),3-0,?,Sporting Kansas City (23),,
Regular,?,East,West,(Sat) 19 Aug 2006 (W33),D.C. United (23),1-1,?,Colorado Rapids (22),,
Regular,?,East,East,(Sat) 19 Aug 2006 (W33),Columbus Crew SC (24),1-0,?,New York Red Bulls (22),,
Regular,?,West,West,(Sat) 19 Aug 2006 (W33),Real Salt Lake (23),3-1,?,Houston Dynamo (23),,
Regular,?,West,East,(Sun) 20 Aug 2006 (W33),CD Chivas USA (23),1-1,?,Sporting Kansas City (24),,
Regular,?,East,East,(Sun) 20 Aug 2006 (W33),New England Revolution (23),0-1,?,Chicago Fire (22),,
Regular,?,West,West,(Sun) 20 Aug 2006 (W33),LA Galaxy (23),2-0,?,FC Dallas (22),,
Regular,?,East,West,(Sat) 26 Aug 2006 (W34),New York Red Bulls (23),6-0,?,Real Salt Lake (24),,
Regular,?,East,West,(Sat) 26 Aug 2006 (W34),D.C. United (24),2-5,?,LA Galaxy (24),,
Regular,?,East,West,(Sat) 26 Aug 2006 (W34),Chicago Fire (23),1-0,?,Colorado Rapids (23),,
Regular,?,West,West,(Sun) 27 Aug 2006 (W34),CD Chivas USA (24),3-2,?,Houston Dynamo (24),,
Regular,?,East,East,(Sun) 27 Aug 2006 (W34),New England Revolution (24),1-0,?,Columbus Crew SC (25),,
Regular,?,East,West,(Sun) 27 Aug 2006 (W34),Sporting Kansas City (25),1-0,?,FC Dallas (23),,
Regular,?,East,East,(Wed) 30 Aug 2006 (W35),Sporting Kansas City (26),2-2,?,New York Red Bulls (24),,
Regular,?,East,West,(Wed) 30 Aug 2006 (W35),Chicago Fire (24),2-2,?,Houston Dynamo (25),,
Regular,?,West,West,(Wed) 30 Aug 2006 (W35),Real Salt Lake (25),1-0,?,LA Galaxy (25),,
Regular,?,West,West,(Wed) 30 Aug 2006 (W35),Colorado Rapids (24),0-2,?,FC Dallas (24),,
Regular,?,East,East,(Sat) 2 Sep 2006 (W35),Columbus Crew SC (26),3-0,?,New England Revolution (25),,
Regular,?,West,West,(Sat) 2 Sep 2006 (W35),FC Dallas (25),1-0,?,Houston Dynamo (26),,
Regular,?,West,West,(Sat) 2 Sep 2006 (W35),Real Salt Lake (26),0-1,?,Colorado Rapids (25),,
Regular,?,West,East,(Sun) 3 Sep 2006 (W35),LA Galaxy (26),2-1,?,Sporting Kansas City (27),,
Regular,?,West,East,(Sun) 3 Sep 2006 (W35),CD Chivas USA (25),1-2,?,D.C. United (25),,
Regular,?,East,East,(Sun) 3 Sep 2006 (W35),Chicago Fire (25),2-1,?,New York Red Bulls (25),,
Regular,?,East,East,(Sat) 9 Sep 2006 (W36),Columbus Crew SC (27),1-2,?,Chicago Fire (26),,
Regular,?,East,East,(Sat) 9 Sep 2006 (W36),New England Revolution (26),1-0,?,New York Red Bulls (26),,
Regular,?,East,West,(Sat) 9 Sep 2006 (W36),D.C. United (26),1-1,?,Real Salt Lake (27),,
Regular,?,East,West,(Sat) 9 Sep 2006 (W36),Sporting Kansas City (28),4-1,?,Colorado Rapids (26),,
Regular,?,West,West,(Sun) 10 Sep 2006 (W36),CD Chivas USA (26),1-1,?,FC Dallas (26),,
Regular,?,West,West,(Sun) 10 Sep 2006 (W36),LA Galaxy (27),1-2,?,Houston Dynamo (27),,
Regular,?,East,East,(Wed) 13 Sep 2006 (W37),New England Revolution (27),1-1,?,D.C. United (27),,
Regular,?,West,West,(Wed) 13 Sep 2006 (W37),FC Dallas (27),0-1,?,CD Chivas USA (27),,
Regular,?,West,East,(Wed) 13 Sep 2006 (W37),Colorado Rapids (27),1-0,?,Chicago Fire (27),,
Regular,?,East,East,(Sat) 16 Sep 2006 (W37),New York Red Bulls (27),1-0,?,Columbus Crew SC (28),,
Regular,?,West,West,(Sat) 16 Sep 2006 (W37),Real Salt Lake (28),3-2,?,FC Dallas (28),,
Regular,?,West,West,(Sun) 17 Sep 2006 (W37),LA Galaxy (28),0-0,?,Colorado Rapids (28),,
Regular,?,East,East,(Sun) 17 Sep 2006 (W37),Chicago Fire (28),1-0,?,D.C. United (28),,
Regular,?,West,West,(Sun) 17 Sep 2006 (W37),Houston Dynamo (28),0-0,?,CD Chivas USA (28),,
Regular,?,East,East,(Wed) 20 Sep 2006 (W38),New York Red Bulls (28),0-2,?,New England Revolution (28),,
Regular,?,East,East,(Sat) 23 Sep 2006 (W38),New England Revolution (29),1-1,?,Sporting Kansas City (29),,
Regular,?,East,West,(Sat) 23 Sep 2006 (W38),Columbus Crew SC (29),1-1,?,Houston Dynamo (29),,
Regular,?,East,East,(Sat) 23 Sep 2006 (W38),D.C. United (29),4-3,?,New York Red Bulls (29),,
Regular,?,East,West,(Sat) 23 Sep 2006 (W38),Chicago Fire (29),2-1,?,LA Galaxy (29),,
Regular,?,West,West,(Sat) 23 Sep 2006 (W38),FC Dallas (29),2-1,?,Real Salt Lake (29),,
Regular,?,West,West,(Sun) 24 Sep 2006 (W38),CD Chivas USA (29),1-0,?,Colorado Rapids (29),,
Regular,?,East,West,(Sat) 30 Sep 2006 (W39),New England Revolution (30),3-1,?,Colorado Rapids (30),,
Regular,?,East,East,(Sat) 30 Sep 2006 (W39),New York Red Bulls (30),1-0,?,Chicago Fire (30),,
Regular,?,East,West,(Sat) 30 Sep 2006 (W39),Columbus Crew SC (30),3-1,?,FC Dallas (30),,
Regular,?,West,East,(Sat) 30 Sep 2006 (W39),Houston Dynamo (30),1-0,?,D.C. United (30),,
Regular,?,East,West,(Sat) 30 Sep 2006 (W39),Sporting Kansas City (30),3-3,?,Real Salt Lake (30),,
Regular,?,West,West,(Sun) 1 Oct 2006 (W39),LA Galaxy (30),3-0,?,CD Chivas USA (30),,
Regular,?,East,East,(Sat) 7 Oct 2006 (W40),D.C. United (31),1-2,?,New England Revolution (31),,
Regular,?,East,East,(Sat) 7 Oct 2006 (W40),Chicago Fire (31),1-4,?,Columbus Crew SC (31),,
Regular,?,West,West,(Sat) 7 Oct 2006 (W40),FC Dallas (31),2-1,?,LA Galaxy (31),,
Regular,?,East,West,(Sat) 7 Oct 2006 (W40),Sporting Kansas City (31),2-1,?,CD Chivas USA (31),,
Regular,?,West,East,(Sat) 7 Oct 2006 (W40),Colorado Rapids (31),1-1,?,New York Red Bulls (31),,
Regular,?,West,West,(Sat) 7 Oct 2006 (W40),Real Salt Lake (31),1-1,?,Houston Dynamo (31),,
Regular,?,East,East,(Sat) 14 Oct 2006 (W41),New England Revolution (32),1-0,?,Columbus Crew SC (32),,
Regular,?,East,East,(Sat) 14 Oct 2006 (W41),New York Red Bulls (32),3-2,?,Sporting Kansas City (32),,
Regular,?,West,West,(Sat) 14 Oct 2006 (W41),Houston Dynamo (32),3-3,?,Colorado Rapids (32),,
Regular,?,West,West,(Sun) 15 Oct 2006 (W41),LA Galaxy (32),5-2,?,FC Dallas (32),,
Regular,?,East,East,(Sun) 15 Oct 2006 (W41),D.C. United (32),2-3,?,Chicago Fire (32),,
Regular,?,West,West,(Sun) 15 Oct 2006 (W41),CD Chivas USA (32),1-1,?,Real Salt Lake (32),,
Playoff,Conf. Semifinals | Leg 1,East,East,(Sat) 21 Oct 2006 (W42),New York Red Bulls (33),0-1,?,D.C. United (33),,
Playoff,Conf. Semifinals | Leg 1,West,West,(Sat) 21 Oct 2006 (W42),Colorado Rapids (33),1-2,?,FC Dallas (33),,
Playoff,Conf. Semifinals | Leg 1,East,East,(Sun) 22 Oct 2006 (W42),Chicago Fire (33),1-0,?,New England Revolution (33),,
Playoff,Conf. Semifinals | Leg 1,West,West,(Sun) 22 Oct 2006 (W42),CD Chivas USA (33),2-1,?,Houston Dynamo (33),,
Playoff,Conf. Semifinals | Leg 2,East,East,(Sat) 28 Oct 2006 (W43),New England Revolution (34),2-1 (*),?,Chicago Fire (34),2-1 (a.e.t.),4-2 (pen.)
Playoff,Conf. Semifinals | Leg 2,West,West,(Sat) 28 Oct 2006 (W43),FC Dallas (34),1-2 (*),?,Colorado Rapids (34),2-3 (a.e.t.),4-5 (pen.)
Playoff,Conf. Semifinals | Leg 2,East,East,(Sun) 29 Oct 2006 (W43),D.C. United (34),1-1,?,New York Red Bulls (34),,
Playoff,Conf. Semifinals | Leg 2,West,West,(Sun) 29 Oct 2006 (W43),Houston Dynamo (34),2-0,?,CD Chivas USA (34),,
Playoff,Conf. Finals,East,East,(Sun) 5 Nov 2006 (W44),D.C. United (35),0-1,?,New England Revolution (35),,
Playoff,Conf. Finals,West,West,(Sun) 5 Nov 2006 (W44),Houston Dynamo (35),3-1,?,Colorado Rapids (35),,
Playoff,Final,West,East,(Sun) 12 Nov 2006 (W45),Houston Dynamo (36),0-0 (*),?,New England Revolution (36),1-1 (a.e.t.),4-3 (pen.)
