Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,East,(Sat) 1 Apr 2006 (W13),FC Dallas (1),3-2,?,Chicago Fire (1),,
Regular,?,East,East,(Sat) 1 Apr 2006 (W13),Sporting Kansas City (1),3-1,?,Columbus Crew SC (1),,
Regular,?,West,East,(Sun) 2 Apr 2006 (W13),LA Galaxy (1),0-1,?,New England Revolution (1),,
Regular,?,East,East,(Sun) 2 Apr 2006 (W13),D.C. United (1),2-2,?,New York Red Bulls (1),,
Regular,?,West,West,(Sun) 2 Apr 2006 (W13),CD Chivas USA (1),3-0,?,Real Salt Lake (1),,
Regular,?,West,West,(Sun) 2 Apr 2006 (W13),Houston Dynamo (1),5-2,?,Colorado Rapids (1),,
Regular,?,East,West,(Sat) 8 Apr 2006 (W14),D.C. United (2),2-0,?,CD Chivas USA (2),,
Regular,?,East,East,(Sat) 8 Apr 2006 (W14),New York Red Bulls (2),0-0,?,New England Revolution (2),,
Regular,?,West,West,(Sat) 8 Apr 2006 (W14),FC Dallas (2),2-1,?,Real Salt Lake (2),,
Regular,?,West,East,(Sat) 8 Apr 2006 (W14),Houston Dynamo (2),1-2,?,Sporting Kansas City (2),,
Regular,?,West,East,(Sat) 8 Apr 2006 (W14),Colorado Rapids (2),3-1,?,Columbus Crew SC (2),,
Regular,?,West,East,(Sun) 9 Apr 2006 (W14),LA Galaxy (2),1-1,?,Chicago Fire (2),,
Regular,?,East,East,(Sat) 15 Apr 2006 (W15),Columbus Crew SC (3),1-1,?,Chicago Fire (3),,
Regular,?,East,West,(Sat) 15 Apr 2006 (W15),D.C. United (3),2-0,?,Houston Dynamo (3),,
Regular,?,East,East,(Sat) 15 Apr 2006 (W15),Sporting Kansas City (3),1-0,?,New England Revolution (3),,
Regular,?,West,West,(Sat) 15 Apr 2006 (W15),Colorado Rapids (3),2-2,?,FC Dallas (3),,
Regular,?,West,East,(Sat) 15 Apr 2006 (W15),Real Salt Lake (3),1-1,?,New York Red Bulls (3),,
