Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,East,East,(Sat) 3 Apr 2004 (W13),Columbus Crew SC (1),1-3,?,New York Red Bulls (1),,
Regular,?,West,West,(Sat) 3 Apr 2004 (W13),FC Dallas (1),1-1,?,Colorado Rapids (1),,
Regular,?,West,East,(Sat) 3 Apr 2004 (W13),LA Galaxy (1),3-2,?,New England Revolution (1),,
Regular,?,West,East,(Sat) 3 Apr 2004 (W13),Sporting Kansas City (1),0-0,?,Chicago Fire (1),,
Regular,?,East,West,(Sat) 3 Apr 2004 (W13),D.C. United (1),2-1,?,San Jose Earthquakes (1),,
Regular,?,West,East,(Sat) 10 Apr 2004 (W14),LA Galaxy (2),1-1,?,D.C. United (2),,
Regular,?,West,East,(Sat) 10 Apr 2004 (W14),San Jose Earthquakes (2),0-0,?,Chicago Fire (2),,
Regular,?,East,West,(Sat) 17 Apr 2004 (W15),Chicago Fire (3),0-2,?,FC Dallas (2),,
Regular,?,West,West,(Sat) 17 Apr 2004 (W15),Colorado Rapids (2),1-1,?,LA Galaxy (3),,
Regular,?,East,West,(Sat) 17 Apr 2004 (W15),New England Revolution (2),1-3,?,San Jose Earthquakes (3),,
Regular,?,West,East,(Sat) 17 Apr 2004 (W15),Sporting Kansas City (2),1-0,?,Columbus Crew SC (2),,
Regular,?,East,East,(Sat) 17 Apr 2004 (W15),New York Red Bulls (2),3-2,?,D.C. United (3),,
Regular,?,West,West,(Sat) 24 Apr 2004 (W16),Colorado Rapids (3),1-0,?,San Jose Earthquakes (4),,
Regular,?,West,West,(Sat) 24 Apr 2004 (W16),FC Dallas (3),1-0,?,Sporting Kansas City (3),,
Regular,?,West,East,(Sat) 24 Apr 2004 (W16),LA Galaxy (4),2-0,?,Columbus Crew SC (3),,
Regular,?,East,East,(Sat) 24 Apr 2004 (W16),D.C. United (4),0-1,?,Chicago Fire (4),,
Regular,?,East,East,(Sun) 25 Apr 2004 (W16),New York Red Bulls (3),1-1,?,New England Revolution (3),,
Regular,?,East,East,(Sat) 1 May 2004 (W17),Chicago Fire (5),3-0,?,New York Red Bulls (4),,
Regular,?,East,West,(Sat) 1 May 2004 (W17),Columbus Crew SC (4),0-0,?,FC Dallas (4),,
Regular,?,East,West,(Sat) 1 May 2004 (W17),New England Revolution (4),2-1,?,LA Galaxy (5),,
Regular,?,West,West,(Sat) 1 May 2004 (W17),Sporting Kansas City (4),2-0,?,Colorado Rapids (4),,
Regular,?,West,East,(Sat) 1 May 2004 (W17),San Jose Earthquakes (5),1-1,?,D.C. United (5),,
Regular,?,West,East,(Fri) 7 May 2004 (W18),Colorado Rapids (5),0-0,?,New England Revolution (5),,
Regular,?,East,East,(Sat) 8 May 2004 (W18),D.C. United (6),1-1,?,Columbus Crew SC (5),,
Regular,?,West,East,(Sat) 8 May 2004 (W18),San Jose Earthquakes (6),5-5,?,New York Red Bulls (5),,
Regular,?,West,East,(Sat) 8 May 2004 (W18),Sporting Kansas City (5),2-2,?,Chicago Fire (6),,
Regular,?,West,West,(Sat) 8 May 2004 (W18),FC Dallas (5),1-3,?,LA Galaxy (6),,
Regular,?,East,West,(Sat) 15 May 2004 (W19),D.C. United (7),1-0,?,Sporting Kansas City (6),,
Regular,?,West,West,(Sat) 15 May 2004 (W19),FC Dallas (6),1-2,?,San Jose Earthquakes (7),,
Regular,?,West,West,(Sat) 15 May 2004 (W19),LA Galaxy (7),1-1,?,Colorado Rapids (6),,
Regular,?,East,East,(Sat) 15 May 2004 (W19),New York Red Bulls (6),1-1,?,Chicago Fire (7),,
Regular,?,East,East,(Sat) 15 May 2004 (W19),Columbus Crew SC (6),1-0,?,New England Revolution (6),,
Regular,?,East,West,(Wed) 19 May 2004 (W20),D.C. United (8),2-4,?,LA Galaxy (8),,
Regular,?,West,East,(Sat) 22 May 2004 (W20),Colorado Rapids (7),2-1,?,D.C. United (9),,
Regular,?,West,West,(Sat) 22 May 2004 (W20),San Jose Earthquakes (8),4-2,?,LA Galaxy (9),,
Regular,?,West,West,(Sat) 22 May 2004 (W20),Sporting Kansas City (7),2-0,?,FC Dallas (7),,
Regular,?,East,East,(Sat) 22 May 2004 (W20),New England Revolution (7),1-1,?,New York Red Bulls (7),,
Regular,?,East,East,(Sun) 23 May 2004 (W20),Chicago Fire (8),1-3,?,Columbus Crew SC (7),,
Regular,?,East,West,(Sat) 29 May 2004 (W21),Chicago Fire (9),1-0,?,Colorado Rapids (8),,
Regular,?,East,West,(Sat) 29 May 2004 (W21),Columbus Crew SC (8),1-0,?,San Jose Earthquakes (9),,
Regular,?,West,West,(Sat) 29 May 2004 (W21),LA Galaxy (10),4-1,?,FC Dallas (8),,
Regular,?,East,East,(Sat) 29 May 2004 (W21),New England Revolution (8),0-1,?,D.C. United (10),,
Regular,?,East,West,(Sun) 30 May 2004 (W21),New York Red Bulls (8),1-0,?,Sporting Kansas City (8),,
Regular,?,West,East,(Wed) 2 Jun 2004 (W22),Sporting Kansas City (9),2-3,?,New England Revolution (9),,
Regular,?,West,West,(Sat) 5 Jun 2004 (W22),LA Galaxy (11),1-2,?,Sporting Kansas City (10),,
Regular,?,East,West,(Sat) 5 Jun 2004 (W22),New York Red Bulls (9),0-2,?,FC Dallas (9),,
Regular,?,East,East,(Sat) 5 Jun 2004 (W22),Chicago Fire (10),3-0,?,D.C. United (11),,
Regular,?,East,East,(Sun) 6 Jun 2004 (W22),New England Revolution (10),1-2,?,Columbus Crew SC (9),,
Regular,?,West,West,(Wed) 9 Jun 2004 (W23),Colorado Rapids (9),0-1,?,Sporting Kansas City (11),,
Regular,?,East,West,(Sat) 12 Jun 2004 (W23),Columbus Crew SC (10),2-2,?,Sporting Kansas City (12),,
Regular,?,East,West,(Sat) 12 Jun 2004 (W23),D.C. United (12),0-0,?,Colorado Rapids (10),,
Regular,?,West,East,(Sat) 12 Jun 2004 (W23),FC Dallas (10),3-1,?,New England Revolution (11),,
Regular,?,West,East,(Sat) 12 Jun 2004 (W23),San Jose Earthquakes (10),3-1,?,New York Red Bulls (10),,
Regular,?,West,East,(Sat) 12 Jun 2004 (W23),LA Galaxy (12),3-2,?,Chicago Fire (11),,
Regular,?,East,West,(Sat) 19 Jun 2004 (W24),Chicago Fire (12),1-1,?,San Jose Earthquakes (11),,
Regular,?,West,West,(Sat) 19 Jun 2004 (W24),Colorado Rapids (11),1-1,?,FC Dallas (11),,
Regular,?,East,East,(Sat) 19 Jun 2004 (W24),D.C. United (13),3-1,?,Columbus Crew SC (11),,
Regular,?,East,West,(Sat) 19 Jun 2004 (W24),New England Revolution (12),1-3,?,Sporting Kansas City (13),,
Regular,?,East,West,(Sat) 19 Jun 2004 (W24),New York Red Bulls (11),2-1,?,LA Galaxy (13),,
Regular,?,West,East,(Wed) 23 Jun 2004 (W25),LA Galaxy (14),0-3,?,New York Red Bulls (12),,
Regular,?,East,West,(Sat) 26 Jun 2004 (W25),Columbus Crew SC (12),1-2,?,Colorado Rapids (12),,
Regular,?,West,West,(Sat) 26 Jun 2004 (W25),San Jose Earthquakes (12),1-1,?,Sporting Kansas City (14),,
Regular,?,East,East,(Sat) 26 Jun 2004 (W25),New England Revolution (13),2-1,?,New York Red Bulls (13),,
Regular,?,West,East,(Sat) 26 Jun 2004 (W25),FC Dallas (12),1-1,?,D.C. United (14),,
Regular,?,East,West,(Sun) 27 Jun 2004 (W25),Chicago Fire (13),0-1,?,LA Galaxy (15),,
Regular,?,East,West,(Wed) 30 Jun 2004 (W26),New York Red Bulls (14),2-3,?,Colorado Rapids (13),,
Regular,?,East,East,(Sat) 3 Jul 2004 (W26),Columbus Crew SC (13),2-0,?,Chicago Fire (14),,
Regular,?,West,West,(Sat) 3 Jul 2004 (W26),Sporting Kansas City (15),5-1,?,FC Dallas (13),,
Regular,?,East,East,(Sat) 3 Jul 2004 (W26),D.C. United (15),6-2,?,New York Red Bulls (15),,
Regular,?,West,East,(Sun) 4 Jul 2004 (W26),Colorado Rapids (14),1-0,?,New England Revolution (14),,
Regular,?,West,West,(Sun) 4 Jul 2004 (W26),LA Galaxy (16),2-1,?,San Jose Earthquakes (13),,
Regular,?,West,West,(Wed) 7 Jul 2004 (W27),San Jose Earthquakes (14),1-2,?,FC Dallas (14),,
Regular,?,West,East,(Sat) 10 Jul 2004 (W27),FC Dallas (15),0-0,?,Columbus Crew SC (14),,
Regular,?,West,West,(Sat) 10 Jul 2004 (W27),LA Galaxy (17),2-0,?,Colorado Rapids (15),,
Regular,?,West,East,(Sat) 10 Jul 2004 (W27),Sporting Kansas City (16),1-0,?,D.C. United (16),,
Regular,?,East,West,(Sat) 10 Jul 2004 (W27),New York Red Bulls (16),2-0,?,San Jose Earthquakes (15),,
Regular,?,East,East,(Sun) 11 Jul 2004 (W27),Chicago Fire (15),1-1,?,New England Revolution (15),,
Regular,?,West,West,(Wed) 14 Jul 2004 (W28),Colorado Rapids (16),0-0,?,LA Galaxy (18),,
Regular,?,East,East,(Wed) 14 Jul 2004 (W28),New England Revolution (16),3-1,?,Chicago Fire (16),,
Regular,?,East,East,(Sat) 17 Jul 2004 (W28),Chicago Fire (17),1-1,?,New York Red Bulls (17),,
Regular,?,East,East,(Sat) 17 Jul 2004 (W28),Columbus Crew SC (15),1-1,?,New England Revolution (17),,
Regular,?,East,West,(Sat) 17 Jul 2004 (W28),D.C. United (17),1-1,?,LA Galaxy (19),,
Regular,?,West,West,(Sat) 17 Jul 2004 (W28),FC Dallas (16),0-1,?,Sporting Kansas City (17),,
Regular,?,West,West,(Sat) 17 Jul 2004 (W28),San Jose Earthquakes (16),3-1,?,Colorado Rapids (17),,
Regular,?,West,East,(Sat) 24 Jul 2004 (W29),Colorado Rapids (18),0-0,?,Columbus Crew SC (16),,
Regular,?,West,East,(Sat) 24 Jul 2004 (W29),FC Dallas (17),5-1,?,D.C. United (18),,
Regular,?,West,East,(Sat) 24 Jul 2004 (W29),San Jose Earthquakes (17),2-2,?,New England Revolution (18),,
Regular,?,East,East,(Sat) 24 Jul 2004 (W29),New York Red Bulls (18),2-1,?,Chicago Fire (18),,
Regular,?,West,West,(Sat) 24 Jul 2004 (W29),Sporting Kansas City (18),2-2,?,LA Galaxy (20),,
Regular,?,West,East,(Wed) 28 Jul 2004 (W30),Colorado Rapids (19),2-0,?,Chicago Fire (19),,
Regular,?,East,West,(Wed) 28 Jul 2004 (W30),Columbus Crew SC (17),2-1,?,FC Dallas (18),,
Regular,?,West,East,(Wed) 28 Jul 2004 (W30),Sporting Kansas City (19),1-2,?,New York Red Bulls (19),,
Regular,?,West,West,(Sat) 7 Aug 2004 (W31),FC Dallas (19),1-0,?,Colorado Rapids (20),,
Regular,?,West,East,(Sat) 7 Aug 2004 (W31),San Jose Earthquakes (18),2-0,?,D.C. United (19),,
Regular,?,East,East,(Sat) 7 Aug 2004 (W31),New England Revolution (19),2-2,?,Columbus Crew SC (18),,
Regular,?,East,West,(Sun) 8 Aug 2004 (W31),New York Red Bulls (20),3-0,?,LA Galaxy (21),,
Regular,?,East,West,(Wed) 11 Aug 2004 (W32),Chicago Fire (20),2-1,?,San Jose Earthquakes (19),,
Regular,?,East,West,(Wed) 11 Aug 2004 (W32),D.C. United (20),3-1,?,Colorado Rapids (21),,
Regular,?,West,East,(Wed) 11 Aug 2004 (W32),FC Dallas (20),0-3,?,New England Revolution (20),,
Regular,?,East,West,(Sat) 14 Aug 2004 (W32),Chicago Fire (21),0-3,?,Colorado Rapids (22),,
Regular,?,East,East,(Sat) 14 Aug 2004 (W32),D.C. United (21),2-2,?,New England Revolution (21),,
Regular,?,West,East,(Sat) 14 Aug 2004 (W32),LA Galaxy (22),0-0,?,Columbus Crew SC (19),,
Regular,?,West,West,(Sat) 14 Aug 2004 (W32),Sporting Kansas City (20),0-2,?,San Jose Earthquakes (20),,
Regular,?,East,West,(Sun) 15 Aug 2004 (W32),New York Red Bulls (21),0-1,?,FC Dallas (21),,
Regular,?,East,West,(Wed) 18 Aug 2004 (W33),Columbus Crew SC (20),2-1,?,Sporting Kansas City (21),,
Regular,?,West,East,(Sat) 21 Aug 2004 (W33),Colorado Rapids (23),1-0,?,New York Red Bulls (22),,
Regular,?,East,East,(Sat) 21 Aug 2004 (W33),Columbus Crew SC (21),2-2,?,D.C. United (22),,
Regular,?,West,West,(Sat) 21 Aug 2004 (W33),San Jose Earthquakes (21),3-0,?,FC Dallas (22),,
Regular,?,West,East,(Sat) 21 Aug 2004 (W33),LA Galaxy (23),1-1,?,Chicago Fire (22),,
Regular,?,East,West,(Sat) 21 Aug 2004 (W33),New England Revolution (22),1-2,?,Sporting Kansas City (22),,
Regular,?,West,East,(Sat) 28 Aug 2004 (W34),FC Dallas (23),4-1,?,Chicago Fire (23),,
Regular,?,West,West,(Sat) 28 Aug 2004 (W34),San Jose Earthquakes (22),0-0,?,Colorado Rapids (24),,
Regular,?,East,East,(Sat) 28 Aug 2004 (W34),New England Revolution (23),0-0,?,D.C. United (23),,
Regular,?,East,East,(Sun) 29 Aug 2004 (W34),New York Red Bulls (23),1-1,?,Columbus Crew SC (22),,
Regular,?,East,West,(Wed) 1 Sep 2004 (W35),Chicago Fire (24),3-1,?,Sporting Kansas City (23),,
Regular,?,East,East,(Sat) 4 Sep 2004 (W35),Chicago Fire (25),3-1,?,D.C. United (24),,
Regular,?,West,West,(Sat) 4 Sep 2004 (W35),Colorado Rapids (25),2-1,?,FC Dallas (24),,
Regular,?,East,West,(Sat) 4 Sep 2004 (W35),Columbus Crew SC (23),3-1,?,LA Galaxy (24),,
Regular,?,East,West,(Sat) 4 Sep 2004 (W35),New England Revolution (24),0-1,?,San Jose Earthquakes (23),,
Regular,?,West,East,(Sat) 4 Sep 2004 (W35),Sporting Kansas City (24),1-0,?,New York Red Bulls (24),,
Regular,?,West,East,(Wed) 8 Sep 2004 (W36),San Jose Earthquakes (24),0-1,?,Columbus Crew SC (24),,
Regular,?,West,West,(Sat) 11 Sep 2004 (W36),Colorado Rapids (26),3-1,?,Sporting Kansas City (25),,
Regular,?,West,West,(Sat) 11 Sep 2004 (W36),LA Galaxy (25),2-1,?,San Jose Earthquakes (25),,
Regular,?,East,East,(Sat) 11 Sep 2004 (W36),New York Red Bulls (25),3-2,?,New England Revolution (25),,
Regular,?,East,West,(Sat) 11 Sep 2004 (W36),D.C. United (25),3-0,?,FC Dallas (25),,
Regular,?,East,East,(Sat) 18 Sep 2004 (W37),Columbus Crew SC (25),4-2,?,New York Red Bulls (26),,
Regular,?,East,East,(Sat) 18 Sep 2004 (W37),D.C. United (26),3-1,?,Chicago Fire (26),,
Regular,?,West,West,(Sat) 18 Sep 2004 (W37),FC Dallas (26),2-0,?,LA Galaxy (26),,
Regular,?,East,West,(Sat) 18 Sep 2004 (W37),New England Revolution (26),6-1,?,Colorado Rapids (27),,
Regular,?,West,West,(Sat) 18 Sep 2004 (W37),Sporting Kansas City (26),1-0,?,San Jose Earthquakes (26),,
Regular,?,East,East,(Sat) 25 Sep 2004 (W38),Chicago Fire (27),2-0,?,New England Revolution (27),,
Regular,?,East,East,(Sat) 25 Sep 2004 (W38),Columbus Crew SC (26),1-0,?,D.C. United (27),,
Regular,?,West,East,(Sat) 25 Sep 2004 (W38),FC Dallas (27),0-2,?,New York Red Bulls (27),,
Regular,?,West,West,(Sat) 25 Sep 2004 (W38),San Jose Earthquakes (27),0-0,?,LA Galaxy (27),,
Regular,?,West,West,(Sat) 25 Sep 2004 (W38),Sporting Kansas City (27),1-0,?,Colorado Rapids (28),,
Regular,?,West,West,(Sat) 2 Oct 2004 (W39),Colorado Rapids (29),1-1,?,San Jose Earthquakes (28),,
Regular,?,East,East,(Sat) 2 Oct 2004 (W39),Columbus Crew SC (27),3-3,?,Chicago Fire (28),,
Regular,?,West,West,(Sat) 2 Oct 2004 (W39),LA Galaxy (28),1-1,?,Sporting Kansas City (28),,
Regular,?,East,West,(Sat) 2 Oct 2004 (W39),New England Revolution (28),2-0,?,FC Dallas (28),,
Regular,?,East,East,(Sat) 2 Oct 2004 (W39),New York Red Bulls (28),0-1,?,D.C. United (28),,
Regular,?,East,East,(Wed) 6 Oct 2004 (W40),Chicago Fire (29),0-1,?,Columbus Crew SC (28),,
Regular,?,East,East,(Sat) 9 Oct 2004 (W40),D.C. United (29),1-0,?,New England Revolution (29),,
Regular,?,West,West,(Sat) 9 Oct 2004 (W40),San Jose Earthquakes (29),0-0,?,Sporting Kansas City (29),,
