Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,East,(Sat) 10 Mar 2012 (W10),Colorado Rapids (1),2-0,?,Columbus Crew SC (1),,
Regular,?,West,East,(Sat) 10 Mar 2012 (W10),Vancouver Whitecaps FC (1),2-0,?,Montreal Impact (1),,
Regular,?,East,East,(Sat) 10 Mar 2012 (W10),D.C. United (1),0-1,?,Sporting Kansas City (1),,
Regular,?,West,East,(Sun) 11 Mar 2012 (W10),San Jose Earthquakes (1),1-0,?,New England Revolution (1),,
Regular,?,West,West,(Sun) 11 Mar 2012 (W10),LA Galaxy (1),1-3,?,Real Salt Lake (1),,
Regular,?,West,East,(Sun) 11 Mar 2012 (W10),FC Dallas (1),2-1,?,New York Red Bulls (1),,
Regular,?,West,East,(Sun) 11 Mar 2012 (W10),CD Chivas USA (1),0-1,?,Houston Dynamo (1),,
Regular,?,West,East,(Mon) 12 Mar 2012 (W11),Portland Timbers (1),3-1,?,Philadelphia Union (1),,
Regular,?,East,East,(Sat) 17 Mar 2012 (W11),Montreal Impact (2),1-1,?,Chicago Fire (1),,
Regular,?,West,East,(Sat) 17 Mar 2012 (W11),San Jose Earthquakes (2),0-1,?,Houston Dynamo (2),,
Regular,?,West,West,(Sat) 17 Mar 2012 (W11),FC Dallas (2),1-1,?,Portland Timbers (2),,
Regular,?,East,East,(Sat) 17 Mar 2012 (W11),Sporting Kansas City (2),3-0,?,New England Revolution (2),,
Regular,?,West,East,(Sun) 18 Mar 2012 (W11),Seattle Sounders FC (1),3-1,?,Toronto FC (1),,
Regular,?,West,East,(Sun) 18 Mar 2012 (W11),Real Salt Lake (2),2-0,?,New York Red Bulls (2),,
Regular,?,West,West,(Sun) 18 Mar 2012 (W11),CD Chivas USA (2),0-1,?,Vancouver Whitecaps FC (2),,
Regular,?,East,West,(Sun) 18 Mar 2012 (W11),Philadelphia Union (2),1-2,?,Colorado Rapids (2),,
Regular,?,West,East,(Sun) 18 Mar 2012 (W11),LA Galaxy (2),3-1,?,D.C. United (2),,
Regular,?,West,East,(Sat) 24 Mar 2012 (W12),Seattle Sounders FC (2),2-0,?,Houston Dynamo (3),,
Regular,?,East,West,(Sat) 24 Mar 2012 (W12),Toronto FC (2),0-3,?,San Jose Earthquakes (3),,
Regular,?,East,West,(Sat) 24 Mar 2012 (W12),New England Revolution (3),1-0,?,Portland Timbers (3),,
Regular,?,East,East,(Sat) 24 Mar 2012 (W12),Columbus Crew SC (2),2-0,?,Montreal Impact (3),,
Regular,?,East,East,(Sat) 24 Mar 2012 (W12),Chicago Fire (2),1-0,?,Philadelphia Union (3),,
Regular,?,West,West,(Sat) 24 Mar 2012 (W12),Real Salt Lake (3),0-1,?,CD Chivas USA (3),,
Regular,?,West,East,(Sun) 25 Mar 2012 (W12),Vancouver Whitecaps FC (3),0-0,?,D.C. United (3),,
Regular,?,East,West,(Sun) 25 Mar 2012 (W12),New York Red Bulls (3),4-1,?,Colorado Rapids (3),,
Regular,?,East,West,(Sun) 25 Mar 2012 (W12),Sporting Kansas City (3),2-1,?,FC Dallas (3),,
Regular,?,East,West,(Fri) 30 Mar 2012 (W13),D.C. United (4),4-1,?,FC Dallas (4),,
Regular,?,East,East,(Sat) 31 Mar 2012 (W13),Toronto FC (3),0-1,?,Columbus Crew SC (3),,
Regular,?,East,East,(Sat) 31 Mar 2012 (W13),New York Red Bulls (4),5-2,?,Montreal Impact (4),,
Regular,?,East,West,(Sat) 31 Mar 2012 (W13),Philadelphia Union (4),0-0,?,Vancouver Whitecaps FC (4),,
Regular,?,West,West,(Sun) 1 Apr 2012 (W13),Portland Timbers (4),2-3,?,Real Salt Lake (4),,
Regular,?,West,West,(Sun) 1 Apr 2012 (W13),Seattle Sounders FC (3),0-1,?,San Jose Earthquakes (4),,
Regular,?,West,East,(Sun) 1 Apr 2012 (W13),LA Galaxy (3),1-3,?,New England Revolution (4),,
Regular,?,West,East,(Sun) 1 Apr 2012 (W13),Colorado Rapids (4),2-0,?,Chicago Fire (3),,
Regular,?,West,East,(Sun) 1 Apr 2012 (W13),CD Chivas USA (4),0-1,?,Sporting Kansas City (4),,
Regular,?,West,East,(Wed) 4 Apr 2012 (W14),Real Salt Lake (5),1-0,?,Montreal Impact (5),,
Regular,?,West,East,(Thu) 5 Apr 2012 (W14),FC Dallas (5),1-0,?,New England Revolution (5),,
Regular,?,East,East,(Sat) 7 Apr 2012 (W14),Montreal Impact (6),2-1,?,Toronto FC (4),,
Regular,?,East,East,(Sat) 7 Apr 2012 (W14),Columbus Crew SC (4),1-4,?,New York Red Bulls (5),,
Regular,?,East,West,(Sat) 7 Apr 2012 (W14),Sporting Kansas City (5),1-0,?,LA Galaxy (4),,
Regular,?,West,West,(Sat) 7 Apr 2012 (W14),San Jose Earthquakes (5),3-1,?,Vancouver Whitecaps FC (5),,
Regular,?,East,West,(Sat) 7 Apr 2012 (W14),D.C. United (5),0-0,?,Seattle Sounders FC (4),,
Regular,?,West,West,(Sat) 7 Apr 2012 (W14),Real Salt Lake (6),2-0,?,Colorado Rapids (5),,
Regular,?,West,West,(Sun) 8 Apr 2012 (W14),Portland Timbers (5),1-2,?,CD Chivas USA (5),,
Regular,?,East,East,(Sat) 14 Apr 2012 (W15),Philadelphia Union (5),1-0,?,Columbus Crew SC (5),,
Regular,?,East,East,(Sat) 14 Apr 2012 (W15),New England Revolution (6),1-2,?,D.C. United (6),,
Regular,?,West,West,(Sat) 14 Apr 2012 (W15),Seattle Sounders FC (5),1-0,?,Colorado Rapids (6),,
Regular,?,East,West,(Sat) 14 Apr 2012 (W15),Toronto FC (5),0-1,?,CD Chivas USA (6),,
Regular,?,East,West,(Sat) 14 Apr 2012 (W15),New York Red Bulls (6),2-2,?,San Jose Earthquakes (6),,
Regular,?,West,East,(Sat) 14 Apr 2012 (W15),FC Dallas (6),2-1,?,Montreal Impact (7),,
Regular,?,East,West,(Sat) 14 Apr 2012 (W15),Sporting Kansas City (6),1-0,?,Real Salt Lake (7),,
Regular,?,West,West,(Sun) 15 Apr 2012 (W15),LA Galaxy (5),3-1,?,Portland Timbers (6),,
