Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,East,East,(Sun) 15 Apr 2012 (W15),Chicago Fire (4),1-1,?,Houston Dynamo (4),,
Regular,?,East,East,(Wed) 18 Apr 2012 (W16),D.C. United (7),1-1,?,Montreal Impact (8),,
Regular,?,West,East,(Thu) 19 Apr 2012 (W16),Vancouver Whitecaps FC (6),1-3,?,Sporting Kansas City (7),,
Regular,?,East,East,(Sat) 21 Apr 2012 (W16),Toronto FC (6),2-3,?,Chicago Fire (5),,
Regular,?,East,East,(Sat) 21 Apr 2012 (W16),Columbus Crew SC (6),2-2,?,Houston Dynamo (5),,
Regular,?,West,West,(Sat) 21 Apr 2012 (W16),Colorado Rapids (7),1-2,?,LA Galaxy (6),,
Regular,?,West,West,(Sun) 22 Apr 2012 (W16),Vancouver Whitecaps FC (7),1-0,?,FC Dallas (7),,
Regular,?,West,East,(Sun) 22 Apr 2012 (W16),Portland Timbers (7),1-0,?,Sporting Kansas City (8),,
Regular,?,West,East,(Sun) 22 Apr 2012 (W16),CD Chivas USA (7),0-1,?,Philadelphia Union (6),,
Regular,?,West,West,(Sun) 22 Apr 2012 (W16),San Jose Earthquakes (7),3-1,?,Real Salt Lake (8),,
Regular,?,East,East,(Sun) 22 Apr 2012 (W16),D.C. United (8),4-1,?,New York Red Bulls (7),,
Regular,?,West,West,(Wed) 25 Apr 2012 (W17),FC Dallas (8),1-1,?,Real Salt Lake (9),,
Regular,?,East,West,(Sat) 28 Apr 2012 (W17),Montreal Impact (9),2-0,?,Portland Timbers (8),,
Regular,?,East,East,(Sat) 28 Apr 2012 (W17),New York Red Bulls (8),1-0,?,New England Revolution (7),,
Regular,?,East,West,(Sat) 28 Apr 2012 (W17),Philadelphia Union (7),1-2,?,San Jose Earthquakes (8),,
Regular,?,East,East,(Sat) 28 Apr 2012 (W17),D.C. United (9),3-2,?,Houston Dynamo (6),,
Regular,?,East,West,(Sat) 28 Apr 2012 (W17),Columbus Crew SC (7),0-1,?,Vancouver Whitecaps FC (8),,
Regular,?,East,West,(Sat) 28 Apr 2012 (W17),Chicago Fire (6),1-2,?,Seattle Sounders FC (6),,
Regular,?,West,East,(Sat) 28 Apr 2012 (W17),Real Salt Lake (10),3-2,?,Toronto FC (7),,
Regular,?,West,West,(Sat) 28 Apr 2012 (W17),Colorado Rapids (8),4-0,?,CD Chivas USA (8),,
Regular,?,West,West,(Sun) 29 Apr 2012 (W17),LA Galaxy (7),1-1,?,FC Dallas (9),,
Regular,?,East,West,(Wed) 2 May 2012 (W18),New England Revolution (8),2-1,?,Colorado Rapids (9),,
Regular,?,West,West,(Thu) 3 May 2012 (W18),Seattle Sounders FC (7),2-0,?,LA Galaxy (8),,
Regular,?,West,East,(Thu) 3 May 2012 (W18),San Jose Earthquakes (9),5-3,?,D.C. United (10),,
Regular,?,West,East,(Sat) 5 May 2012 (W18),CD Chivas USA (9),1-2,?,Chicago Fire (7),,
Regular,?,East,East,(Sat) 5 May 2012 (W18),Toronto FC (8),0-2,?,D.C. United (11),,
Regular,?,West,East,(Sat) 5 May 2012 (W18),Seattle Sounders FC (8),1-0,?,Philadelphia Union (8),,
Regular,?,West,West,(Sat) 5 May 2012 (W18),Vancouver Whitecaps FC (9),2-1,?,San Jose Earthquakes (10),,
Regular,?,West,East,(Sat) 5 May 2012 (W18),LA Galaxy (9),0-1,?,New York Red Bulls (9),,
Regular,?,East,East,(Sat) 5 May 2012 (W18),Sporting Kansas City (9),0-2,?,Montreal Impact (10),,
Regular,?,West,East,(Sat) 5 May 2012 (W18),Real Salt Lake (11),2-1,?,New England Revolution (9),,
Regular,?,West,East,(Sun) 6 May 2012 (W18),Portland Timbers (9),0-0,?,Columbus Crew SC (8),,
Regular,?,West,West,(Sun) 6 May 2012 (W18),FC Dallas (10),0-2,?,Colorado Rapids (10),,
Regular,?,East,East,(Wed) 9 May 2012 (W19),New York Red Bulls (10),1-0,?,Houston Dynamo (7),,
Regular,?,East,West,(Wed) 9 May 2012 (W19),Chicago Fire (8),0-0,?,Real Salt Lake (12),,
Regular,?,West,West,(Wed) 9 May 2012 (W19),FC Dallas (11),0-2,?,Seattle Sounders FC (9),,
Regular,?,East,West,(Sat) 12 May 2012 (W19),Montreal Impact (11),1-1,?,LA Galaxy (10),,
Regular,?,East,East,(Sat) 12 May 2012 (W19),Houston Dynamo (8),1-0,?,D.C. United (12),,
Regular,?,East,West,(Sat) 12 May 2012 (W19),New England Revolution (10),4-1,?,Vancouver Whitecaps FC (10),,
Regular,?,East,West,(Sat) 12 May 2012 (W19),Columbus Crew SC (9),2-1,?,FC Dallas (12),,
Regular,?,East,East,(Sat) 12 May 2012 (W19),Chicago Fire (9),2-1,?,Sporting Kansas City (10),,
Regular,?,West,West,(Sun) 13 May 2012 (W19),Seattle Sounders FC (10),0-1,?,Real Salt Lake (13),,
Regular,?,East,East,(Sun) 13 May 2012 (W19),Philadelphia Union (9),2-3,?,New York Red Bulls (11),,
Regular,?,West,West,(Sun) 13 May 2012 (W19),San Jose Earthquakes (11),1-1,?,CD Chivas USA (10),,
Regular,?,East,West,(Tue) 15 May 2012 (W20),Houston Dynamo (9),0-0,?,Portland Timbers (10),,
Regular,?,East,West,(Wed) 16 May 2012 (W20),D.C. United (13),2-0,?,Colorado Rapids (11),,
Regular,?,West,West,(Sat) 19 May 2012 (W20),Vancouver Whitecaps FC (11),2-2,?,Seattle Sounders FC (11),,
Regular,?,East,East,(Sat) 19 May 2012 (W20),Montreal Impact (12),1-2,?,New York Red Bulls (12),,
Regular,?,East,East,(Sat) 19 May 2012 (W20),D.C. United (14),3-1,?,Toronto FC (9),,
Regular,?,East,East,(Sat) 19 May 2012 (W20),New England Revolution (11),2-2,?,Houston Dynamo (10),,
Regular,?,West,East,(Sat) 19 May 2012 (W20),FC Dallas (13),1-1,?,Philadelphia Union (10),,
Regular,?,West,East,(Sat) 19 May 2012 (W20),Colorado Rapids (12),2-2,?,Sporting Kansas City (11),,
Regular,?,West,West,(Sun) 20 May 2012 (W20),CD Chivas USA (11),1-0,?,LA Galaxy (11),,
Regular,?,West,East,(Sun) 20 May 2012 (W20),San Jose Earthquakes (12),1-1,?,Columbus Crew SC (10),,
Regular,?,West,East,(Sun) 20 May 2012 (W20),Portland Timbers (11),2-1,?,Chicago Fire (10),,
Regular,?,East,West,(Wed) 23 May 2012 (W21),New York Red Bulls (13),1-1,?,CD Chivas USA (12),,
Regular,?,East,West,(Wed) 23 May 2012 (W21),Chicago Fire (11),2-1,?,FC Dallas (14),,
Regular,?,West,East,(Thu) 24 May 2012 (W21),Seattle Sounders FC (12),0-2,?,Columbus Crew SC (11),,
Regular,?,West,West,(Thu) 24 May 2012 (W21),LA Galaxy (12),2-3,?,San Jose Earthquakes (13),,
Regular,?,East,West,(Sat) 26 May 2012 (W21),Houston Dynamo (11),2-1,?,LA Galaxy (13),,
Regular,?,East,East,(Sat) 26 May 2012 (W21),Toronto FC (10),1-0,?,Philadelphia Union (11),,
Regular,?,East,East,(Sat) 26 May 2012 (W21),Columbus Crew SC (12),2-1,?,Chicago Fire (12),,
Regular,?,East,East,(Sat) 26 May 2012 (W21),D.C. United (15),3-2,?,New England Revolution (12),,
Regular,?,West,West,(Sat) 26 May 2012 (W21),Real Salt Lake (14),3-2,?,FC Dallas (15),,
Regular,?,West,East,(Sat) 26 May 2012 (W21),Colorado Rapids (13),3-2,?,Montreal Impact (13),,
Regular,?,West,West,(Sun) 27 May 2012 (W21),Portland Timbers (12),1-1,?,Vancouver Whitecaps FC (12),,
Regular,?,West,West,(Sun) 27 May 2012 (W21),CD Chivas USA (13),1-1,?,Seattle Sounders FC (13),,
Regular,?,East,West,(Sun) 27 May 2012 (W21),Sporting Kansas City (12),2-1,?,San Jose Earthquakes (14),,
Regular,?,East,East,(Sat) 2 Jun 2012 (W22),New England Revolution (13),2-0,?,Chicago Fire (13),,
Regular,?,West,East,(Sun) 10 Jun 2012 (W23),Vancouver Whitecaps FC (13),3-1,?,Houston Dynamo (12),,
Regular,?,West,West,(Sat) 16 Jun 2012 (W24),Vancouver Whitecaps FC (14),1-0,?,Colorado Rapids (14),,
Regular,?,East,East,(Sat) 16 Jun 2012 (W24),Philadelphia Union (12),0-1,?,D.C. United (16),,
Regular,?,East,West,(Sat) 16 Jun 2012 (W24),Houston Dynamo (13),2-1,?,FC Dallas (16),,
Regular,?,East,West,(Sat) 16 Jun 2012 (W24),Montreal Impact (14),4-1,?,Seattle Sounders FC (14),,
Regular,?,East,East,(Sat) 16 Jun 2012 (W24),New England Revolution (14),0-0,?,Columbus Crew SC (13),,
Regular,?,East,East,(Sat) 16 Jun 2012 (W24),Sporting Kansas City (13),2-0,?,Toronto FC (11),,
Regular,?,West,West,(Sun) 17 Jun 2012 (W24),CD Chivas USA (14),0-3,?,Real Salt Lake (15),,
Regular,?,East,East,(Sun) 17 Jun 2012 (W24),Chicago Fire (14),3-1,?,New York Red Bulls (14),,
Regular,?,West,West,(Sun) 17 Jun 2012 (W24),LA Galaxy (14),1-0,?,Portland Timbers (13),,
Regular,?,East,East,(Wed) 20 Jun 2012 (W25),Houston Dynamo (14),3-3,?,Toronto FC (12),,
Regular,?,West,West,(Wed) 20 Jun 2012 (W25),Real Salt Lake (16),2-3,?,LA Galaxy (15),,
Regular,?,West,West,(Wed) 20 Jun 2012 (W25),Colorado Rapids (15),1-2,?,San Jose Earthquakes (15),,
Regular,?,West,East,(Thu) 21 Jun 2012 (W25),Seattle Sounders FC (15),1-1,?,Sporting Kansas City (14),,
Regular,?,West,East,(Thu) 21 Jun 2012 (W25),CD Chivas USA (15),2-1,?,Montreal Impact (15),,
Regular,?,West,East,(Thu) 21 Jun 2012 (W25),Vancouver Whitecaps FC (15),1-1,?,New York Red Bulls (15),,
Regular,?,East,East,(Sat) 23 Jun 2012 (W25),Toronto FC (13),2-2,?,New England Revolution (15),,
Regular,?,East,East,(Sat) 23 Jun 2012 (W25),Philadelphia Union (13),4-0,?,Sporting Kansas City (15),,
Regular,?,East,East,(Sat) 23 Jun 2012 (W25),Montreal Impact (16),4-2,?,Houston Dynamo (15),,
Regular,?,East,East,(Sat) 23 Jun 2012 (W25),Chicago Fire (15),2-1,?,Columbus Crew SC (14),,
Regular,?,West,West,(Sat) 23 Jun 2012 (W25),Real Salt Lake (17),1-2,?,San Jose Earthquakes (16),,
Regular,?,West,West,(Sat) 23 Jun 2012 (W25),FC Dallas (17),0-0,?,CD Chivas USA (16),,
Regular,?,West,West,(Sun) 24 Jun 2012 (W25),LA Galaxy (16),3-0,?,Vancouver Whitecaps FC (16),,
Regular,?,West,West,(Sun) 24 Jun 2012 (W25),Portland Timbers (14),2-1,?,Seattle Sounders FC (16),,
Regular,?,East,East,(Sun) 24 Jun 2012 (W25),New York Red Bulls (16),3-2,?,D.C. United (17),,
Regular,?,East,East,(Wed) 27 Jun 2012 (W26),Montreal Impact (17),0-3,?,Toronto FC (14),,
Regular,?,East,East,(Fri) 29 Jun 2012 (W26),Sporting Kansas City (16),0-1,?,Chicago Fire (16),,
Regular,?,East,East,(Sat) 30 Jun 2012 (W26),Toronto FC (15),1-1,?,New York Red Bulls (17),,
Regular,?,East,East,(Sat) 30 Jun 2012 (W26),D.C. United (18),3-0,?,Montreal Impact (18),,
Regular,?,East,West,(Sat) 30 Jun 2012 (W26),New England Revolution (16),2-2,?,Seattle Sounders FC (17),,
Regular,?,East,East,(Sat) 30 Jun 2012 (W26),Houston Dynamo (16),2-1,?,Philadelphia Union (14),,
Regular,?,East,West,(Sat) 30 Jun 2012 (W26),Columbus Crew SC (15),2-0,?,Real Salt Lake (18),,
Regular,?,West,West,(Sat) 30 Jun 2012 (W26),Colorado Rapids (16),3-0,?,Portland Timbers (15),,
Regular,?,West,West,(Sun) 1 Jul 2012 (W26),San Jose Earthquakes (17),4-3,?,LA Galaxy (17),,
Regular,?,East,East,(Tue) 3 Jul 2012 (W27),Houston Dynamo (17),0-0,?,Chicago Fire (17),,
Regular,?,West,West,(Wed) 4 Jul 2012 (W27),Portland Timbers (16),2-1,?,San Jose Earthquakes (18),,
Regular,?,East,East,(Wed) 4 Jul 2012 (W27),Montreal Impact (19),1-3,?,Sporting Kansas City (17),,
Regular,?,West,East,(Wed) 4 Jul 2012 (W27),FC Dallas (18),1-1,?,Toronto FC (16),,
Regular,?,West,West,(Wed) 4 Jul 2012 (W27),Colorado Rapids (17),0-1,?,Vancouver Whitecaps FC (17),,
Regular,?,West,West,(Thu) 5 Jul 2012 (W27),Real Salt Lake (19),0-0,?,Seattle Sounders FC (18),,
Regular,?,West,East,(Thu) 5 Jul 2012 (W27),LA Galaxy (18),1-2,?,Philadelphia Union (15),,
Regular,?,East,East,(Sat) 7 Jul 2012 (W27),Sporting Kansas City (18),0-0,?,Houston Dynamo (18),,
Regular,?,West,West,(Sat) 7 Jul 2012 (W27),Real Salt Lake (20),3-0,?,Portland Timbers (17),,
Regular,?,West,West,(Sat) 7 Jul 2012 (W27),FC Dallas (19),0-0,?,San Jose Earthquakes (19),,
Regular,?,West,West,(Sun) 8 Jul 2012 (W27),CD Chivas USA (17),0-0,?,Vancouver Whitecaps FC (18),,
Regular,?,West,West,(Sun) 8 Jul 2012 (W27),Seattle Sounders FC (19),2-1,?,Colorado Rapids (18),,
Regular,?,East,West,(Sun) 8 Jul 2012 (W27),Chicago Fire (18),0-2,?,LA Galaxy (19),,
Regular,?,East,East,(Sun) 8 Jul 2012 (W27),Philadelphia Union (16),3-0,?,Toronto FC (17),,
Regular,?,East,East,(Sun) 8 Jul 2012 (W27),New England Revolution (17),2-0,?,New York Red Bulls (18),,
Regular,?,East,East,(Sun) 8 Jul 2012 (W27),Montreal Impact (20),2-1,?,Columbus Crew SC (16),,
Regular,?,East,West,(Wed) 11 Jul 2012 (W28),Toronto FC (18),3-2,?,Vancouver Whitecaps FC (19),,
Regular,?,East,East,(Sat) 14 Jul 2012 (W28),Philadelphia Union (17),2-1,?,Montreal Impact (21),,
Regular,?,East,East,(Sat) 14 Jul 2012 (W28),New England Revolution (18),0-1,?,Toronto FC (19),,
Regular,?,East,East,(Sat) 14 Jul 2012 (W28),Columbus Crew SC (17),0-2,?,Sporting Kansas City (19),,
Regular,?,East,West,(Sat) 14 Jul 2012 (W28),Chicago Fire (19),1-0,?,Vancouver Whitecaps FC (20),,
Regular,?,West,West,(Sat) 14 Jul 2012 (W28),Colorado Rapids (19),1-2,?,FC Dallas (20),,
Regular,?,West,West,(Sun) 15 Jul 2012 (W28),San Jose Earthquakes (20),5-0,?,Real Salt Lake (21),,
Regular,?,West,West,(Sun) 15 Jul 2012 (W28),Portland Timbers (18),3-5,?,LA Galaxy (20),,
Regular,?,East,West,(Sun) 15 Jul 2012 (W28),New York Red Bulls (19),2-2,?,Seattle Sounders FC (20),,
Regular,?,East,East,(Sun) 15 Jul 2012 (W28),Houston Dynamo (19),4-0,?,D.C. United (19),,
Regular,?,East,East,(Wed) 18 Jul 2012 (W29),New York Red Bulls (20),1-0,?,Chicago Fire (20),,
Regular,?,West,West,(Wed) 18 Jul 2012 (W29),CD Chivas USA (18),1-0,?,Portland Timbers (19),,
Regular,?,East,West,(Wed) 18 Jul 2012 (W29),Toronto FC (20),2-1,?,Colorado Rapids (20),,
Regular,?,East,East,(Wed) 18 Jul 2012 (W29),Montreal Impact (22),2-1,?,New England Revolution (19),,
Regular,?,East,East,(Wed) 18 Jul 2012 (W29),Houston Dynamo (20),2-1,?,Sporting Kansas City (20),,
Regular,?,West,West,(Thu) 19 Jul 2012 (W29),Vancouver Whitecaps FC (21),2-2,?,LA Galaxy (21),,
Regular,?,West,West,(Thu) 19 Jul 2012 (W29),San Jose Earthquakes (21),2-1,?,FC Dallas (21),,
Regular,?,East,East,(Sat) 21 Jul 2012 (W29),New York Red Bulls (21),2-0,?,Philadelphia Union (18),,
Regular,?,East,East,(Sat) 21 Jul 2012 (W29),Columbus Crew SC (18),1-0,?,D.C. United (20),,
Regular,?,East,East,(Sat) 21 Jul 2012 (W29),Houston Dynamo (21),3-0,?,Montreal Impact (23),,
Regular,?,East,East,(Sat) 21 Jul 2012 (W29),Sporting Kansas City (21),0-0,?,New England Revolution (20),,
Regular,?,West,West,(Sat) 21 Jul 2012 (W29),FC Dallas (22),5-0,?,Portland Timbers (20),,
Regular,?,West,West,(Sun) 22 Jul 2012 (W29),Real Salt Lake (22),2-0,?,Colorado Rapids (21),,
Regular,?,West,West,(Sun) 22 Jul 2012 (W29),LA Galaxy (22),3-1,?,CD Chivas USA (19),,
Regular,?,West,West,(Sun) 22 Jul 2012 (W29),Vancouver Whitecaps FC (22),2-1,?,San Jose Earthquakes (22),,
Regular,?,West,West,(Fri) 27 Jul 2012 (W30),Real Salt Lake (23),2-1,?,Vancouver Whitecaps FC (23),,
Regular,?,East,East,(Sat) 28 Jul 2012 (W30),Toronto FC (21),0-2,?,Houston Dynamo (22),,
Regular,?,East,East,(Sat) 28 Jul 2012 (W30),Montreal Impact (24),3-1,?,New York Red Bulls (22),,
Regular,?,West,West,(Sat) 28 Jul 2012 (W30),FC Dallas (23),0-1,?,LA Galaxy (23),,
Regular,?,East,East,(Sat) 28 Jul 2012 (W30),Sporting Kansas City (22),1-2,?,Columbus Crew SC (19),,
Regular,?,West,West,(Sat) 28 Jul 2012 (W30),Colorado Rapids (22),1-2,?,Seattle Sounders FC (21),,
Regular,?,West,East,(Sun) 29 Jul 2012 (W30),San Jose Earthquakes (23),1-1,?,Chicago Fire (21),,
Regular,?,West,West,(Sun) 29 Jul 2012 (W30),Portland Timbers (21),0-1,?,CD Chivas USA (20),,
Regular,?,East,East,(Sun) 29 Jul 2012 (W30),Philadelphia Union (19),2-1,?,New England Revolution (21),,
Regular,?,East,East,(Fri) 3 Aug 2012 (W31),Houston Dynamo (23),2-0,?,New York Red Bulls (23),,
Regular,?,East,East,(Sat) 4 Aug 2012 (W31),D.C. United (21),1-0,?,Columbus Crew SC (20),,
Regular,?,East,East,(Sat) 4 Aug 2012 (W31),New England Revolution (22),0-1,?,Sporting Kansas City (23),,
Regular,?,East,East,(Sat) 4 Aug 2012 (W31),Montreal Impact (25),2-0,?,Philadelphia Union (20),,
Regular,?,East,East,(Sat) 4 Aug 2012 (W31),Chicago Fire (22),2-1,?,Toronto FC (22),,
Regular,?,West,West,(Sat) 4 Aug 2012 (W31),Colorado Rapids (23),1-0,?,Real Salt Lake (24),,
Regular,?,West,West,(Sun) 5 Aug 2012 (W31),Portland Timbers (22),1-1,?,FC Dallas (24),,
Regular,?,West,West,(Sun) 5 Aug 2012 (W31),Seattle Sounders FC (22),4-0,?,LA Galaxy (24),,
Regular,?,East,East,(Fri) 10 Aug 2012 (W32),New York Red Bulls (24),2-0,?,Houston Dynamo (24),,
Regular,?,West,West,(Sat) 11 Aug 2012 (W32),Vancouver Whitecaps FC (24),2-1,?,Real Salt Lake (25),,
Regular,?,East,East,(Sat) 11 Aug 2012 (W32),Sporting Kansas City (24),2-1,?,D.C. United (22),,
Regular,?,West,West,(Sat) 11 Aug 2012 (W32),FC Dallas (25),3-2,?,Colorado Rapids (24),,
Regular,?,West,West,(Sun) 12 Aug 2012 (W32),San Jose Earthquakes (24),2-1,?,Seattle Sounders FC (23),,
Regular,?,East,East,(Sun) 12 Aug 2012 (W32),New England Revolution (23),0-1,?,Montreal Impact (26),,
Regular,?,East,East,(Sun) 12 Aug 2012 (W32),Philadelphia Union (21),1-3,?,Chicago Fire (23),,
Regular,?,West,West,(Mon) 13 Aug 2012 (W33),CD Chivas USA (21),0-4,?,LA Galaxy (25),,
Regular,?,East,West,(Wed) 15 Aug 2012 (W33),Columbus Crew SC (21),1-1,?,LA Galaxy (26),,
Regular,?,East,West,(Wed) 15 Aug 2012 (W33),Toronto FC (23),2-2,?,Portland Timbers (23),,
Regular,?,West,West,(Thu) 16 Aug 2012 (W33),Vancouver Whitecaps FC (25),0-2,?,FC Dallas (26),,
Regular,?,West,West,(Sat) 18 Aug 2012 (W33),Seattle Sounders FC (24),2-0,?,Vancouver Whitecaps FC (26),,
Regular,?,East,East,(Sat) 18 Aug 2012 (W33),Toronto FC (24),0-1,?,Sporting Kansas City (25),,
Regular,?,East,West,(Sat) 18 Aug 2012 (W33),Montreal Impact (27),3-1,?,San Jose Earthquakes (25),,
Regular,?,East,East,(Sat) 18 Aug 2012 (W33),Chicago Fire (24),2-1,?,New England Revolution (24),,
Regular,?,West,West,(Sat) 18 Aug 2012 (W33),Real Salt Lake (26),1-2,?,FC Dallas (27),,
Regular,?,West,West,(Sat) 18 Aug 2012 (W33),Colorado Rapids (25),1-1,?,CD Chivas USA (22),,
Regular,?,East,East,(Sun) 19 Aug 2012 (W33),D.C. United (23),1-1,?,Philadelphia Union (22),,
Regular,?,East,West,(Sun) 19 Aug 2012 (W33),New York Red Bulls (25),3-2,?,Portland Timbers (24),,
Regular,?,East,East,(Sun) 19 Aug 2012 (W33),Houston Dynamo (25),2-2,?,Columbus Crew SC (22),,
Regular,?,East,East,(Wed) 22 Aug 2012 (W34),Columbus Crew SC (23),2-1,?,Toronto FC (25),,
Regular,?,East,East,(Wed) 22 Aug 2012 (W34),D.C. United (24),4-2,?,Chicago Fire (25),,
Regular,?,East,West,(Fri) 24 Aug 2012 (W34),Philadelphia Union (23),0-0,?,Real Salt Lake (27),,
Regular,?,East,East,(Sat) 25 Aug 2012 (W34),Montreal Impact (28),3-0,?,D.C. United (25),,
Regular,?,East,East,(Sat) 25 Aug 2012 (W34),Columbus Crew SC (24),4-3,?,New England Revolution (25),,
