Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,East,(Sat) 6 Apr 1996 (W14),San Jose Earthquakes (1),1-0,?,D.C. United (1),,
Regular,?,West,East,(Sat) 13 Apr 1996 (W15),LA Galaxy (1),2-1,?,New York Red Bulls (1),,
Regular,?,East,East,(Sat) 13 Apr 1996 (W15),Tampa Bay Mutiny (1),3-2,?,New England Revolution (1),,
Regular,?,East,East,(Sat) 13 Apr 1996 (W15),Columbus Crew SC (1),4-0,?,D.C. United (2),,
Regular,?,West,West,(Sat) 13 Apr 1996 (W15),Sporting Kansas City (1),3-0,?,Colorado Rapids (1),,
Regular,?,West,West,(Sun) 14 Apr 1996 (W15),FC Dallas (1),1-0,?,San Jose Earthquakes (2),,
Regular,?,West,West,(Thu) 18 Apr 1996 (W16),FC Dallas (2),3-0,?,Sporting Kansas City (2),,
Regular,?,East,West,(Sat) 20 Apr 1996 (W16),D.C. United (3),1-2,?,LA Galaxy (2),,
Regular,?,East,East,(Sat) 20 Apr 1996 (W16),Columbus Crew SC (2),1-2,?,Tampa Bay Mutiny (2),,
Regular,?,East,East,(Sat) 20 Apr 1996 (W16),New York Red Bulls (2),0-1,?,New England Revolution (2),,
Regular,?,West,West,(Sun) 21 Apr 1996 (W16),Colorado Rapids (2),3-1,?,FC Dallas (3),,
Regular,?,West,West,(Sun) 21 Apr 1996 (W16),San Jose Earthquakes (3),2-3,?,Sporting Kansas City (3),,
Regular,?,East,East,(Sat) 27 Apr 1996 (W17),New York Red Bulls (3),0-2,?,Columbus Crew SC (3),,
Regular,?,East,East,(Sat) 27 Apr 1996 (W17),New England Revolution (3),2-1,?,D.C. United (4),,
Regular,?,East,West,(Sun) 28 Apr 1996 (W17),Tampa Bay Mutiny (3),1-2,?,FC Dallas (4),,
Regular,?,West,West,(Sun) 28 Apr 1996 (W17),LA Galaxy (3),2-1,?,San Jose Earthquakes (4),,
Regular,?,East,West,(Wed) 1 May 1996 (W18),D.C. United (5),3-1,?,FC Dallas (5),,
Regular,?,West,East,(Thu) 2 May 1996 (W18),Sporting Kansas City (4),6-4,?,Columbus Crew SC (4),,
Regular,?,East,East,(Sat) 4 May 1996 (W18),New York Red Bulls (4),4-3,?,Tampa Bay Mutiny (4),,
Regular,?,East,West,(Sat) 4 May 1996 (W18),New England Revolution (4),1-2,?,San Jose Earthquakes (5),,
Regular,?,West,East,(Sun) 5 May 1996 (W18),FC Dallas (6),1-0,?,Columbus Crew SC (5),,
Regular,?,West,West,(Sun) 5 May 1996 (W18),Colorado Rapids (3),4-0,?,Sporting Kansas City (5),,
Regular,?,West,East,(Sun) 5 May 1996 (W18),LA Galaxy (4),3-1,?,D.C. United (6),,
