Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,East,East,(Sun) 6 Mar 2016 (W9),New York Red Bulls (1),0-2,?,Toronto FC (1),,
Regular,?,East,West,(Sun) 6 Mar 2016 (W9),Orlando City SC (1),2-2,?,Real Salt Lake (1),,
Regular,?,East,East,(Sun) 6 Mar 2016 (W9),Chicago Fire (1),3-4,?,New York City FC (1),,
Regular,?,West,West,(Sun) 6 Mar 2016 (W9),San Jose Earthquakes (1),1-0,?,Colorado Rapids (1),,
Regular,?,West,East,(Sun) 6 Mar 2016 (W9),Houston Dynamo (1),3-3,?,New England Revolution (1),,
Regular,?,West,East,(Sun) 6 Mar 2016 (W9),FC Dallas (1),2-0,?,Philadelphia Union (1),,
Regular,?,West,East,(Sun) 6 Mar 2016 (W9),Portland Timbers (1),2-1,?,Columbus Crew SC (1),,
Regular,?,West,East,(Sun) 6 Mar 2016 (W9),Vancouver Whitecaps FC (1),2-3,?,Montreal Impact (1),,
Regular,?,West,West,(Sun) 6 Mar 2016 (W9),Seattle Sounders FC (1),0-1,?,Sporting Kansas City (1),,
Regular,?,West,East,(Sun) 6 Mar 2016 (W9),LA Galaxy (1),4-1,?,D.C. United (1),,
Regular,?,East,East,(Fri) 11 Mar 2016 (W10),Orlando City SC (2),1-1,?,Chicago Fire (2),,
Regular,?,East,East,(Sat) 12 Mar 2016 (W10),New England Revolution (2),0-0,?,D.C. United (2),,
Regular,?,West,West,(Sat) 12 Mar 2016 (W10),Real Salt Lake (2),2-1,?,Seattle Sounders FC (2),,
Regular,?,East,East,(Sat) 12 Mar 2016 (W10),Montreal Impact (2),3-0,?,New York Red Bulls (2),,
Regular,?,West,West,(Sat) 12 Mar 2016 (W10),Colorado Rapids (2),1-0,?,LA Galaxy (2),,
Regular,?,East,East,(Sat) 12 Mar 2016 (W10),Columbus Crew SC (2),1-2,?,Philadelphia Union (2),,
Regular,?,West,West,(Sat) 12 Mar 2016 (W10),Sporting Kansas City (2),2-1,?,Vancouver Whitecaps FC (2),,
Regular,?,West,West,(Sat) 12 Mar 2016 (W10),Houston Dynamo (2),5-0,?,FC Dallas (2),,
Regular,?,East,East,(Sun) 13 Mar 2016 (W10),New York City FC (2),2-2,?,Toronto FC (2),,
