Stage,Round,Leg,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,,Central,West,(Tue) 22 May 2001 (W21),FC Dallas (8),0-2,?,San Jose Earthquakes (8),,
Regular,?,,West,East,(Wed) 23 May 2001 (W21),Sporting Kansas City (9),1-0,?,New York Red Bulls (10),,
Regular,?,,Central,West,(Fri) 25 May 2001 (W21),Chicago Fire (8),1-1,?,San Jose Earthquakes (9),,
Regular,?,,Central,West,(Fri) 25 May 2001 (W21),Columbus Crew SC (8),3-3,?,Colorado Rapids (10),,
Regular,?,,West,East,(Fri) 25 May 2001 (W21),LA Galaxy (9),2-0,?,New England Revolution (10),,
Regular,?,,Central,East,(Fri) 25 May 2001 (W21),Tampa Bay Mutiny (9),0-4,?,Miami Fusion (9),,
Regular,?,,Central,West,(Tue) 29 May 2001 (W22),Chicago Fire (9),3-4,?,LA Galaxy (10),,
Regular,?,,West,West,(Tue) 29 May 2001 (W22),San Jose Earthquakes (10),1-1,?,Colorado Rapids (11),,
Regular,?,,East,East,(Tue) 29 May 2001 (W22),Miami Fusion (10),2-1,?,D.C. United (8),,
Regular,?,,West,West,(Fri) 1 Jun 2001 (W22),Colorado Rapids (12),1-2,?,San Jose Earthquakes (11),,
Regular,?,,Central,West,(Fri) 1 Jun 2001 (W22),Columbus Crew SC (9),1-1,?,LA Galaxy (11),,
Regular,?,,East,Central,(Fri) 1 Jun 2001 (W22),D.C. United (9),1-2,?,Chicago Fire (10),,
Regular,?,,Central,East,(Fri) 1 Jun 2001 (W22),FC Dallas (9),2-6,?,Miami Fusion (11),,
Regular,?,,Central,West,(Fri) 1 Jun 2001 (W22),Tampa Bay Mutiny (10),1-2,?,Sporting Kansas City (10),,
Regular,?,,East,East,(Sat) 2 Jun 2001 (W22),New England Revolution (11),1-1,?,New York Red Bulls (11),,
Regular,?,,Central,Central,(Tue) 5 Jun 2001 (W23),Tampa Bay Mutiny (11),0-1,?,FC Dallas (10),,
Regular,?,,Central,Central,(Fri) 8 Jun 2001 (W23),Chicago Fire (11),1-0,?,Columbus Crew SC (10),,
Regular,?,,Central,East,(Fri) 8 Jun 2001 (W23),FC Dallas (11),3-0,?,D.C. United (10),,
Regular,?,,West,West,(Fri) 8 Jun 2001 (W23),San Jose Earthquakes (12),3-1,?,LA Galaxy (12),,
Regular,?,,East,West,(Fri) 8 Jun 2001 (W23),Miami Fusion (12),5-1,?,Sporting Kansas City (11),,
Regular,?,,East,Central,(Fri) 8 Jun 2001 (W23),New England Revolution (12),3-0,?,Tampa Bay Mutiny (12),,
Regular,?,,East,East,(Tue) 12 Jun 2001 (W24),D.C. United (11),2-1,?,New York Red Bulls (12),,
Regular,?,,West,West,(Tue) 12 Jun 2001 (W24),LA Galaxy (13),4-0,?,Sporting Kansas City (12),,
Regular,?,,West,Central,(Fri) 15 Jun 2001 (W24),Colorado Rapids (13),3-6,?,FC Dallas (12),,
Regular,?,,Central,Central,(Fri) 15 Jun 2001 (W24),Columbus Crew SC (11),6-1,?,Tampa Bay Mutiny (13),,
Regular,?,,East,West,(Fri) 15 Jun 2001 (W24),Miami Fusion (13),3-3,?,LA Galaxy (14),,
Regular,?,,East,West,(Fri) 15 Jun 2001 (W24),New York Red Bulls (13),0-0,?,San Jose Earthquakes (13),,
Regular,?,,West,East,(Fri) 15 Jun 2001 (W24),Sporting Kansas City (13),0-3,?,D.C. United (12),,
Regular,?,,East,West,(Tue) 19 Jun 2001 (W25),New England Revolution (13),3-3,?,Colorado Rapids (14),,
Regular,?,,Central,East,(Fri) 22 Jun 2001 (W25),Chicago Fire (12),1-1,?,New England Revolution (14),,
Regular,?,,Central,Central,(Fri) 22 Jun 2001 (W25),FC Dallas (13),1-2,?,Columbus Crew SC (12),,
Regular,?,,West,West,(Fri) 22 Jun 2001 (W25),San Jose Earthquakes (14),2-0,?,Sporting Kansas City (14),,
Regular,?,,West,East,(Fri) 22 Jun 2001 (W25),LA Galaxy (15),2-0,?,New York Red Bulls (14),,
Regular,?,,Central,East,(Fri) 22 Jun 2001 (W25),Tampa Bay Mutiny (14),3-2,?,D.C. United (13),,
Regular,?,,Central,East,(Fri) 29 Jun 2001 (W26),Chicago Fire (13),3-1,?,New York Red Bulls (15),,
Regular,?,,East,West,(Fri) 29 Jun 2001 (W26),D.C. United (14),1-1,?,Colorado Rapids (15),,
Regular,?,,Central,West,(Fri) 29 Jun 2001 (W26),FC Dallas (14),0-0,?,LA Galaxy (16),,
Regular,?,,East,Central,(Fri) 29 Jun 2001 (W26),Miami Fusion (14),4-3,?,Columbus Crew SC (13),,
Regular,?,,West,Central,(Fri) 29 Jun 2001 (W26),Sporting Kansas City (15),3-0,?,Tampa Bay Mutiny (15),,
Regular,?,,West,East,(Tue) 3 Jul 2001 (W27),Colorado Rapids (16),3-1,?,D.C. United (15),,
Regular,?,,Central,East,(Tue) 3 Jul 2001 (W27),FC Dallas (15),1-1,?,New England Revolution (15),,
Regular,?,,West,East,(Tue) 3 Jul 2001 (W27),San Jose Earthquakes (15),1-1,?,Miami Fusion (15),,
Regular,?,,West,Central,(Tue) 3 Jul 2001 (W27),LA Galaxy (17),0-2,?,Columbus Crew SC (14),,
Regular,?,,Central,East,(Tue) 3 Jul 2001 (W27),Tampa Bay Mutiny (16),1-2,?,New York Red Bulls (16),,
Regular,?,,West,Central,(Tue) 3 Jul 2001 (W27),Sporting Kansas City (16),0-7,?,Chicago Fire (14),,
Regular,?,,West,West,(Fri) 6 Jul 2001 (W27),Colorado Rapids (17),3-1,?,San Jose Earthquakes (16),,
Regular,?,,Central,Central,(Fri) 6 Jul 2001 (W27),Columbus Crew SC (15),2-2,?,FC Dallas (16),,
Regular,?,,East,West,(Fri) 6 Jul 2001 (W27),D.C. United (16),0-3,?,LA Galaxy (18),,
Regular,?,,East,East,(Fri) 6 Jul 2001 (W27),Miami Fusion (16),0-3,?,New York Red Bulls (17),,
Regular,?,,Central,Central,(Fri) 6 Jul 2001 (W27),Tampa Bay Mutiny (17),2-3,?,Chicago Fire (15),,
Regular,?,,East,West,(Fri) 6 Jul 2001 (W27),New England Revolution (16),1-2,?,Sporting Kansas City (17),,
Regular,?,,Central,West,(Fri) 13 Jul 2001 (W28),Chicago Fire (16),1-0,?,Colorado Rapids (18),,
Regular,?,,West,Central,(Fri) 13 Jul 2001 (W28),San Jose Earthquakes (17),2-1,?,Tampa Bay Mutiny (18),,
Regular,?,,West,East,(Fri) 13 Jul 2001 (W28),LA Galaxy (19),3-0,?,Miami Fusion (17),,
Regular,?,,East,East,(Fri) 13 Jul 2001 (W28),New England Revolution (17),1-3,?,D.C. United (17),,
Regular,?,,West,Central,(Fri) 13 Jul 2001 (W28),Sporting Kansas City (18),3-2,?,FC Dallas (17),,
Regular,?,,East,West,(Mon) 16 Jul 2001 (W29),New England Revolution (18),3-2,?,LA Galaxy (20),,
Regular,?,,West,West,(Tue) 17 Jul 2001 (W29),Colorado Rapids (19),0-0,?,Sporting Kansas City (19),,
Regular,?,,Central,East,(Tue) 17 Jul 2001 (W29),Columbus Crew SC (16),2-1,?,New York Red Bulls (18),,
Regular,?,,Central,Central,(Tue) 17 Jul 2001 (W29),FC Dallas (18),3-0,?,Tampa Bay Mutiny (19),,
Regular,?,,West,East,(Tue) 17 Jul 2001 (W29),San Jose Earthquakes (18),4-0,?,D.C. United (18),,
Regular,?,,East,Central,(Tue) 17 Jul 2001 (W29),Miami Fusion (18),2-1,?,Chicago Fire (17),,
Regular,?,,Central,Central,(Fri) 20 Jul 2001 (W29),Chicago Fire (18),2-1,?,FC Dallas (19),,
Regular,?,,Central,West,(Fri) 20 Jul 2001 (W29),Columbus Crew SC (17),2-1,?,San Jose Earthquakes (19),,
Regular,?,,East,East,(Fri) 20 Jul 2001 (W29),Miami Fusion (19),1-1,?,New England Revolution (19),,
Regular,?,,Central,West,(Fri) 20 Jul 2001 (W29),Tampa Bay Mutiny (20),1-2,?,Colorado Rapids (20),,
Regular,?,,East,East,(Fri) 20 Jul 2001 (W29),New York Red Bulls (19),2-1,?,D.C. United (19),,
Regular,?,,West,East,(Sat) 28 Jul 2001 (W30),Sporting Kansas City (20),2-0,?,New England Revolution (20),,
Regular,?,,Central,Central,(Tue) 31 Jul 2001 (W31),Columbus Crew SC (18),3-0,?,Chicago Fire (19),,
Regular,?,,East,East,(Tue) 31 Jul 2001 (W31),D.C. United (20),2-2,?,Miami Fusion (20),,
Regular,?,,West,Central,(Fri) 3 Aug 2001 (W31),Colorado Rapids (21),1-1,?,Chicago Fire (20),,
Regular,?,,Central,West,(Fri) 3 Aug 2001 (W31),Tampa Bay Mutiny (21),2-0,?,San Jose Earthquakes (20),,
Regular,?,,East,Central,(Fri) 3 Aug 2001 (W31),New England Revolution (21),5-1,?,FC Dallas (20),,
Regular,?,,East,East,(Fri) 3 Aug 2001 (W31),New York Red Bulls (20),2-1,?,Miami Fusion (21),,
Regular,?,,West,Central,(Fri) 3 Aug 2001 (W31),Sporting Kansas City (21),1-3,?,Columbus Crew SC (19),,
Regular,?,,East,West,(Tue) 7 Aug 2001 (W32),New England Revolution (22),1-5,?,San Jose Earthquakes (21),,
Regular,?,,Central,Central,(Fri) 10 Aug 2001 (W32),Chicago Fire (21),3-1,?,Tampa Bay Mutiny (22),,
Regular,?,,Central,East,(Fri) 10 Aug 2001 (W32),FC Dallas (21),3-0,?,New York Red Bulls (21),,
Regular,?,,West,Central,(Fri) 10 Aug 2001 (W32),San Jose Earthquakes (22),2-2,?,Columbus Crew SC (20),,
Regular,?,,West,East,(Fri) 10 Aug 2001 (W32),LA Galaxy (21),1-0,?,D.C. United (21),,
Regular,?,,East,East,(Fri) 10 Aug 2001 (W32),New England Revolution (23),1-4,?,Miami Fusion (22),,
Regular,?,,West,West,(Sat) 11 Aug 2001 (W32),Colorado Rapids (22),2-2,?,Sporting Kansas City (22),,
Regular,?,,Central,East,(Tue) 14 Aug 2001 (W33),Chicago Fire (22),1-2,?,Miami Fusion (23),,
Regular,?,,Central,Central,(Tue) 14 Aug 2001 (W33),Columbus Crew SC (21),3-0,?,FC Dallas (22),,
Regular,?,,East,East,(Tue) 14 Aug 2001 (W33),D.C. United (22),1-2,?,New York Red Bulls (22),,
Regular,?,,West,West,(Tue) 14 Aug 2001 (W33),Sporting Kansas City (23),1-2,?,LA Galaxy (22),,
Regular,?,,West,Central,(Fri) 17 Aug 2001 (W33),San Jose Earthquakes (23),0-1,?,Chicago Fire (23),,
Regular,?,,West,Central,(Fri) 17 Aug 2001 (W33),LA Galaxy (23),5-1,?,Tampa Bay Mutiny (23),,
Regular,?,,East,Central,(Fri) 17 Aug 2001 (W33),Miami Fusion (24),4-2,?,FC Dallas (23),,
Regular,?,,East,East,(Fri) 17 Aug 2001 (W33),New England Revolution (24),2-1,?,D.C. United (23),,
Regular,?,,East,Central,(Sat) 18 Aug 2001 (W33),New York Red Bulls (23),0-1,?,Columbus Crew SC (22),,
Regular,?,,West,West,(Sat) 18 Aug 2001 (W33),Sporting Kansas City (24),3-2,?,Colorado Rapids (23),,
Regular,?,,East,Central,(Fri) 24 Aug 2001 (W34),D.C. United (24),2-1,?,Columbus Crew SC (23),,
Regular,?,,Central,West,(Fri) 24 Aug 2001 (W34),FC Dallas (24),3-0,?,Sporting Kansas City (25),,
Regular,?,,West,West,(Fri) 24 Aug 2001 (W34),San Jose Earthquakes (24),5-2,?,Colorado Rapids (24),,
Regular,?,,West,Central,(Fri) 24 Aug 2001 (W34),LA Galaxy (24),1-3,?,Chicago Fire (24),,
Regular,?,,East,East,(Fri) 24 Aug 2001 (W34),Miami Fusion (25),2-3,?,New York Red Bulls (24),,
Regular,?,,Central,East,(Sat) 25 Aug 2001 (W34),Tampa Bay Mutiny (24),0-0,?,New England Revolution (25),,
Regular,?,,Central,Central,(Tue) 28 Aug 2001 (W35),Chicago Fire (25),2-1,?,Columbus Crew SC (24),,
Regular,?,,Central,Central,(Tue) 28 Aug 2001 (W35),Tampa Bay Mutiny (25),2-3,?,FC Dallas (25),,
Regular,?,,Central,East,(Fri) 31 Aug 2001 (W35),Columbus Crew SC (25),4-1,?,New England Revolution (26),,
Regular,?,,East,Central,(Fri) 31 Aug 2001 (W35),D.C. United (25),5-1,?,Tampa Bay Mutiny (26),,
Regular,?,,West,West,(Fri) 31 Aug 2001 (W35),San Jose Earthquakes (25),3-0,?,Sporting Kansas City (26),,
Regular,?,,West,West,(Fri) 31 Aug 2001 (W35),LA Galaxy (25),3-2,?,Colorado Rapids (25),,
Regular,?,,East,Central,(Fri) 31 Aug 2001 (W35),New York Red Bulls (25),0-1,?,Chicago Fire (26),,
Regular,?,,East,East,(Thu) 6 Sep 2001 (W36),New York Red Bulls (26),3-1,?,New England Revolution (27),,
Regular,?,,Central,Central,(Fri) 7 Sep 2001 (W36),Chicago Fire (27),2-2,?,FC Dallas (26),,
Regular,?,,West,West,(Fri) 7 Sep 2001 (W36),Colorado Rapids (26),0-2,?,LA Galaxy (26),,
Regular,?,,East,East,(Fri) 7 Sep 2001 (W36),Miami Fusion (26),3-1,?,D.C. United (26),,
Regular,?,,West,West,(Fri) 7 Sep 2001 (W36),Sporting Kansas City (27),1-0,?,San Jose Earthquakes (26),,
Regular,?,,Central,Central,(Sat) 8 Sep 2001 (W36),Tampa Bay Mutiny (27),1-2,?,Columbus Crew SC (26),,
Playoff,Conf. Semifinals,1,Central,Central,(Thu) 20 Sep 2001 (W38),Chicago Fire (28),2-0,?,FC Dallas (27),,
Playoff,Conf. Semifinals,1,Central,West,(Sat) 22 Sep 2001 (W38),Columbus Crew SC (27),1-3,?,San Jose Earthquakes (27),,
Playoff,Conf. Semifinals,1,East,West,(Sat) 22 Sep 2001 (W38),Miami Fusion (27),2-0,?,Sporting Kansas City (28),,
Playoff,Conf. Semifinals,2,Central,Central,(Sun) 23 Sep 2001 (W38),FC Dallas (28),1-1,?,Chicago Fire (29),,
Playoff,Conf. Semifinals,1,West,East,(Sun) 23 Sep 2001 (W38),LA Galaxy (27),1-1,?,New York Red Bulls (27),,
Playoff,Conf. Semifinals,2,West,Central,(Wed) 26 Sep 2001 (W39),San Jose Earthquakes (28),3-0,?,Columbus Crew SC (28),,
Playoff,Conf. Semifinals,2,East,West,(Wed) 26 Sep 2001 (W39),New York Red Bulls (28),4-1,?,LA Galaxy (28),,
Playoff,Conf. Semifinals,2,West,East,(Wed) 26 Sep 2001 (W39),Sporting Kansas City (29),3-0,?,Miami Fusion (28),,
Playoff,Conf. Semifinals,3,Central,Central,(Sat) 29 Sep 2001 (W39),Chicago Fire (30),2-0,?,FC Dallas (29),,
Playoff,Conf. Semifinals,3,West,East,(Sat) 29 Sep 2001 (W39),LA Galaxy (29),3-2,?,New York Red Bulls (29),,
Playoff,Conf. Semifinals,3,East,West,(Sat) 29 Sep 2001 (W39),Miami Fusion (29),2-1,?,Sporting Kansas City (30),,
Playoff,Conf. Finals,1,Central,West,(Wed) 10 Oct 2001 (W41),Chicago Fire (31),1-1,?,LA Galaxy (30),,
Playoff,Conf. Finals,1,East,West,(Wed) 10 Oct 2001 (W41),Miami Fusion (30),1-0,?,San Jose Earthquakes (29),,
Playoff,Conf. Finals,2,West,Central,(Sat) 13 Oct 2001 (W41),LA Galaxy (31),0-0,?,Chicago Fire (32),1-0 (a.e.t.),
Playoff,Conf. Finals,2,West,East,(Sun) 14 Oct 2001 (W41),San Jose Earthquakes (30),4-0,?,Miami Fusion (31),,
Playoff,Conf. Finals,3,Central,West,(Wed) 17 Oct 2001 (W42),Chicago Fire (33),1-1,?,LA Galaxy (32),1-2 (a.e.t.),
Playoff,Conf. Finals,3,East,West,(Wed) 17 Oct 2001 (W42),Miami Fusion (32),0-0,?,San Jose Earthquakes (31),0-1 (a.e.t.),
Playoff,Final,,West,West,(Sun) 21 Oct 2001 (W42),LA Galaxy (33),1-1,?,San Jose Earthquakes (32),1-2 (a.e.t.),
