Stage,Round,Leg,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,,Central,Central,(Fri) 6 Apr 2001 (W14),Columbus Crew SC (1),1-1,?,Chicago Fire (1),,
Regular,?,,East,West,(Fri) 6 Apr 2001 (W14),D.C. United (1),3-2,?,Sporting Kansas City (1),,
Regular,?,,Central,Central,(Fri) 6 Apr 2001 (W14),FC Dallas (1),2-4,?,Tampa Bay Mutiny (1),,
Regular,?,,West,West,(Fri) 6 Apr 2001 (W14),LA Galaxy (1),2-3,?,San Jose Earthquakes (1),,
Regular,?,,East,West,(Fri) 6 Apr 2001 (W14),Miami Fusion (1),2-1,?,Colorado Rapids (1),,
Regular,?,,East,East,(Fri) 6 Apr 2001 (W14),New York Red Bulls (1),2-1,?,New England Revolution (1),,
Regular,?,,Central,East,(Fri) 13 Apr 2001 (W15),Chicago Fire (2),2-0,?,D.C. United (2),,
Regular,?,,West,East,(Fri) 13 Apr 2001 (W15),Colorado Rapids (2),1-1,?,New York Red Bulls (2),,
Regular,?,,West,Central,(Fri) 13 Apr 2001 (W15),San Jose Earthquakes (2),0-1,?,FC Dallas (2),,
Regular,?,,Central,Central,(Fri) 13 Apr 2001 (W15),Tampa Bay Mutiny (2),1-2,?,Columbus Crew SC (2),,
Regular,?,,East,East,(Fri) 13 Apr 2001 (W15),New England Revolution (2),0-1,?,Miami Fusion (2),,
Regular,?,,West,West,(Fri) 13 Apr 2001 (W15),Sporting Kansas City (2),2-1,?,LA Galaxy (2),,
Regular,?,,West,East,(Tue) 17 Apr 2001 (W16),Sporting Kansas City (3),2-1,?,Miami Fusion (3),,
Regular,?,,Central,West,(Fri) 20 Apr 2001 (W16),Columbus Crew SC (3),0-3,?,Sporting Kansas City (4),,
Regular,?,,East,East,(Fri) 20 Apr 2001 (W16),D.C. United (3),2-1,?,New England Revolution (3),,
Regular,?,,Central,Central,(Fri) 20 Apr 2001 (W16),FC Dallas (3),3-2,?,Chicago Fire (3),,
Regular,?,,West,West,(Fri) 20 Apr 2001 (W16),LA Galaxy (3),1-0,?,Colorado Rapids (3),,
Regular,?,,East,West,(Fri) 20 Apr 2001 (W16),Miami Fusion (4),2-1,?,San Jose Earthquakes (3),,
Regular,?,,East,Central,(Fri) 20 Apr 2001 (W16),New York Red Bulls (3),1-3,?,Tampa Bay Mutiny (3),,
Regular,?,,West,West,(Fri) 27 Apr 2001 (W17),Colorado Rapids (4),2-3,?,LA Galaxy (4),,
Regular,?,,East,East,(Fri) 27 Apr 2001 (W17),Miami Fusion (5),1-0,?,New England Revolution (4),,
Regular,?,,Central,Central,(Fri) 27 Apr 2001 (W17),Tampa Bay Mutiny (4),0-1,?,Chicago Fire (4),,
Regular,?,,East,Central,(Fri) 27 Apr 2001 (W17),New York Red Bulls (4),3-2,?,FC Dallas (4),,
Regular,?,,West,West,(Fri) 27 Apr 2001 (W17),Sporting Kansas City (5),0-0,?,San Jose Earthquakes (4),,
Regular,?,,East,West,(Tue) 1 May 2001 (W18),New York Red Bulls (5),4-1,?,Sporting Kansas City (6),,
Regular,?,,Central,Central,(Fri) 4 May 2001 (W18),Chicago Fire (5),2-0,?,Tampa Bay Mutiny (5),,
Regular,?,,Central,East,(Fri) 4 May 2001 (W18),Columbus Crew SC (4),0-0,?,Miami Fusion (6),,
Regular,?,,Central,West,(Fri) 4 May 2001 (W18),FC Dallas (5),0-1,?,Colorado Rapids (5),,
Regular,?,,West,East,(Fri) 4 May 2001 (W18),San Jose Earthquakes (5),3-2,?,New England Revolution (5),,
Regular,?,,West,West,(Fri) 4 May 2001 (W18),LA Galaxy (5),2-1,?,Sporting Kansas City (7),,
Regular,?,,East,East,(Fri) 4 May 2001 (W18),New York Red Bulls (6),3-2,?,D.C. United (4),,
Regular,?,,East,East,(Tue) 8 May 2001 (W19),D.C. United (5),5-0,?,New England Revolution (6),,
Regular,?,,Central,West,(Tue) 8 May 2001 (W19),Tampa Bay Mutiny (6),4-4,?,LA Galaxy (6),,
Regular,?,,West,Central,(Fri) 11 May 2001 (W19),Colorado Rapids (6),2-1,?,Tampa Bay Mutiny (7),,
Regular,?,,East,West,(Fri) 11 May 2001 (W19),D.C. United (6),2-3,?,San Jose Earthquakes (6),,
Regular,?,,Central,Central,(Fri) 11 May 2001 (W19),FC Dallas (6),4-0,?,Columbus Crew SC (5),,
Regular,?,,East,Central,(Fri) 11 May 2001 (W19),New England Revolution (7),2-1,?,Chicago Fire (6),,
Regular,?,,East,West,(Fri) 11 May 2001 (W19),New York Red Bulls (7),2-0,?,LA Galaxy (7),,
Regular,?,,East,Central,(Tue) 15 May 2001 (W20),New England Revolution (8),2-1,?,Columbus Crew SC (6),,
Regular,?,,East,West,(Tue) 15 May 2001 (W20),New York Red Bulls (8),1-0,?,Colorado Rapids (7),,
Regular,?,,Central,West,(Fri) 18 May 2001 (W20),Chicago Fire (7),2-0,?,Sporting Kansas City (8),,
Regular,?,,West,East,(Fri) 18 May 2001 (W20),Colorado Rapids (8),0-1,?,New England Revolution (9),,
Regular,?,,Central,East,(Fri) 18 May 2001 (W20),Columbus Crew SC (7),2-1,?,D.C. United (7),,
Regular,?,,West,East,(Fri) 18 May 2001 (W20),San Jose Earthquakes (7),2-0,?,New York Red Bulls (9),,
Regular,?,,West,Central,(Fri) 18 May 2001 (W20),LA Galaxy (8),0-0,?,FC Dallas (7),,
Regular,?,,East,Central,(Fri) 18 May 2001 (W20),Miami Fusion (7),3-1,?,Tampa Bay Mutiny (8),,
Regular,?,,West,East,(Tue) 22 May 2001 (W21),Colorado Rapids (9),0-1,?,Miami Fusion (8),,
