Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,P
Regular,?,,(Sat) 30 Apr 2005 (W17),Real Salt Lake (5),2-2,?,San Jose Earthquakes (5),West,West,,
Regular,?,,(Sun) 1 May 2005 (W17),LA Galaxy (4),2-0,?,FC Dallas (5),West,West,,
Regular,?,,(Sat) 7 May 2005 (W18),New York Red Bulls (5),0-1,?,San Jose Earthquakes (6),East,West,,
Regular,?,,(Sat) 7 May 2005 (W18),New England Revolution (6),2-0,?,Chicago Fire (7),East,East,,
Regular,?,,(Sat) 7 May 2005 (W18),D.C. United (6),3-1,?,Columbus Crew SC (6),East,East,,
Regular,?,,(Sat) 7 May 2005 (W18),Sporting Kansas City (5),3-3,?,FC Dallas (6),East,West,,
Regular,?,,(Sun) 8 May 2005 (W18),CD Chivas USA (6),1-0,?,Real Salt Lake (6),West,West,,
Regular,?,,(Sun) 8 May 2005 (W18),LA Galaxy (5),3-2,?,Colorado Rapids (6),West,West,,
Regular,?,,(Sat) 14 May 2005 (W19),New England Revolution (7),1-0,?,D.C. United (7),East,East,,
Regular,?,,(Sat) 14 May 2005 (W19),Columbus Crew SC (7),0-4,?,Sporting Kansas City (6),East,East,,
Regular,?,,(Sat) 14 May 2005 (W19),Chicago Fire (8),0-3,?,New York Red Bulls (6),East,East,,
Regular,?,,(Sat) 14 May 2005 (W19),Colorado Rapids (7),2-1,?,CD Chivas USA (7),West,West,,
Regular,?,,(Sat) 14 May 2005 (W19),Real Salt Lake (7),2-1,?,LA Galaxy (6),West,West,,
Regular,?,,(Sun) 15 May 2005 (W19),San Jose Earthquakes (7),0-0,?,FC Dallas (7),West,West,,
Regular,?,,(Wed) 18 May 2005 (W20),FC Dallas (8),2-1,?,Colorado Rapids (8),West,West,,
Regular,?,,(Wed) 18 May 2005 (W20),Real Salt Lake (8),2-0,?,CD Chivas USA (8),West,West,,
Regular,?,,(Sat) 21 May 2005 (W20),New York Red Bulls (7),2-2,?,New England Revolution (8),East,East,,
Regular,?,,(Sat) 21 May 2005 (W20),Columbus Crew SC (8),2-0,?,Real Salt Lake (9),East,West,,
Regular,?,,(Sat) 21 May 2005 (W20),D.C. United (8),3-2,?,Sporting Kansas City (7),East,East,,
Regular,?,,(Sat) 21 May 2005 (W20),Chicago Fire (9),2-1,?,Colorado Rapids (9),East,West,,
Regular,?,,(Sun) 22 May 2005 (W20),LA Galaxy (7),2-1,?,San Jose Earthquakes (8),West,West,,
Regular,?,,(Sun) 22 May 2005 (W20),CD Chivas USA (9),2-5,?,FC Dallas (9),West,West,,
Regular,?,,(Wed) 25 May 2005 (W21),Sporting Kansas City (8),1-0,?,New York Red Bulls (8),East,East,,
Regular,?,,(Wed) 25 May 2005 (W21),Colorado Rapids (10),0-1,?,San Jose Earthquakes (9),West,West,,
Regular,?,,(Thu) 26 May 2005 (W21),LA Galaxy (8),0-0,?,Columbus Crew SC (9),West,East,,
Regular,?,,(Sat) 28 May 2005 (W21),Columbus Crew SC (10),0-3,?,New York Red Bulls (9),East,East,,
Regular,?,,(Sat) 28 May 2005 (W21),D.C. United (9),0-2,?,FC Dallas (10),East,West,,
Regular,?,,(Sat) 28 May 2005 (W21),New England Revolution (9),0-0,?,Colorado Rapids (11),East,West,,
Regular,?,,(Sat) 28 May 2005 (W21),Sporting Kansas City (9),1-0,?,San Jose Earthquakes (10),East,West,,
Regular,?,,(Sat) 28 May 2005 (W21),Real Salt Lake (10),0-3,?,Chicago Fire (10),West,East,,
Regular,?,,(Sun) 29 May 2005 (W21),CD Chivas USA (10),0-2,?,LA Galaxy (9),West,West,,
Regular,?,,(Tue) 31 May 2005 (W22),New York Red Bulls (10),2-1,?,Chicago Fire (11),East,East,,
Regular,?,,(Thu) 2 Jun 2005 (W22),CD Chivas USA (11),1-1,?,Sporting Kansas City (10),West,East,,
Regular,?,,(Sat) 4 Jun 2005 (W22),Chicago Fire (12),5-2,?,CD Chivas USA (12),East,West,,
Regular,?,,(Sat) 4 Jun 2005 (W22),New England Revolution (10),1-1,?,Sporting Kansas City (11),East,East,,
Regular,?,,(Sun) 5 Jun 2005 (W22),Real Salt Lake (11),0-2,?,FC Dallas (11),West,West,,
Regular,?,,(Sun) 5 Jun 2005 (W22),LA Galaxy (10),2-2,?,New York Red Bulls (11),West,East,,
Regular,?,,(Sun) 5 Jun 2005 (W22),San Jose Earthquakes (11),0-0,?,D.C. United (10),West,East,,
Regular,?,,(Sat) 11 Jun 2005 (W23),Columbus Crew SC (11),1-0,?,Colorado Rapids (12),East,West,,
Regular,?,,(Sat) 11 Jun 2005 (W23),Sporting Kansas City (12),0-2,?,New England Revolution (11),East,East,,
Regular,?,,(Sun) 12 Jun 2005 (W23),LA Galaxy (11),1-0,?,Real Salt Lake (12),West,West,,
Regular,?,,(Sun) 12 Jun 2005 (W23),New York Red Bulls (12),0-0,?,D.C. United (11),East,East,,
Regular,?,,(Sun) 12 Jun 2005 (W23),Chicago Fire (13),2-0,?,FC Dallas (12),East,West,,
Regular,?,,(Sun) 12 Jun 2005 (W23),CD Chivas USA (13),1-1,?,San Jose Earthquakes (12),West,West,,
Regular,?,,(Wed) 15 Jun 2005 (W24),D.C. United (12),4-3,?,Chicago Fire (14),East,East,,
Regular,?,,(Wed) 15 Jun 2005 (W24),Colorado Rapids (13),1-0,?,LA Galaxy (12),West,West,,
Regular,?,,(Sat) 18 Jun 2005 (W24),Chicago Fire (15),1-1,?,Sporting Kansas City (13),East,East,,
Regular,?,,(Sat) 18 Jun 2005 (W24),D.C. United (13),2-0,?,New England Revolution (12),East,East,,
Regular,?,,(Sat) 18 Jun 2005 (W24),New York Red Bulls (13),3-2,?,Columbus Crew SC (12),East,East,,
Regular,?,,(Sat) 18 Jun 2005 (W24),FC Dallas (13),1-0,?,LA Galaxy (13),West,West,,
Regular,?,,(Sun) 19 Jun 2005 (W24),CD Chivas USA (14),1-3,?,Colorado Rapids (14),West,West,,
Regular,?,,(Sun) 19 Jun 2005 (W24),San Jose Earthquakes (13),3-0,?,Real Salt Lake (13),West,West,,
Regular,?,,(Wed) 22 Jun 2005 (W25),Columbus Crew SC (13),1-3,?,New England Revolution (13),East,East,,
Regular,?,,(Wed) 22 Jun 2005 (W25),FC Dallas (14),2-1,?,CD Chivas USA (15),West,West,,
Regular,?,,(Wed) 22 Jun 2005 (W25),Real Salt Lake (14),1-1,?,LA Galaxy (14),West,West,,
Regular,?,,(Sat) 25 Jun 2005 (W25),New England Revolution (14),4-2,?,New York Red Bulls (14),East,East,,
Regular,?,,(Sat) 25 Jun 2005 (W25),Sporting Kansas City (14),3-0,?,CD Chivas USA (16),East,West,,
Regular,?,,(Sat) 25 Jun 2005 (W25),Colorado Rapids (15),1-3,?,FC Dallas (15),West,West,,
Regular,?,,(Sun) 26 Jun 2005 (W25),San Jose Earthquakes (14),3-0,?,LA Galaxy (15),West,West,,
Regular,?,,(Sun) 26 Jun 2005 (W25),Chicago Fire (16),3-1,?,Real Salt Lake (15),East,West,,
Regular,?,,(Wed) 29 Jun 2005 (W26),Sporting Kansas City (15),1-1,?,Columbus Crew SC (14),East,East,,
Regular,?,,(Wed) 29 Jun 2005 (W26),Chicago Fire (17),4-3,?,D.C. United (14),East,East,,
Regular,?,,(Thu) 30 Jun 2005 (W26),San Jose Earthquakes (15),1-0,?,Colorado Rapids (16),West,West,,
Regular,?,,(Sat) 2 Jul 2005 (W26),Columbus Crew SC (15),0-1,?,D.C. United (15),East,East,,
Regular,?,,(Sat) 2 Jul 2005 (W26),FC Dallas (16),2-2,?,San Jose Earthquakes (16),West,West,,
Regular,?,,(Sun) 3 Jul 2005 (W26),CD Chivas USA (17),0-1,?,Chicago Fire (18),West,East,,
Regular,?,,(Mon) 4 Jul 2005 (W27),Real Salt Lake (16),2-2,?,New York Red Bulls (15),West,East,,
Regular,?,,(Mon) 4 Jul 2005 (W27),Colorado Rapids (17),2-1,?,Sporting Kansas City (16),West,East,,
Regular,?,,(Tue) 5 Jul 2005 (W27),LA Galaxy (16),1-1,?,New England Revolution (15),West,East,,
Regular,?,,(Sat) 9 Jul 2005 (W27),D.C. United (16),0-1,?,Sporting Kansas City (17),East,East,,
Regular,?,,(Sat) 9 Jul 2005 (W27),Columbus Crew SC (16),1-2,?,San Jose Earthquakes (17),East,West,,
Regular,?,,(Sat) 9 Jul 2005 (W27),New York Red Bulls (16),2-1,?,LA Galaxy (17),East,West,,
Regular,?,,(Sat) 9 Jul 2005 (W27),Chicago Fire (19),1-0,?,New England Revolution (16),East,East,,
Regular,?,,(Sun) 10 Jul 2005 (W27),CD Chivas USA (18),5-1,?,Real Salt Lake (17),West,West,,
Regular,?,,(Fri) 15 Jul 2005 (W28),D.C. United (17),3-0,?,San Jose Earthquakes (18),East,West,,
Regular,?,,(Sat) 16 Jul 2005 (W28),Chicago Fire (20),1-1,?,Columbus Crew SC (17),East,East,,
Regular,?,,(Sat) 16 Jul 2005 (W28),New England Revolution (17),3-2,?,FC Dallas (17),East,West,,
Regular,?,,(Sat) 16 Jul 2005 (W28),New York Red Bulls (17),1-1,?,Colorado Rapids (18),East,West,,
Regular,?,,(Sat) 16 Jul 2005 (W28),Sporting Kansas City (18),3-2,?,Real Salt Lake (18),East,West,,
Regular,?,,(Sun) 17 Jul 2005 (W28),LA Galaxy (18),2-0,?,CD Chivas USA (19),West,West,,
Regular,?,,(Wed) 20 Jul 2005 (W29),Columbus Crew SC (18),1-0,?,New York Red Bulls (18),East,East,,
Regular,?,,(Wed) 20 Jul 2005 (W29),Sporting Kansas City (19),1-1,?,D.C. United (18),East,East,,
Regular,?,,(Wed) 20 Jul 2005 (W29),Colorado Rapids (19),1-2,?,San Jose Earthquakes (19),West,West,,
Regular,?,,(Sat) 23 Jul 2005 (W29),CD Chivas USA (20),1-0,?,New England Revolution (18),West,East,,
Regular,?,,(Sat) 23 Jul 2005 (W29),LA Galaxy (19),0-1,?,D.C. United (19),West,East,,
Regular,?,,(Sat) 23 Jul 2005 (W29),Columbus Crew SC (19),2-0,?,Sporting Kansas City (20),East,East,,
Regular,?,,(Sat) 23 Jul 2005 (W29),Colorado Rapids (20),4-1,?,Chicago Fire (21),West,East,,
Regular,?,,(Sat) 23 Jul 2005 (W29),Real Salt Lake (19),3-0,?,FC Dallas (18),West,West,,
Regular,?,,(Sun) 24 Jul 2005 (W29),San Jose Earthquakes (20),2-1,?,New York Red Bulls (19),West,East,,
Regular,?,,(Wed) 27 Jul 2005 (W30),New York Red Bulls (20),3-2,?,FC Dallas (19),East,West,,
Regular,?,,(Wed) 27 Jul 2005 (W30),New England Revolution (19),1-1,?,LA Galaxy (20),East,West,,
Regular,?,,(Sat) 6 Aug 2005 (W31),Real Salt Lake (20),2-1,?,CD Chivas USA (21),West,West,,
Regular,?,,(Sat) 6 Aug 2005 (W31),New England Revolution (20),1-2,?,Sporting Kansas City (21),East,East,,
Regular,?,,(Sat) 6 Aug 2005 (W31),FC Dallas (20),2-2,?,New York Red Bulls (21),West,East,,
Regular,?,,(Sat) 6 Aug 2005 (W31),Chicago Fire (22),2-3,?,D.C. United (20),East,East,,
Regular,?,,(Sat) 6 Aug 2005 (W31),Colorado Rapids (21),2-0,?,LA Galaxy (21),West,West,,
Regular,?,,(Sun) 7 Aug 2005 (W31),San Jose Earthquakes (21),2-1,?,Columbus Crew SC (20),West,East,,
Regular,?,,(Wed) 10 Aug 2005 (W32),D.C. United (21),3-0,?,New York Red Bulls (22),East,East,,
Regular,?,,(Wed) 10 Aug 2005 (W32),New England Revolution (21),4-1,?,Real Salt Lake (21),East,West,,
Regular,?,,(Wed) 10 Aug 2005 (W32),Chicago Fire (23),2-3,?,Sporting Kansas City (22),East,East,,
Regular,?,,(Thu) 11 Aug 2005 (W32),CD Chivas USA (22),0-1,?,LA Galaxy (22),West,West,,
Regular,?,,(Sat) 13 Aug 2005 (W32),D.C. United (22),3-0,?,CD Chivas USA (23),East,West,,
Regular,?,,(Sat) 13 Aug 2005 (W32),Chicago Fire (24),2-1,?,LA Galaxy (23),East,West,,
Regular,?,,(Sat) 13 Aug 2005 (W32),FC Dallas (21),1-2,?,New England Revolution (22),West,East,,
Regular,?,,(Sat) 13 Aug 2005 (W32),Real Salt Lake (22),2-4,?,Sporting Kansas City (23),West,East,,
Regular,?,,(Sun) 14 Aug 2005 (W32),San Jose Earthquakes (22),1-1,?,Colorado Rapids (22),West,West,,
Regular,?,,(Sun) 14 Aug 2005 (W32),New York Red Bulls (23),2-1,?,Columbus Crew SC (21),East,East,,
Regular,?,,(Wed) 17 Aug 2005 (W33),Colorado Rapids (23),2-0,?,New England Revolution (23),West,East,,
Regular,?,,(Fri) 19 Aug 2005 (W33),Sporting Kansas City (24),3-0,?,Chicago Fire (25),East,East,,
Regular,?,,(Sat) 20 Aug 2005 (W33),Columbus Crew SC (22),1-0,?,FC Dallas (22),East,West,,
Regular,?,,(Sat) 20 Aug 2005 (W33),D.C. United (23),2-3,?,LA Galaxy (24),East,West,,
Regular,?,,(Sat) 20 Aug 2005 (W33),Real Salt Lake (23),0-1,?,San Jose Earthquakes (23),West,West,,
Regular,?,,(Sun) 21 Aug 2005 (W33),New York Red Bulls (24),3-3,?,CD Chivas USA (24),East,West,,
Regular,?,,(Fri) 26 Aug 2005 (W34),Sporting Kansas City (25),0-1,?,Columbus Crew SC (23),East,East,,
Regular,?,,(Sat) 27 Aug 2005 (W34),New England Revolution (24),2-1,?,D.C. United (24),East,East,,
Regular,?,,(Sat) 27 Aug 2005 (W34),FC Dallas (23),2-2,?,CD Chivas USA (25),West,West,,
Regular,?,,(Sun) 28 Aug 2005 (W34),San Jose Earthquakes (24),2-1,?,LA Galaxy (25),West,West,,
Regular,?,,(Wed) 31 Aug 2005 (W35),D.C. United (25),5-1,?,Real Salt Lake (24),East,West,,
Regular,?,,(Sat) 3 Sep 2005 (W35),New York Red Bulls (25),2-2,?,Sporting Kansas City (26),East,East,,
Regular,?,,(Sat) 3 Sep 2005 (W35),FC Dallas (24),0-2,?,San Jose Earthquakes (25),West,West,,
Regular,?,,(Sat) 3 Sep 2005 (W35),Colorado Rapids (24),1-0,?,D.C. United (26),West,East,,
Regular,?,,(Sat) 3 Sep 2005 (W35),Real Salt Lake (25),0-1,?,New England Revolution (25),West,East,,
Regular,?,,(Sun) 4 Sep 2005 (W35),CD Chivas USA (26),0-3,?,Columbus Crew SC (24),West,East,,
Regular,?,,(Sun) 4 Sep 2005 (W35),LA Galaxy (26),1-2,?,Chicago Fire (26),West,East,,
Regular,?,,(Sat) 10 Sep 2005 (W36),New England Revolution (26),3-1,?,Columbus Crew SC (25),East,East,,
Regular,?,,(Sat) 10 Sep 2005 (W36),Sporting Kansas City (27),0-1,?,New York Red Bulls (26),East,East,,
Regular,?,,(Sat) 10 Sep 2005 (W36),FC Dallas (25),1-2,?,D.C. United (27),West,East,,
Regular,?,,(Sun) 11 Sep 2005 (W36),LA Galaxy (27),4-1,?,Colorado Rapids (25),West,West,,
Regular,?,,(Sun) 11 Sep 2005 (W36),San Jose Earthquakes (26),3-0,?,CD Chivas USA (27),West,West,,
Regular,?,,(Sat) 17 Sep 2005 (W37),Columbus Crew SC (26),1-2,?,Chicago Fire (27),East,East,,
Regular,?,,(Sat) 17 Sep 2005 (W37),D.C. United (28),2-0,?,Colorado Rapids (26),East,West,,
Regular,?,,(Sat) 17 Sep 2005 (W37),New York Red Bulls (27),5-4,?,New England Revolution (27),East,East,,
Regular,?,,(Sat) 17 Sep 2005 (W37),Sporting Kansas City (28),2-2,?,LA Galaxy (28),East,West,,
Regular,?,,(Sun) 18 Sep 2005 (W37),CD Chivas USA (28),1-2,?,San Jose Earthquakes (27),West,West,,
Regular,?,,(Sun) 18 Sep 2005 (W37),FC Dallas (26),2-1,?,Real Salt Lake (26),West,West,,
Regular,?,,(Wed) 21 Sep 2005 (W38),Colorado Rapids (27),2-0,?,Real Salt Lake (27),West,West,,
Regular,?,,(Wed) 21 Sep 2005 (W38),Columbus Crew SC (27),1-1,?,New England Revolution (28),East,East,,
Regular,?,,(Wed) 21 Sep 2005 (W38),FC Dallas (27),4-1,?,LA Galaxy (29),West,West,,
Regular,?,,(Wed) 21 Sep 2005 (W38),Colorado Rapids (28),2-0,?,Real Salt Lake (28),West,West,,
Regular,?,,(Thu) 22 Sep 2005 (W38),San Jose Earthquakes (28),2-0,?,Chicago Fire (28),West,East,,
Regular,?,,(Sat) 24 Sep 2005 (W38),New England Revolution (29),1-0,?,New York Red Bulls (28),East,East,,
Regular,?,,(Sat) 24 Sep 2005 (W38),Real Salt Lake (29),1-2,?,Columbus Crew SC (28),West,East,,
Regular,?,,(Sun) 25 Sep 2005 (W38),CD Chivas USA (29),1-3,?,Colorado Rapids (29),West,West,,
Regular,?,,(Sun) 25 Sep 2005 (W38),San Jose Earthquakes (29),1-1,?,FC Dallas (28),West,West,,
Regular,?,,(Sun) 25 Sep 2005 (W38),LA Galaxy (30),2-1,?,Sporting Kansas City (29),West,East,,
Regular,?,,(Sat) 1 Oct 2005 (W39),Columbus Crew SC (29),0-1,?,CD Chivas USA (30),East,West,,
Regular,?,,(Sat) 1 Oct 2005 (W39),New York Red Bulls (29),1-4,?,D.C. United (29),East,East,,
Regular,?,,(Sat) 1 Oct 2005 (W39),New England Revolution (30),0-2,?,San Jose Earthquakes (30),East,West,,
Regular,?,,(Sat) 1 Oct 2005 (W39),Sporting Kansas City (30),0-1,?,Chicago Fire (29),East,East,,
Regular,?,,(Sat) 1 Oct 2005 (W39),Colorado Rapids (30),2-1,?,Real Salt Lake (30),West,West,,
Regular,?,,(Sun) 2 Oct 2005 (W39),LA Galaxy (31),2-1,?,FC Dallas (29),West,West,,
Regular,?,,(Wed) 5 Oct 2005 (W40),Chicago Fire (30),2-2,?,New York Red Bulls (30),East,East,,
Regular,?,,(Wed) 5 Oct 2005 (W40),FC Dallas (30),2-1,?,Columbus Crew SC (30),West,East,,
Regular,?,,(Wed) 5 Oct 2005 (W40),Colorado Rapids (31),1-1,?,CD Chivas USA (31),West,West,,
Regular,?,,(Wed) 5 Oct 2005 (W40),Real Salt Lake (31),1-3,?,D.C. United (30),West,East,,
Regular,?,,(Sat) 8 Oct 2005 (W40),D.C. United (31),1-2,?,New York Red Bulls (31),East,East,,
Regular,?,,(Sat) 8 Oct 2005 (W40),Sporting Kansas City (31),2-2,?,New England Revolution (31),East,East,,
Regular,?,,(Sat) 8 Oct 2005 (W40),Chicago Fire (31),1-2,?,Columbus Crew SC (31),East,East,,
Regular,?,,(Sat) 8 Oct 2005 (W40),FC Dallas (31),0-0,?,Colorado Rapids (32),West,West,,
Regular,?,,(Sun) 9 Oct 2005 (W40),San Jose Earthquakes (31),2-2,?,Real Salt Lake (32),West,West,,
Regular,?,,(Wed) 12 Oct 2005 (W41),Real Salt Lake (33),0-1,?,Colorado Rapids (33),West,West,,
Regular,?,,(Sat) 15 Oct 2005 (W41),D.C. United (32),2-2,?,Columbus Crew SC (32),East,East,,
Regular,?,,(Sat) 15 Oct 2005 (W41),New England Revolution (32),1-0,?,Chicago Fire (32),East,East,,
Regular,?,,(Sat) 15 Oct 2005 (W41),FC Dallas (32),2-2,?,Sporting Kansas City (32),West,East,,
Regular,?,,(Sun) 16 Oct 2005 (W41),LA Galaxy (32),1-3,?,San Jose Earthquakes (32),West,West,,
Regular,?,,(Sun) 16 Oct 2005 (W41),CD Chivas USA (32),0-2,?,New York Red Bulls (32),West,East,,
Playoff,Conf. Semifinals,1,(Fri) 21 Oct 2005 (W42),Chicago Fire (33),0-0,?,D.C. United (33),East,East,,
Playoff,Conf. Semifinals,1,(Sat) 22 Oct 2005 (W42),New York Red Bulls (33),1-0,?,New England Revolution (33),East,East,,
Playoff,Conf. Semifinals,1,(Sat) 22 Oct 2005 (W42),Colorado Rapids (34),0-0,?,FC Dallas (33),West,West,,
Playoff,Conf. Semifinals,1,(Sun) 23 Oct 2005 (W42),LA Galaxy (33),3-1,?,San Jose Earthquakes (33),West,West,,
Playoff,Conf. Semifinals,2,(Sat) 29 Oct 2005 (W43),New England Revolution (34),3-1,?,New York Red Bulls (34),East,East,,
Playoff,Conf. Semifinals,2,(Sat) 29 Oct 2005 (W43),FC Dallas (34),1-1,?,Colorado Rapids (35),West,West,2-2 (a.e.t.),4-5 (pen.)
Playoff,Conf. Semifinals,2,(Sun) 30 Oct 2005 (W43),San Jose Earthquakes (34),1-1,?,LA Galaxy (34),West,West,,
Playoff,Conf. Semifinals,2,(Sun) 30 Oct 2005 (W43),D.C. United (34),0-4,?,Chicago Fire (34),East,East,,
Playoff,Conf. Finals,,(Sat) 5 Nov 2005 (W44),Colorado Rapids (36),0-2,?,LA Galaxy (35),West,West,,
Playoff,Conf. Finals,,(Sun) 6 Nov 2005 (W44),New England Revolution (35),1-0,?,Chicago Fire (35),East,East,,
Playoff,Final,,(Sun) 13 Nov 2005 (W45),New England Revolution (36),0-0,?,LA Galaxy (36),East,West,0-1 (a.e.t.),
