Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,P
Regular,?,,(Sat) 6 Sep 1997 (W35),Colorado Rapids (28),1-2,?,Sporting Kansas City (28),West,West,,
Regular,?,,(Sat) 6 Sep 1997 (W35),San Jose Earthquakes (28),4-0,?,New York Red Bulls (26),West,East,,
Regular,?,,(Sun) 7 Sep 1997 (W35),LA Galaxy (27),6-1,?,Tampa Bay Mutiny (27),West,East,,
Regular,?,,(Tue) 9 Sep 1997 (W36),New York Red Bulls (27),3-1,?,New England Revolution (28),East,East,,
Regular,?,,(Wed) 10 Sep 1997 (W36),LA Galaxy (28),2-0,?,Colorado Rapids (29),West,West,,
Regular,?,,(Thu) 11 Sep 1997 (W36),San Jose Earthquakes (29),0-1,?,FC Dallas (28),West,West,,
Regular,?,,(Fri) 12 Sep 1997 (W36),New England Revolution (29),1-0,?,Columbus Crew SC (28),East,East,,
Regular,?,,(Fri) 12 Sep 1997 (W36),Sporting Kansas City (29),0-1,?,New York Red Bulls (28),West,East,,
Regular,?,,(Sat) 13 Sep 1997 (W36),Tampa Bay Mutiny (28),1-2,?,D.C. United (28),East,East,,
Regular,?,,(Sun) 14 Sep 1997 (W36),Columbus Crew SC (29),4-0,?,Sporting Kansas City (30),East,West,,
Regular,?,,(Sun) 14 Sep 1997 (W36),FC Dallas (29),1-3,?,LA Galaxy (29),West,West,,
Regular,?,,(Tue) 16 Sep 1997 (W37),New York Red Bulls (29),0-1,?,FC Dallas (30),East,West,,
Regular,?,,(Tue) 16 Sep 1997 (W37),D.C. United (29),3-2,?,New England Revolution (30),East,East,,
Regular,?,,(Wed) 17 Sep 1997 (W37),Colorado Rapids (30),1-2,?,San Jose Earthquakes (30),West,West,,
Regular,?,,(Thu) 18 Sep 1997 (W37),Tampa Bay Mutiny (29),2-1,?,Columbus Crew SC (30),East,East,,
Regular,?,,(Fri) 19 Sep 1997 (W37),LA Galaxy (30),2-1,?,FC Dallas (31),West,West,,
Regular,?,,(Sat) 20 Sep 1997 (W37),New England Revolution (31),3-2,?,New York Red Bulls (30),East,East,,
Regular,?,,(Sun) 21 Sep 1997 (W37),D.C. United (30),1-2,?,Tampa Bay Mutiny (30),East,East,,
Regular,?,,(Sun) 21 Sep 1997 (W37),San Jose Earthquakes (31),2-3,?,LA Galaxy (31),West,West,,
