Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,East,East,(Sat) 29 Mar 2008 (W12),Columbus Crew SC (1),2-0,?,Toronto FC (1),,
Regular,?,West,East,(Sat) 29 Mar 2008 (W12),Real Salt Lake (1),1-1,?,Chicago Fire (1),,
Regular,?,East,West,(Sat) 29 Mar 2008 (W12),New England Revolution (1),3-0,?,Houston Dynamo (1),,
Regular,?,East,East,(Sat) 29 Mar 2008 (W12),Sporting Kansas City (1),2-0,?,D.C. United (1),,
Regular,?,West,West,(Sat) 29 Mar 2008 (W12),Colorado Rapids (1),4-0,?,LA Galaxy (1),,
Regular,?,West,West,(Sun) 30 Mar 2008 (W12),FC Dallas (1),1-1,?,CD Chivas USA (1),,
Regular,?,East,East,(Thu) 3 Apr 2008 (W13),Chicago Fire (2),4-0,?,New England Revolution (2),,
Regular,?,West,West,(Fri) 4 Apr 2008 (W13),LA Galaxy (2),2-0,?,San Jose Earthquakes (1),,
Regular,?,East,West,(Sat) 5 Apr 2008 (W13),Sporting Kansas City (2),3-2,?,Colorado Rapids (2),,
Regular,?,East,East,(Sat) 5 Apr 2008 (W13),New York Red Bulls (1),2-0,?,Columbus Crew SC (2),,
Regular,?,East,East,(Sat) 5 Apr 2008 (W13),D.C. United (2),4-1,?,Toronto FC (2),,
Regular,?,West,West,(Sun) 6 Apr 2008 (W13),CD Chivas USA (2),3-1,?,Real Salt Lake (2),,
Regular,?,West,West,(Sun) 6 Apr 2008 (W13),Houston Dynamo (2),3-3,?,FC Dallas (2),,
Regular,?,East,East,(Wed) 9 Apr 2008 (W14),Sporting Kansas City (3),1-3,?,New England Revolution (3),,
Regular,?,West,East,(Sat) 12 Apr 2008 (W14),San Jose Earthquakes (2),0-1,?,Chicago Fire (3),,
Regular,?,East,West,(Sat) 12 Apr 2008 (W14),Columbus Crew SC (3),4-3,?,CD Chivas USA (3),,
Regular,?,East,West,(Sat) 12 Apr 2008 (W14),New England Revolution (4),0-1,?,Colorado Rapids (3),,
Regular,?,East,West,(Sat) 12 Apr 2008 (W14),Sporting Kansas City (4),0-0,?,Houston Dynamo (3),,
Regular,?,West,East,(Sat) 12 Apr 2008 (W14),FC Dallas (3),2-0,?,New York Red Bulls (2),,
Regular,?,West,East,(Sat) 12 Apr 2008 (W14),Real Salt Lake (3),4-0,?,D.C. United (3),,
Regular,?,West,East,(Sun) 13 Apr 2008 (W14),LA Galaxy (3),2-3,?,Toronto FC (3),,
Regular,?,East,East,(Thu) 17 Apr 2008 (W15),D.C. United (4),1-2,?,Columbus Crew SC (4),,
Regular,?,East,West,(Sat) 19 Apr 2008 (W15),Toronto FC (4),1-0,?,Real Salt Lake (4),,
Regular,?,East,East,(Sat) 19 Apr 2008 (W15),New York Red Bulls (3),1-1,?,New England Revolution (5),,
Regular,?,West,West,(Sat) 19 Apr 2008 (W15),Colorado Rapids (4),0-2,?,San Jose Earthquakes (3),,
