Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,West,(Sat) 23 Mar 2002 (W11),FC Dallas (1),0-2,?,San Jose Earthquakes (1),,
Regular,?,West,East,(Sat) 23 Mar 2002 (W11),LA Galaxy (1),2-1,?,D.C. United (1),,
Regular,?,East,East,(Sat) 23 Mar 2002 (W11),New York Red Bulls (1),3-1,?,New England Revolution (1),,
Regular,?,West,West,(Sat) 23 Mar 2002 (W11),Sporting Kansas City (1),1-1,?,Colorado Rapids (1),,
Regular,?,East,East,(Sat) 23 Mar 2002 (W11),Columbus Crew SC (1),0-2,?,Chicago Fire (1),,
Regular,?,East,East,(Wed) 27 Mar 2002 (W12),New York Red Bulls (2),0-1,?,Columbus Crew SC (2),,
Regular,?,West,West,(Sat) 30 Mar 2002 (W12),Colorado Rapids (2),1-0,?,San Jose Earthquakes (2),,
Regular,?,East,East,(Sat) 30 Mar 2002 (W12),D.C. United (2),2-0,?,Chicago Fire (2),,
Regular,?,West,East,(Wed) 3 Apr 2002 (W13),Colorado Rapids (3),2-0,?,D.C. United (3),,
Regular,?,East,East,(Sat) 6 Apr 2002 (W13),Columbus Crew SC (3),1-2,?,New York Red Bulls (3),,
Regular,?,West,East,(Sat) 6 Apr 2002 (W13),FC Dallas (2),2-1,?,D.C. United (4),,
Regular,?,West,East,(Sat) 6 Apr 2002 (W13),LA Galaxy (2),2-1,?,Chicago Fire (3),,
Regular,?,West,East,(Sat) 6 Apr 2002 (W13),San Jose Earthquakes (3),2-1,?,New England Revolution (2),,
Regular,?,West,East,(Sat) 13 Apr 2002 (W14),Colorado Rapids (4),1-2,?,New York Red Bulls (4),,
Regular,?,West,West,(Sat) 13 Apr 2002 (W14),LA Galaxy (3),1-1,?,FC Dallas (3),,
Regular,?,West,West,(Sat) 13 Apr 2002 (W14),Sporting Kansas City (2),2-0,?,San Jose Earthquakes (4),,
Regular,?,East,West,(Sat) 20 Apr 2002 (W15),D.C. United (5),2-1,?,Sporting Kansas City (3),,
Regular,?,West,West,(Sat) 20 Apr 2002 (W15),FC Dallas (4),1-1,?,LA Galaxy (4),,
Regular,?,West,West,(Sat) 20 Apr 2002 (W15),San Jose Earthquakes (5),2-0,?,Colorado Rapids (5),,
Regular,?,East,East,(Sat) 20 Apr 2002 (W15),New York Red Bulls (5),0-2,?,Chicago Fire (4),,
Regular,?,East,East,(Sat) 20 Apr 2002 (W15),Columbus Crew SC (4),0-2,?,New England Revolution (3),,
Regular,?,East,East,(Sat) 27 Apr 2002 (W16),Chicago Fire (5),2-2,?,New England Revolution (4),,
Regular,?,East,East,(Sat) 27 Apr 2002 (W16),Columbus Crew SC (5),1-0,?,D.C. United (6),,
Regular,?,West,West,(Sat) 27 Apr 2002 (W16),FC Dallas (5),1-1,?,Sporting Kansas City (4),,
Regular,?,East,West,(Sat) 27 Apr 2002 (W16),New York Red Bulls (6),1-1,?,San Jose Earthquakes (6),,
Regular,?,West,West,(Sat) 27 Apr 2002 (W16),LA Galaxy (5),0-1,?,Colorado Rapids (6),,
Regular,?,East,East,(Sat) 4 May 2002 (W17),D.C. United (7),0-3,?,Chicago Fire (6),,
Regular,?,East,West,(Sat) 4 May 2002 (W17),New York Red Bulls (7),1-2,?,FC Dallas (6),,
Regular,?,West,West,(Sat) 4 May 2002 (W17),Sporting Kansas City (5),1-2,?,LA Galaxy (6),,
Regular,?,West,East,(Sat) 4 May 2002 (W17),San Jose Earthquakes (7),3-2,?,Columbus Crew SC (6),,
Regular,?,West,West,(Sat) 11 May 2002 (W18),Colorado Rapids (7),2-0,?,Sporting Kansas City (6),,
Regular,?,West,East,(Sat) 11 May 2002 (W18),San Jose Earthquakes (8),2-1,?,New York Red Bulls (8),,
Regular,?,East,West,(Sat) 11 May 2002 (W18),New England Revolution (5),2-0,?,FC Dallas (7),,
Regular,?,East,West,(Sat) 11 May 2002 (W18),Chicago Fire (7),0-1,?,LA Galaxy (7),,
Regular,?,East,East,(Sun) 12 May 2002 (W18),D.C. United (8),1-1,?,Columbus Crew SC (7),,
Regular,?,East,West,(Sat) 18 May 2002 (W19),Columbus Crew SC (8),2-0,?,San Jose Earthquakes (9),,
Regular,?,East,East,(Sat) 18 May 2002 (W19),D.C. United (9),4-2,?,New York Red Bulls (9),,
Regular,?,West,West,(Sat) 18 May 2002 (W19),Sporting Kansas City (7),2-1,?,LA Galaxy (8),,
Regular,?,West,West,(Sat) 18 May 2002 (W19),FC Dallas (8),3-1,?,Colorado Rapids (8),,
Regular,?,East,East,(Sun) 19 May 2002 (W19),New England Revolution (6),1-3,?,Chicago Fire (8),,
Regular,?,West,East,(Wed) 22 May 2002 (W20),Colorado Rapids (9),5-2,?,New England Revolution (7),,
Regular,?,East,West,(Sat) 25 May 2002 (W20),Columbus Crew SC (9),1-1,?,FC Dallas (9),,
Regular,?,East,West,(Sat) 25 May 2002 (W20),New England Revolution (8),3-2,?,LA Galaxy (9),,
Regular,?,East,West,(Sat) 25 May 2002 (W20),New York Red Bulls (10),1-1,?,Sporting Kansas City (8),,
Regular,?,East,West,(Sun) 26 May 2002 (W20),Chicago Fire (9),1-1,?,San Jose Earthquakes (10),,
Regular,?,West,West,(Sat) 1 Jun 2002 (W21),Colorado Rapids (10),3-2,?,LA Galaxy (10),,
Regular,?,West,West,(Sat) 1 Jun 2002 (W21),Sporting Kansas City (9),2-2,?,FC Dallas (10),,
Regular,?,East,West,(Sat) 1 Jun 2002 (W21),New England Revolution (9),0-2,?,San Jose Earthquakes (11),,
Regular,?,East,East,(Sun) 2 Jun 2002 (W21),Chicago Fire (10),5-4,?,Columbus Crew SC (10),,
Regular,?,East,East,(Sat) 8 Jun 2002 (W22),D.C. United (10),3-2,?,New England Revolution (10),,
Regular,?,West,West,(Sat) 8 Jun 2002 (W22),FC Dallas (11),4-1,?,Colorado Rapids (11),,
Regular,?,West,West,(Sat) 8 Jun 2002 (W22),San Jose Earthquakes (12),3-0,?,Sporting Kansas City (10),,
Regular,?,West,East,(Sat) 8 Jun 2002 (W22),LA Galaxy (11),1-0,?,Chicago Fire (11),,
Regular,?,East,East,(Wed) 12 Jun 2002 (W23),New England Revolution (11),1-2,?,Columbus Crew SC (11),,
Regular,?,East,West,(Sat) 15 Jun 2002 (W23),Chicago Fire (12),1-3,?,FC Dallas (12),,
Regular,?,West,East,(Sat) 15 Jun 2002 (W23),Colorado Rapids (12),1-2,?,New England Revolution (12),,
Regular,?,East,West,(Sat) 15 Jun 2002 (W23),Columbus Crew SC (12),2-1,?,San Jose Earthquakes (13),,
Regular,?,West,East,(Sat) 15 Jun 2002 (W23),Sporting Kansas City (11),2-0,?,D.C. United (11),,
Regular,?,East,West,(Sat) 15 Jun 2002 (W23),New York Red Bulls (11),5-0,?,LA Galaxy (12),,
Regular,?,East,West,(Wed) 19 Jun 2002 (W24),Columbus Crew SC (13),1-1,?,Sporting Kansas City (12),,
Regular,?,East,West,(Wed) 19 Jun 2002 (W24),D.C. United (12),2-0,?,Colorado Rapids (13),,
Regular,?,West,West,(Sat) 22 Jun 2002 (W24),San Jose Earthquakes (14),4-0,?,Colorado Rapids (14),,
Regular,?,West,West,(Sat) 22 Jun 2002 (W24),LA Galaxy (13),3-0,?,FC Dallas (13),,
Regular,?,West,East,(Sat) 22 Jun 2002 (W24),Sporting Kansas City (13),3-2,?,New England Revolution (13),,
Regular,?,East,East,(Sat) 22 Jun 2002 (W24),Chicago Fire (13),0-1,?,New York Red Bulls (12),,
Regular,?,East,West,(Wed) 26 Jun 2002 (W25),New York Red Bulls (13),0-1,?,Colorado Rapids (15),,
Regular,?,West,East,(Sat) 29 Jun 2002 (W25),FC Dallas (14),1-0,?,Columbus Crew SC (14),,
Regular,?,West,West,(Sat) 29 Jun 2002 (W25),San Jose Earthquakes (15),2-1,?,Sporting Kansas City (14),,
Regular,?,East,East,(Sat) 29 Jun 2002 (W25),New England Revolution (14),0-2,?,New York Red Bulls (14),,
Regular,?,East,West,(Sat) 29 Jun 2002 (W25),D.C. United (13),1-0,?,LA Galaxy (14),,
Regular,?,West,East,(Thu) 4 Jul 2002 (W26),Colorado Rapids (16),3-2,?,Chicago Fire (14),,
Regular,?,West,East,(Thu) 4 Jul 2002 (W26),FC Dallas (15),2-0,?,New York Red Bulls (15),,
Regular,?,West,West,(Thu) 4 Jul 2002 (W26),LA Galaxy (15),2-1,?,San Jose Earthquakes (16),,
Regular,?,East,East,(Thu) 4 Jul 2002 (W26),New England Revolution (15),4-1,?,Columbus Crew SC (15),,
Regular,?,West,East,(Thu) 4 Jul 2002 (W26),Sporting Kansas City (15),2-1,?,D.C. United (14),,
Regular,?,East,East,(Sat) 6 Jul 2002 (W26),Columbus Crew SC (16),2-3,?,New York Red Bulls (16),,
Regular,?,East,East,(Sat) 6 Jul 2002 (W26),New England Revolution (16),2-0,?,D.C. United (15),,
Regular,?,West,West,(Sat) 6 Jul 2002 (W26),Sporting Kansas City (16),1-1,?,FC Dallas (16),,
Regular,?,West,West,(Sun) 7 Jul 2002 (W26),San Jose Earthquakes (17),1-0,?,LA Galaxy (16),,
Regular,?,East,West,(Sun) 7 Jul 2002 (W26),Chicago Fire (15),2-1,?,Colorado Rapids (17),,
Regular,?,West,West,(Sat) 13 Jul 2002 (W27),Colorado Rapids (18),1-3,?,LA Galaxy (17),,
Regular,?,East,East,(Sat) 13 Jul 2002 (W27),D.C. United (16),1-3,?,Columbus Crew SC (17),,
Regular,?,West,West,(Sat) 13 Jul 2002 (W27),FC Dallas (17),2-1,?,San Jose Earthquakes (18),,
Regular,?,East,West,(Sat) 13 Jul 2002 (W27),New England Revolution (17),2-4,?,Sporting Kansas City (17),,
Regular,?,East,East,(Sat) 13 Jul 2002 (W27),New York Red Bulls (17),2-3,?,Chicago Fire (16),,
Regular,?,East,East,(Sat) 20 Jul 2002 (W28),Chicago Fire (17),0-0,?,D.C. United (17),,
Regular,?,East,West,(Sat) 20 Jul 2002 (W28),Columbus Crew SC (18),1-1,?,Colorado Rapids (19),,
Regular,?,West,West,(Sat) 20 Jul 2002 (W28),San Jose Earthquakes (19),4-0,?,FC Dallas (18),,
Regular,?,West,West,(Sat) 20 Jul 2002 (W28),LA Galaxy (18),2-2,?,Sporting Kansas City (18),,
Regular,?,East,East,(Sat) 20 Jul 2002 (W28),New York Red Bulls (18),4-3,?,New England Revolution (18),,
Regular,?,East,East,(Wed) 24 Jul 2002 (W29),Columbus Crew SC (19),1-0,?,D.C. United (18),,
Regular,?,West,East,(Wed) 24 Jul 2002 (W29),San Jose Earthquakes (20),1-0,?,Chicago Fire (18),,
Regular,?,East,West,(Wed) 24 Jul 2002 (W29),New England Revolution (19),2-3,?,Colorado Rapids (20),,
Regular,?,West,East,(Wed) 24 Jul 2002 (W29),Sporting Kansas City (19),1-3,?,New York Red Bulls (19),,
Regular,?,West,West,(Sat) 27 Jul 2002 (W29),Colorado Rapids (21),2-2,?,FC Dallas (19),,
Regular,?,East,East,(Sat) 27 Jul 2002 (W29),D.C. United (19),0-1,?,New England Revolution (20),,
Regular,?,West,East,(Sat) 27 Jul 2002 (W29),LA Galaxy (19),2-1,?,Columbus Crew SC (20),,
Regular,?,West,West,(Sat) 27 Jul 2002 (W29),Sporting Kansas City (20),2-1,?,San Jose Earthquakes (21),,
Regular,?,East,East,(Sat) 27 Jul 2002 (W29),Chicago Fire (19),3-0,?,New York Red Bulls (20),,
Regular,?,East,East,(Wed) 31 Jul 2002 (W30),Chicago Fire (20),0-0,?,D.C. United (20),,
Regular,?,West,West,(Wed) 31 Jul 2002 (W30),FC Dallas (20),0-1,?,Sporting Kansas City (21),,
Regular,?,East,East,(Wed) 31 Jul 2002 (W30),New York Red Bulls (21),2-3,?,Columbus Crew SC (21),,
