Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,West,(Fri) 19 Mar 1999 (W11),FC Dallas (1),4-0,?,Sporting Kansas City (1),,
Regular,?,West,West,(Fri) 19 Mar 1999 (W11),San Jose Earthquakes (1),1-3,?,Chicago Fire (1),,
Regular,?,West,West,(Fri) 19 Mar 1999 (W11),LA Galaxy (1),2-1,?,Colorado Rapids (1),,
Regular,?,East,East,(Fri) 19 Mar 1999 (W11),Miami Fusion (1),2-3,?,New York Red Bulls (1),,
Regular,?,East,East,(Fri) 19 Mar 1999 (W11),Tampa Bay Mutiny (1),2-5,?,D.C. United (1),,
Regular,?,West,West,(Fri) 26 Mar 1999 (W12),San Jose Earthquakes (2),3-2,?,Colorado Rapids (2),,
Regular,?,West,West,(Fri) 26 Mar 1999 (W12),Sporting Kansas City (2),0-3,?,Chicago Fire (2),,
Regular,?,West,West,(Sat) 27 Mar 1999 (W12),LA Galaxy (2),1-0,?,FC Dallas (2),,
Regular,?,East,East,(Sat) 27 Mar 1999 (W12),Miami Fusion (2),2-1,?,New England Revolution (1),,
Regular,?,East,East,(Sat) 27 Mar 1999 (W12),New York Red Bulls (2),1-0,?,Columbus Crew SC (1),,
Regular,?,West,West,(Fri) 2 Apr 1999 (W13),San Jose Earthquakes (3),2-1,?,LA Galaxy (3),,
Regular,?,East,West,(Fri) 2 Apr 1999 (W13),Miami Fusion (3),1-4,?,Chicago Fire (3),,
Regular,?,East,East,(Fri) 2 Apr 1999 (W13),Tampa Bay Mutiny (2),2-3,?,Columbus Crew SC (2),,
Regular,?,East,East,(Fri) 2 Apr 1999 (W13),New York Red Bulls (3),0-1,?,D.C. United (2),,
Regular,?,West,East,(Fri) 2 Apr 1999 (W13),Sporting Kansas City (3),0-1,?,New England Revolution (2),,
Regular,?,West,East,(Wed) 7 Apr 1999 (W14),LA Galaxy (4),1-2,?,Columbus Crew SC (3),,
Regular,?,West,West,(Fri) 9 Apr 1999 (W14),Chicago Fire (4),0-1,?,FC Dallas (3),,
Regular,?,West,East,(Fri) 9 Apr 1999 (W14),Colorado Rapids (3),4-1,?,Miami Fusion (4),,
Regular,?,East,East,(Fri) 9 Apr 1999 (W14),New England Revolution (3),2-3,?,D.C. United (3),,
Regular,?,West,West,(Fri) 9 Apr 1999 (W14),Sporting Kansas City (4),1-2,?,San Jose Earthquakes (4),,
Regular,?,East,East,(Sat) 10 Apr 1999 (W14),Tampa Bay Mutiny (3),1-2,?,New York Red Bulls (4),,
Regular,?,East,West,(Wed) 14 Apr 1999 (W15),Miami Fusion (5),2-1,?,FC Dallas (4),,
Regular,?,West,West,(Fri) 16 Apr 1999 (W15),Chicago Fire (5),1-0,?,LA Galaxy (5),,
Regular,?,West,West,(Fri) 16 Apr 1999 (W15),Colorado Rapids (4),2-1,?,Sporting Kansas City (5),,
Regular,?,East,West,(Fri) 16 Apr 1999 (W15),D.C. United (4),1-2,?,San Jose Earthquakes (5),,
Regular,?,East,East,(Fri) 16 Apr 1999 (W15),New England Revolution (4),0-1,?,Columbus Crew SC (4),,
Regular,?,West,East,(Sat) 17 Apr 1999 (W15),FC Dallas (5),2-1,?,Tampa Bay Mutiny (4),,
Regular,?,East,East,(Fri) 23 Apr 1999 (W16),D.C. United (5),2-3,?,New England Revolution (5),,
Regular,?,West,East,(Fri) 23 Apr 1999 (W16),FC Dallas (6),2-0,?,Columbus Crew SC (5),,
Regular,?,West,West,(Fri) 23 Apr 1999 (W16),LA Galaxy (6),1-0,?,San Jose Earthquakes (6),,
Regular,?,East,West,(Fri) 23 Apr 1999 (W16),Miami Fusion (6),1-0,?,Sporting Kansas City (6),,
Regular,?,East,East,(Sat) 24 Apr 1999 (W16),New York Red Bulls (5),0-1,?,Tampa Bay Mutiny (5),,
Regular,?,West,East,(Tue) 27 Apr 1999 (W17),Sporting Kansas City (7),0-1,?,Columbus Crew SC (6),,
Regular,?,West,West,(Thu) 29 Apr 1999 (W17),San Jose Earthquakes (7),2-1,?,FC Dallas (7),,
Regular,?,West,East,(Fri) 30 Apr 1999 (W17),Chicago Fire (6),3-2,?,D.C. United (6),,
Regular,?,East,East,(Fri) 30 Apr 1999 (W17),Tampa Bay Mutiny (6),2-1,?,Miami Fusion (7),,
Regular,?,East,West,(Fri) 30 Apr 1999 (W17),New England Revolution (6),1-2,?,Colorado Rapids (5),,
Regular,?,East,West,(Fri) 30 Apr 1999 (W17),New York Red Bulls (6),0-1,?,LA Galaxy (7),,
Regular,?,East,East,(Fri) 7 May 1999 (W18),D.C. United (7),2-1,?,New York Red Bulls (7),,
Regular,?,West,West,(Fri) 7 May 1999 (W18),FC Dallas (8),1-2,?,Colorado Rapids (6),,
Regular,?,East,West,(Fri) 7 May 1999 (W18),Tampa Bay Mutiny (7),2-1,?,Chicago Fire (7),,
Regular,?,East,East,(Fri) 7 May 1999 (W18),New England Revolution (7),1-0,?,Miami Fusion (8),,
Regular,?,West,West,(Fri) 7 May 1999 (W18),Sporting Kansas City (8),2-1,?,LA Galaxy (8),,
Regular,?,West,East,(Sat) 8 May 1999 (W18),San Jose Earthquakes (8),1-2,?,Columbus Crew SC (7),,
Regular,?,East,East,(Fri) 14 May 1999 (W19),Columbus Crew SC (8),2-0,?,New England Revolution (8),,
Regular,?,West,West,(Fri) 14 May 1999 (W19),FC Dallas (9),2-1,?,San Jose Earthquakes (9),,
Regular,?,West,East,(Fri) 14 May 1999 (W19),LA Galaxy (9),0-1,?,Tampa Bay Mutiny (8),,
Regular,?,East,East,(Fri) 14 May 1999 (W19),New York Red Bulls (8),3-2,?,Miami Fusion (9),,
Regular,?,West,East,(Fri) 14 May 1999 (W19),Sporting Kansas City (9),3-4,?,D.C. United (8),,
Regular,?,West,West,(Sat) 15 May 1999 (W19),Chicago Fire (8),0-1,?,Colorado Rapids (7),,
Regular,?,West,West,(Fri) 21 May 1999 (W20),Chicago Fire (9),3-1,?,Sporting Kansas City (10),,
Regular,?,West,East,(Fri) 21 May 1999 (W20),Colorado Rapids (8),2-0,?,New York Red Bulls (9),,
Regular,?,East,East,(Fri) 21 May 1999 (W20),Columbus Crew SC (9),0-1,?,Tampa Bay Mutiny (9),,
Regular,?,West,West,(Fri) 21 May 1999 (W20),San Jose Earthquakes (10),2-1,?,FC Dallas (10),,
Regular,?,East,East,(Fri) 21 May 1999 (W20),Miami Fusion (10),1-3,?,D.C. United (9),,
Regular,?,West,East,(Sat) 22 May 1999 (W20),LA Galaxy (10),1-0,?,New England Revolution (9),,
Regular,?,West,East,(Tue) 25 May 1999 (W21),FC Dallas (11),2-1,?,Miami Fusion (11),,
Regular,?,West,West,(Wed) 26 May 1999 (W21),Colorado Rapids (9),4-2,?,San Jose Earthquakes (11),,
Regular,?,East,West,(Fri) 28 May 1999 (W21),Columbus Crew SC (10),2-1,?,LA Galaxy (11),,
Regular,?,East,West,(Fri) 28 May 1999 (W21),D.C. United (10),3-1,?,Chicago Fire (10),,
Regular,?,East,East,(Fri) 28 May 1999 (W21),Miami Fusion (12),2-1,?,Tampa Bay Mutiny (10),,
Regular,?,East,East,(Fri) 28 May 1999 (W21),New York Red Bulls (10),3-4,?,New England Revolution (10),,
Regular,?,West,West,(Wed) 2 Jun 1999 (W22),San Jose Earthquakes (12),4-3,?,Colorado Rapids (10),,
Regular,?,East,East,(Fri) 4 Jun 1999 (W22),D.C. United (11),1-0,?,Columbus Crew SC (11),,
Regular,?,East,East,(Fri) 4 Jun 1999 (W22),Tampa Bay Mutiny (11),1-0,?,Miami Fusion (13),,
Regular,?,East,West,(Fri) 4 Jun 1999 (W22),New England Revolution (11),2-0,?,Chicago Fire (11),,
Regular,?,East,West,(Fri) 4 Jun 1999 (W22),New York Red Bulls (11),2-5,?,FC Dallas (12),,
Regular,?,West,West,(Sat) 5 Jun 1999 (W22),LA Galaxy (12),1-0,?,Sporting Kansas City (11),,
Regular,?,East,East,(Wed) 9 Jun 1999 (W23),D.C. United (12),3-1,?,Miami Fusion (14),,
Regular,?,West,East,(Fri) 11 Jun 1999 (W23),San Jose Earthquakes (13),2-1,?,Tampa Bay Mutiny (12),,
Regular,?,West,West,(Fri) 11 Jun 1999 (W23),LA Galaxy (13),2-1,?,Chicago Fire (12),,
