Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,Pen
regular,?,-,(Thu) 22 Oct 2009 (W42),Chicago Fire (30),1-0,?,CD Chivas USA (29),East,West,-,-
regular,?,-,(Sat) 24 Oct 2009 (W42),New York Red Bulls (30),5-0,?,Toronto FC (30),East,East,-,-
regular,?,-,(Sat) 24 Oct 2009 (W42),Sporting Kansas City (30),2-2,?,D.C. United (30),East,East,-,-
regular,?,-,(Sat) 24 Oct 2009 (W42),Real Salt Lake (30),3-0,?,Colorado Rapids (30),West,West,-,-
regular,?,-,(Sun) 25 Oct 2009 (W42),Seattle Sounders FC (30),2-1,?,FC Dallas (30),West,West,-,-
regular,?,-,(Sun) 25 Oct 2009 (W42),LA Galaxy (30),2-0,?,San Jose Earthquakes (30),West,West,-,-
regular,?,-,(Sun) 25 Oct 2009 (W42),CD Chivas USA (30),2-3,?,Houston Dynamo (30),West,West,-,-
regular,?,-,(Sun) 25 Oct 2009 (W42),Columbus Crew SC (30),0-1,?,New England Revolution (30),East,East,-,-
playoff,conf_semi,1,(Thu) 29 Oct 2009 (W43),Seattle Sounders FC (31),0-0,?,Houston Dynamo (31),West,West,-,-
playoff,conf_semi,1,(Sat) 31 Oct 2009 (W43),Real Salt Lake (31),1-0,?,Columbus Crew SC (31),West,East,-,-
playoff,conf_semi,1,(Sun) 1 Nov 2009 (W43),New England Revolution (31),2-1,?,Chicago Fire (31),East,East,-,-
playoff,conf_semi,1,(Sun) 1 Nov 2009 (W43),CD Chivas USA (31),2-2,?,LA Galaxy (31),West,West,-,-
playoff,conf_semi,2,(Thu) 5 Nov 2009 (W44),Columbus Crew SC (32),2-3,?,Real Salt Lake (32),East,West,-,-
playoff,conf_semi,2,(Sat) 7 Nov 2009 (W44),Chicago Fire (32),2-0,?,New England Revolution (32),East,East,-,-
playoff,conf_semi,2,(Sun) 8 Nov 2009 (W44),Houston Dynamo (32),0-0,?,Seattle Sounders FC (32),West,West,1-0,-
playoff,conf_semi,2,(Sun) 8 Nov 2009 (W44),LA Galaxy (32),1-0,?,CD Chivas USA (32),West,West,-,-
playoff,conf_final,-,(Sat) 14 Nov 2009 (W45),LA Galaxy (33),0-0,?,Houston Dynamo (33),West,West,2-0,-
playoff,conf_final,-,(Sat) 14 Nov 2009 (W45),Chicago Fire (33),0-0,?,Real Salt Lake (33),East,West,0-0,4-5
playoff,final,-,(Sun) 22 Nov 2009 (W46),LA Galaxy (34),1-1,?,Real Salt Lake (34),West,West,1-1,4-5
