Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,Pen
regular,?,-,(Sun) 19 Apr 2009 (W15),Houston Dynamo (5),1-0,?,Colorado Rapids (5),West,West,-,-
regular,?,-,(Sun) 19 Apr 2009 (W15),FC Dallas (5),3-2,?,Toronto FC (5),West,East,-,-
regular,?,-,(Wed) 22 Apr 2009 (W16),Toronto FC (6),1-0,?,CD Chivas USA (6),East,West,-,-
regular,?,-,(Thu) 23 Apr 2009 (W16),Sporting Kansas City (6),1-0,?,New York Red Bulls (6),East,East,-,-
regular,?,-,(Sat) 25 Apr 2009 (W16),Columbus Crew SC (6),2-2,?,Chicago Fire (6),East,East,-,-
regular,?,-,(Sat) 25 Apr 2009 (W16),Real Salt Lake (5),6-0,?,New England Revolution (5),West,East,-,-
regular,?,-,(Sat) 25 Apr 2009 (W16),Colorado Rapids (6),1-1,?,LA Galaxy (5),West,West,-,-
regular,?,-,(Sun) 26 Apr 2009 (W16),CD Chivas USA (7),2-0,?,FC Dallas (6),West,West,-,-
regular,?,-,(Sun) 26 Apr 2009 (W16),Seattle Sounders FC (6),2-0,?,San Jose Earthquakes (6),West,West,-,-
regular,?,-,(Sun) 26 Apr 2009 (W16),New York Red Bulls (7),2-3,?,D.C. United (6),East,East,-,-
regular,?,-,(Sun) 26 Apr 2009 (W16),Toronto FC (7),1-0,?,Sporting Kansas City (7),East,East,-,-
regular,?,-,(Sat) 2 May 2009 (W17),Toronto FC (8),1-1,?,Columbus Crew SC (7),East,East,-,-
regular,?,-,(Sat) 2 May 2009 (W17),D.C. United (7),2-1,?,FC Dallas (7),East,West,-,-
regular,?,-,(Sat) 2 May 2009 (W17),Chicago Fire (7),1-1,?,Seattle Sounders FC (7),East,West,-,-
regular,?,-,(Sat) 2 May 2009 (W17),Colorado Rapids (7),2-0,?,Real Salt Lake (6),West,West,-,-
regular,?,-,(Sun) 3 May 2009 (W17),San Jose Earthquakes (7),0-1,?,CD Chivas USA (8),West,West,-,-
regular,?,-,(Sun) 3 May 2009 (W17),LA Galaxy (6),1-0,?,New York Red Bulls (8),West,East,-,-
regular,?,-,(Sun) 3 May 2009 (W17),New England Revolution (6),0-2,?,Houston Dynamo (6),East,West,-,-
regular,?,-,(Wed) 6 May 2009 (W18),Sporting Kansas City (8),1-1,?,D.C. United (8),East,East,-,-
regular,?,-,(Wed) 6 May 2009 (W18),Real Salt Lake (7),2-2,?,LA Galaxy (7),West,West,-,-
regular,?,-,(Fri) 8 May 2009 (W18),New York Red Bulls (9),4-1,?,San Jose Earthquakes (8),East,West,-,-
regular,?,-,(Sat) 9 May 2009 (W18),Columbus Crew SC (8),3-2,?,Sporting Kansas City (9),East,East,-,-
regular,?,-,(Sat) 9 May 2009 (W18),D.C. United (9),3-3,?,Toronto FC (9),East,East,-,-
regular,?,-,(Sat) 9 May 2009 (W18),Chicago Fire (8),1-1,?,New England Revolution (7),East,East,-,-
regular,?,-,(Sat) 9 May 2009 (W18),Houston Dynamo (7),1-0,?,FC Dallas (8),West,West,-,-
regular,?,-,(Sun) 10 May 2009 (W18),CD Chivas USA (9),1-0,?,Real Salt Lake (8),West,West,-,-
regular,?,-,(Sun) 10 May 2009 (W18),Seattle Sounders FC (8),1-1,?,LA Galaxy (8),West,West,-,-
regular,?,-,(Sat) 16 May 2009 (W19),Toronto FC (10),0-2,?,Chicago Fire (9),East,East,-,-
regular,?,-,(Sat) 16 May 2009 (W19),New England Revolution (8),1-1,?,Colorado Rapids (8),East,West,-,-
regular,?,-,(Sat) 16 May 2009 (W19),New York Red Bulls (10),1-1,?,Houston Dynamo (8),East,West,-,-
regular,?,-,(Sat) 16 May 2009 (W19),FC Dallas (9),1-1,?,Seattle Sounders FC (9),West,West,-,-
regular,?,-,(Sat) 16 May 2009 (W19),Real Salt Lake (9),0-2,?,Sporting Kansas City (10),West,East,-,-
regular,?,-,(Sun) 17 May 2009 (W19),CD Chivas USA (10),2-2,?,D.C. United (10),West,East,-,-
regular,?,-,(Sun) 17 May 2009 (W19),LA Galaxy (9),1-1,?,Columbus Crew SC (9),West,East,-,-
regular,?,-,(Sat) 23 May 2009 (W20),Toronto FC (11),3-1,?,New England Revolution (9),East,East,-,-
regular,?,-,(Sat) 23 May 2009 (W20),D.C. United (11),0-0,?,Real Salt Lake (10),East,West,-,-
