Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,East,(Thu) 25 Mar 2010 (W12),Seattle Sounders FC (1),2-0,?,Philadelphia Union (1),,
Regular,?,West,West,(Sat) 27 Mar 2010 (W12),CD Chivas USA (1),0-1,?,Colorado Rapids (1),,
Regular,?,East,East,(Sat) 27 Mar 2010 (W12),Columbus Crew SC (1),2-0,?,Toronto FC (1),,
Regular,?,West,West,(Sat) 27 Mar 2010 (W12),FC Dallas (1),1-1,?,Houston Dynamo (1),,
Regular,?,East,East,(Sat) 27 Mar 2010 (W12),New York Red Bulls (1),1-0,?,Chicago Fire (1),,
Regular,?,East,East,(Sat) 27 Mar 2010 (W12),Sporting Kansas City (1),4-0,?,D.C. United (1),,
Regular,?,West,West,(Sat) 27 Mar 2010 (W12),San Jose Earthquakes (1),0-3,?,Real Salt Lake (1),,
Regular,?,West,East,(Sun) 28 Mar 2010 (W12),LA Galaxy (1),1-0,?,New England Revolution (1),,
Regular,?,West,West,(Thu) 1 Apr 2010 (W13),Houston Dynamo (2),2-1,?,Real Salt Lake (2),,
Regular,?,West,West,(Fri) 2 Apr 2010 (W13),LA Galaxy (2),2-0,?,CD Chivas USA (2),,
Regular,?,West,East,(Sat) 3 Apr 2010 (W13),Colorado Rapids (2),2-2,?,Chicago Fire (2),,
Regular,?,East,East,(Sat) 3 Apr 2010 (W13),D.C. United (2),0-2,?,New England Revolution (2),,
Regular,?,West,East,(Sun) 4 Apr 2010 (W13),Seattle Sounders FC (2),0-1,?,New York Red Bulls (2),,
Regular,?,West,East,(Sat) 10 Apr 2010 (W14),CD Chivas USA (3),2-0,?,New York Red Bulls (3),,
Regular,?,East,East,(Sat) 10 Apr 2010 (W14),Philadelphia Union (2),3-2,?,D.C. United (3),,
Regular,?,East,East,(Sat) 10 Apr 2010 (W14),New England Revolution (3),4-1,?,Toronto FC (2),,
Regular,?,West,East,(Sat) 10 Apr 2010 (W14),FC Dallas (2),2-2,?,Columbus Crew SC (2),,
Regular,?,West,West,(Sat) 10 Apr 2010 (W14),Houston Dynamo (3),0-2,?,LA Galaxy (3),,
Regular,?,East,West,(Sat) 10 Apr 2010 (W14),Sporting Kansas City (2),1-0,?,Colorado Rapids (3),,
Regular,?,East,West,(Sat) 10 Apr 2010 (W14),Chicago Fire (3),1-2,?,San Jose Earthquakes (2),,
Regular,?,West,West,(Sat) 10 Apr 2010 (W14),Real Salt Lake (3),2-2,?,Seattle Sounders FC (3),,
Regular,?,East,East,(Thu) 15 Apr 2010 (W15),Toronto FC (3),2-1,?,Philadelphia Union (3),,
Regular,?,West,East,(Sat) 17 Apr 2010 (W15),Seattle Sounders FC (4),1-0,?,Sporting Kansas City (3),,
Regular,?,West,West,(Sat) 17 Apr 2010 (W15),Houston Dynamo (4),3-0,?,CD Chivas USA (4),,
Regular,?,East,East,(Sat) 17 Apr 2010 (W15),D.C. United (4),0-2,?,Chicago Fire (4),,
Regular,?,East,West,(Sat) 17 Apr 2010 (W15),New York Red Bulls (4),2-1,?,FC Dallas (3),,
Regular,?,West,East,(Sun) 18 Apr 2010 (W15),San Jose Earthquakes (3),2-0,?,New England Revolution (4),,
Regular,?,West,West,(Sun) 18 Apr 2010 (W15),LA Galaxy (4),2-1,?,Real Salt Lake (4),,
Regular,?,West,East,(Sun) 18 Apr 2010 (W15),Colorado Rapids (4),3-1,?,Toronto FC (4),,
Regular,?,West,West,(Thu) 22 Apr 2010 (W16),FC Dallas (4),2-2,?,Seattle Sounders FC (5),,
Regular,?,East,East,(Sat) 24 Apr 2010 (W16),New York Red Bulls (5),2-1,?,Philadelphia Union (4),,
Regular,?,East,West,(Sat) 24 Apr 2010 (W16),Columbus Crew SC (3),1-0,?,Real Salt Lake (5),,
Regular,?,East,West,(Sat) 24 Apr 2010 (W16),New England Revolution (5),1-2,?,Colorado Rapids (5),,
Regular,?,East,West,(Sat) 24 Apr 2010 (W16),Chicago Fire (5),2-0,?,Houston Dynamo (5),,
Regular,?,East,West,(Sat) 24 Apr 2010 (W16),Sporting Kansas City (4),0-0,?,LA Galaxy (5),,
Regular,?,West,West,(Sun) 25 Apr 2010 (W16),CD Chivas USA (5),3-2,?,San Jose Earthquakes (4),,
