Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,West,(Wed) 16 Mar 2011 (W11),Seattle Sounders FC (1),0-1,?,LA Galaxy (1),,
Regular,?,West,East,(Sat) 19 Mar 2011 (W11),Vancouver Whitecaps FC (1),4-2,?,Toronto FC (1),,
Regular,?,East,East,(Sat) 19 Mar 2011 (W11),D.C. United (1),3-1,?,Columbus Crew SC (1),,
Regular,?,East,West,(Sat) 19 Mar 2011 (W11),New York Red Bulls (1),1-0,?,Seattle Sounders FC (2),,
Regular,?,West,East,(Sat) 19 Mar 2011 (W11),FC Dallas (1),1-1,?,Chicago Fire (1),,
Regular,?,East,East,(Sat) 19 Mar 2011 (W11),Houston Dynamo (1),0-1,?,Philadelphia Union (1),,
Regular,?,West,West,(Sat) 19 Mar 2011 (W11),Colorado Rapids (1),3-1,?,Portland Timbers (1),,
Regular,?,West,East,(Sun) 20 Mar 2011 (W11),CD Chivas USA (1),2-3,?,Sporting Kansas City (1),,
Regular,?,West,West,(Sun) 20 Mar 2011 (W11),San Jose Earthquakes (1),0-1,?,Real Salt Lake (1),,
Regular,?,West,East,(Sun) 20 Mar 2011 (W11),LA Galaxy (2),1-1,?,New England Revolution (1),,
Regular,?,West,East,(Sat) 26 Mar 2011 (W12),Seattle Sounders FC (3),1-1,?,Houston Dynamo (2),,
Regular,?,East,West,(Sat) 26 Mar 2011 (W12),Toronto FC (2),2-0,?,Portland Timbers (2),,
Regular,?,East,East,(Sat) 26 Mar 2011 (W12),Columbus Crew SC (2),0-0,?,New York Red Bulls (2),,
Regular,?,East,East,(Sat) 26 Mar 2011 (W12),Chicago Fire (2),3-2,?,Sporting Kansas City (2),,
Regular,?,East,West,(Sat) 26 Mar 2011 (W12),Philadelphia Union (2),1-0,?,Vancouver Whitecaps FC (2),,
Regular,?,East,East,(Sat) 26 Mar 2011 (W12),New England Revolution (2),2-1,?,D.C. United (2),,
Regular,?,West,West,(Sat) 26 Mar 2011 (W12),Real Salt Lake (2),4-1,?,LA Galaxy (3),,
Regular,?,West,West,(Sat) 26 Mar 2011 (W12),FC Dallas (2),0-2,?,San Jose Earthquakes (2),,
Regular,?,West,West,(Sun) 27 Mar 2011 (W12),CD Chivas USA (2),0-1,?,Colorado Rapids (2),,
Regular,?,East,West,(Fri) 1 Apr 2011 (W13),Columbus Crew SC (3),2-0,?,FC Dallas (3),,
Regular,?,East,West,(Sat) 2 Apr 2011 (W13),Toronto FC (3),1-1,?,CD Chivas USA (3),,
Regular,?,West,East,(Sat) 2 Apr 2011 (W13),Vancouver Whitecaps FC (3),3-3,?,Sporting Kansas City (3),,
Regular,?,East,West,(Sat) 2 Apr 2011 (W13),New England Revolution (3),1-1,?,Portland Timbers (3),,
Regular,?,East,East,(Sat) 2 Apr 2011 (W13),New York Red Bulls (3),1-1,?,Houston Dynamo (3),,
Regular,?,West,East,(Sun) 3 Apr 2011 (W13),LA Galaxy (4),1-0,?,Philadelphia Union (3),,
Regular,?,West,West,(Sun) 3 Apr 2011 (W13),San Jose Earthquakes (3),2-2,?,Seattle Sounders FC (4),,
Regular,?,West,East,(Sun) 3 Apr 2011 (W13),Colorado Rapids (3),4-1,?,D.C. United (3),,
Regular,?,West,East,(Thu) 7 Apr 2011 (W14),Vancouver Whitecaps FC (4),1-1,?,New England Revolution (4),,
Regular,?,West,West,(Fri) 8 Apr 2011 (W14),FC Dallas (4),3-0,?,Colorado Rapids (4),,
Regular,?,West,East,(Sat) 9 Apr 2011 (W14),Seattle Sounders FC (5),2-1,?,Chicago Fire (3),,
