Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,East,(Fri) 6 Mar 2015 (W9),LA Galaxy (1),2-0,?,Chicago Fire (1),,
Regular,?,East,East,(Sat) 7 Mar 2015 (W9),D.C. United (1),1-0,?,Montreal Impact (1),,
Regular,?,East,West,(Sat) 7 Mar 2015 (W9),Philadelphia Union (1),0-0,?,Colorado Rapids (1),,
Regular,?,West,East,(Sat) 7 Mar 2015 (W9),Vancouver Whitecaps FC (1),1-3,?,Toronto FC (1),,
Regular,?,West,West,(Sat) 7 Mar 2015 (W9),FC Dallas (1),1-0,?,San Jose Earthquakes (1),,
Regular,?,West,East,(Sat) 7 Mar 2015 (W9),Houston Dynamo (1),1-0,?,Columbus Crew SC (1),,
Regular,?,West,West,(Sat) 7 Mar 2015 (W9),Portland Timbers (1),0-0,?,Real Salt Lake (1),,
Regular,?,East,East,(Sun) 8 Mar 2015 (W9),Orlando City SC (1),1-1,?,New York City FC (1),,
Regular,?,West,East,(Sun) 8 Mar 2015 (W9),Sporting Kansas City (1),1-1,?,New York Red Bulls (1),,
Regular,?,West,East,(Sun) 8 Mar 2015 (W9),Seattle Sounders FC (1),3-0,?,New England Revolution (1),,
Regular,?,West,East,(Fri) 13 Mar 2015 (W10),Houston Dynamo (2),0-1,?,Orlando City SC (2),,
Regular,?,East,West,(Sat) 14 Mar 2015 (W10),Chicago Fire (2),0-1,?,Vancouver Whitecaps FC (2),,
Regular,?,East,East,(Sat) 14 Mar 2015 (W10),Columbus Crew SC (2),2-0,?,Toronto FC (2),,
Regular,?,West,West,(Sat) 14 Mar 2015 (W10),FC Dallas (2),3-1,?,Sporting Kansas City (2),,
Regular,?,West,East,(Sat) 14 Mar 2015 (W10),Real Salt Lake (2),3-3,?,Philadelphia Union (2),,
Regular,?,West,West,(Sat) 14 Mar 2015 (W10),Seattle Sounders FC (2),2-3,?,San Jose Earthquakes (2),,
Regular,?,East,East,(Sun) 15 Mar 2015 (W10),New York City FC (2),2-0,?,New England Revolution (2),,
Regular,?,West,West,(Sun) 15 Mar 2015 (W10),Portland Timbers (2),2-2,?,LA Galaxy (2),,
Regular,?,East,East,(Sat) 21 Mar 2015 (W11),New England Revolution (3),0-0,?,Montreal Impact (2),,
Regular,?,West,East,(Sat) 21 Mar 2015 (W11),Colorado Rapids (2),0-0,?,New York City FC (3),,
Regular,?,East,West,(Sat) 21 Mar 2015 (W11),Philadelphia Union (3),0-2,?,FC Dallas (3),,
Regular,?,East,West,(Sat) 21 Mar 2015 (W11),Orlando City SC (3),0-1,?,Vancouver Whitecaps FC (3),,
Regular,?,West,West,(Sat) 21 Mar 2015 (W11),Sporting Kansas City (3),0-0,?,Portland Timbers (3),,
Regular,?,West,West,(Sat) 21 Mar 2015 (W11),LA Galaxy (3),1-1,?,Houston Dynamo (3),,
Regular,?,East,East,(Sun) 22 Mar 2015 (W11),New York Red Bulls (2),2-0,?,D.C. United (2),,
Regular,?,West,East,(Sun) 22 Mar 2015 (W11),San Jose Earthquakes (3),2-1,?,Chicago Fire (3),,
Regular,?,East,West,(Sat) 28 Mar 2015 (W12),New England Revolution (4),2-1,?,San Jose Earthquakes (4),,
Regular,?,East,East,(Sat) 28 Mar 2015 (W12),Montreal Impact (3),2-2,?,Orlando City SC (4),,
Regular,?,East,West,(Sat) 28 Mar 2015 (W12),New York City FC (4),0-1,?,Sporting Kansas City (4),,
Regular,?,East,West,(Sat) 28 Mar 2015 (W12),D.C. United (3),1-0,?,LA Galaxy (4),,
Regular,?,East,East,(Sat) 28 Mar 2015 (W12),Columbus Crew SC (3),1-2,?,New York Red Bulls (3),,
Regular,?,West,West,(Sat) 28 Mar 2015 (W12),Vancouver Whitecaps FC (4),2-1,?,Portland Timbers (4),,
Regular,?,West,West,(Sat) 28 Mar 2015 (W12),FC Dallas (4),0-0,?,Seattle Sounders FC (3),,
Regular,?,West,West,(Sat) 28 Mar 2015 (W12),Houston Dynamo (4),0-0,?,Colorado Rapids (3),,
Regular,?,East,East,(Sun) 29 Mar 2015 (W12),Chicago Fire (4),1-0,?,Philadelphia Union (4),,
Regular,?,West,East,(Sun) 29 Mar 2015 (W12),Real Salt Lake (3),2-1,?,Toronto FC (3),,
Regular,?,East,East,(Fri) 3 Apr 2015 (W13),Orlando City SC (5),0-1,?,D.C. United (4),,
Regular,?,East,East,(Sat) 4 Apr 2015 (W13),Chicago Fire (5),3-2,?,Toronto FC (4),,
Regular,?,West,East,(Sat) 4 Apr 2015 (W13),Colorado Rapids (4),0-2,?,New England Revolution (5),,
Regular,?,West,West,(Sat) 4 Apr 2015 (W13),Vancouver Whitecaps FC (5),2-0,?,LA Galaxy (5),,
Regular,?,West,West,(Sat) 4 Apr 2015 (W13),Seattle Sounders FC (4),1-0,?,Houston Dynamo (5),,
Regular,?,West,West,(Sat) 4 Apr 2015 (W13),Portland Timbers (5),3-1,?,FC Dallas (5),,
Regular,?,West,West,(Sun) 5 Apr 2015 (W13),San Jose Earthquakes (5),0-1,?,Real Salt Lake (4),,
Regular,?,West,East,(Sun) 5 Apr 2015 (W13),Sporting Kansas City (5),3-2,?,Philadelphia Union (5),,
Regular,?,West,East,(Wed) 8 Apr 2015 (W14),Vancouver Whitecaps FC (6),2-2,?,Columbus Crew SC (4),,
Regular,?,West,West,(Fri) 10 Apr 2015 (W14),FC Dallas (6),0-4,?,Colorado Rapids (5),,
Regular,?,East,East,(Sat) 11 Apr 2015 (W14),New England Revolution (6),0-0,?,Columbus Crew SC (5),,
