Stage,Round,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Regular,?,West,East,(Sat) 7 Apr 2007 (W14),Colorado Rapids (1),2-1,?,D.C. United (1),,
Regular,?,West,West,(Sat) 7 Apr 2007 (W14),Real Salt Lake (1),2-2,?,FC Dallas (1),,
Regular,?,East,East,(Sat) 7 Apr 2007 (W14),Columbus Crew SC (1),0-0,?,New York Red Bulls (1),,
Regular,?,East,East,(Sat) 7 Apr 2007 (W14),Chicago Fire (1),1-0,?,New England Revolution (1),,
Regular,?,West,East,(Sun) 8 Apr 2007 (W14),CD Chivas USA (1),2-0,?,Toronto FC (1),,
Regular,?,West,West,(Sun) 8 Apr 2007 (W14),Houston Dynamo (1),0-0,?,LA Galaxy (1),,
Regular,?,West,West,(Fri) 13 Apr 2007 (W15),LA Galaxy (2),1-2,?,FC Dallas (2),,
Regular,?,West,East,(Sat) 14 Apr 2007 (W15),Real Salt Lake (2),0-0,?,Columbus Crew SC (2),,
Regular,?,East,East,(Sat) 14 Apr 2007 (W15),D.C. United (2),2-4,?,Sporting Kansas City (1),,
Regular,?,East,East,(Sat) 14 Apr 2007 (W15),New England Revolution (2),4-0,?,Toronto FC (2),,
Regular,?,West,West,(Sat) 14 Apr 2007 (W15),Houston Dynamo (2),1-0,?,CD Chivas USA (2),,
Regular,?,East,West,(Sun) 15 Apr 2007 (W15),New York Red Bulls (2),3-0,?,FC Dallas (3),,
Regular,?,West,East,(Sun) 15 Apr 2007 (W15),Colorado Rapids (2),1-1,?,Chicago Fire (2),,
Regular,?,East,East,(Thu) 19 Apr 2007 (W16),Columbus Crew SC (3),2-2,?,New England Revolution (3),,
Regular,?,East,West,(Sat) 21 Apr 2007 (W16),New York Red Bulls (3),1-0,?,Houston Dynamo (3),,
Regular,?,East,East,(Sat) 21 Apr 2007 (W16),Chicago Fire (3),2-1,?,Sporting Kansas City (2),,
Regular,?,West,West,(Sun) 22 Apr 2007 (W16),CD Chivas USA (3),4-0,?,Real Salt Lake (3),,
Regular,?,West,West,(Sun) 22 Apr 2007 (W16),FC Dallas (4),3-1,?,Colorado Rapids (3),,
Regular,?,East,East,(Wed) 25 Apr 2007 (W17),Sporting Kansas City (3),3-0,?,Toronto FC (3),,
Regular,?,West,East,(Thu) 26 Apr 2007 (W17),FC Dallas (5),0-1,?,New York Red Bulls (4),,
Regular,?,East,East,(Sat) 28 Apr 2007 (W17),Toronto FC (4),0-1,?,Sporting Kansas City (4),,
Regular,?,East,East,(Sat) 28 Apr 2007 (W17),Columbus Crew SC (4),1-0,?,D.C. United (3),,
Regular,?,West,West,(Sun) 29 Apr 2007 (W17),LA Galaxy (3),3-1,?,CD Chivas USA (4),,
Regular,?,West,East,(Sun) 29 Apr 2007 (W17),FC Dallas (6),0-1,?,New England Revolution (4),,
Regular,?,West,East,(Sun) 29 Apr 2007 (W17),Houston Dynamo (4),0-1,?,Chicago Fire (4),,
Regular,?,West,West,(Mon) 30 Apr 2007 (W18),Real Salt Lake (4),0-2,?,Colorado Rapids (4),,
Regular,?,East,East,(Thu) 3 May 2007 (W18),D.C. United (4),1-1,?,New England Revolution (5),,
Regular,?,East,East,(Sat) 5 May 2007 (W18),Sporting Kansas City (5),1-0,?,Columbus Crew SC (5),,
