Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,P
Regular,?,,(Sat) 8 Jun 2013 (W22),Chicago Fire (13),2-2,?,Portland Timbers (14),East,West,,
Regular,?,,(Sat) 8 Jun 2013 (W22),Real Salt Lake (16),3-1,?,LA Galaxy (14),West,West,,
Regular,?,,(Sun) 9 Jun 2013 (W22),Seattle Sounders FC (13),3-2,?,Vancouver Whitecaps FC (13),West,West,,
Regular,?,,(Sat) 15 Jun 2013 (W23),Portland Timbers (15),1-0,?,FC Dallas (15),West,West,,
Regular,?,,(Sat) 15 Jun 2013 (W23),D.C. United (15),1-2,?,Toronto FC (14),East,East,,
Regular,?,,(Sat) 15 Jun 2013 (W23),Columbus Crew SC (15),2-0,?,Montreal Impact (13),East,East,,
Regular,?,,(Sat) 15 Jun 2013 (W23),Colorado Rapids (15),1-2,?,San Jose Earthquakes (16),West,West,,
Regular,?,,(Sun) 16 Jun 2013 (W23),Vancouver Whitecaps FC (14),4-3,?,New England Revolution (15),West,East,,
Regular,?,,(Wed) 19 Jun 2013 (W24),Montreal Impact (14),2-0,?,Houston Dynamo (15),East,East,,
Regular,?,,(Wed) 19 Jun 2013 (W24),Chicago Fire (14),2-1,?,Colorado Rapids (16),East,West,,
Regular,?,,(Thu) 20 Jun 2013 (W24),Vancouver Whitecaps FC (15),3-1,?,CD Chivas USA (14),West,West,,
Regular,?,,(Thu) 20 Jun 2013 (W24),LA Galaxy (15),0-0,?,Portland Timbers (16),West,West,,
Regular,?,,(Sat) 22 Jun 2013 (W24),D.C. United (16),1-0,?,San Jose Earthquakes (17),East,West,,
Regular,?,,(Sat) 22 Jun 2013 (W24),Columbus Crew SC (16),1-2,?,Chicago Fire (15),East,East,,
Regular,?,,(Sat) 22 Jun 2013 (W24),FC Dallas (16),2-2,?,Sporting Kansas City (16),West,East,,
Regular,?,,(Sat) 22 Jun 2013 (W24),Houston Dynamo (16),0-0,?,Toronto FC (15),East,East,,
Regular,?,,(Sat) 22 Jun 2013 (W24),Real Salt Lake (17),2-0,?,Seattle Sounders FC (14),West,West,,
Regular,?,,(Sun) 23 Jun 2013 (W24),Philadelphia Union (16),3-0,?,New York Red Bulls (17),East,East,,
Regular,?,,(Sun) 23 Jun 2013 (W24),Portland Timbers (17),3-0,?,Colorado Rapids (17),West,West,,
Regular,?,,(Mon) 24 Jun 2013 (W25),CD Chivas USA (15),0-1,?,LA Galaxy (16),West,West,,
Regular,?,,(Sat) 29 Jun 2013 (W25),Toronto FC (16),0-1,?,Real Salt Lake (18),East,West,,
Regular,?,,(Sat) 29 Jun 2013 (W25),Philadelphia Union (17),2-2,?,FC Dallas (17),East,West,,
Regular,?,,(Sat) 29 Jun 2013 (W25),Montreal Impact (15),3-4,?,Colorado Rapids (18),East,West,,
Regular,?,,(Sat) 29 Jun 2013 (W25),D.C. United (17),0-1,?,Vancouver Whitecaps FC (16),East,West,,
Regular,?,,(Sat) 29 Jun 2013 (W25),Sporting Kansas City (17),3-2,?,Columbus Crew SC (17),East,East,,
Regular,?,,(Sun) 30 Jun 2013 (W25),San Jose Earthquakes (18),3-2,?,LA Galaxy (17),West,West,,
Regular,?,,(Sun) 30 Jun 2013 (W25),CD Chivas USA (16),1-1,?,New England Revolution (16),West,East,,
Regular,?,,(Sun) 30 Jun 2013 (W25),New York Red Bulls (18),2-0,?,Houston Dynamo (17),East,East,,
Regular,?,,(Wed) 3 Jul 2013 (W26),Toronto FC (17),3-3,?,Montreal Impact (16),East,East,,
Regular,?,,(Wed) 3 Jul 2013 (W26),Chicago Fire (16),3-2,?,San Jose Earthquakes (19),East,West,,
Regular,?,,(Wed) 3 Jul 2013 (W26),Sporting Kansas City (18),1-1,?,Vancouver Whitecaps FC (17),East,West,,
Regular,?,,(Thu) 4 Jul 2013 (W26),Real Salt Lake (19),2-2,?,Philadelphia Union (18),West,East,,
Regular,?,,(Thu) 4 Jul 2013 (W26),Seattle Sounders FC (15),2-0,?,D.C. United (18),West,East,,
Regular,?,,(Thu) 4 Jul 2013 (W26),FC Dallas (18),0-0,?,CD Chivas USA (17),West,West,,
Regular,?,,(Thu) 4 Jul 2013 (W26),Colorado Rapids (19),2-0,?,New York Red Bulls (19),West,East,,
Regular,?,,(Fri) 5 Jul 2013 (W26),LA Galaxy (18),2-1,?,Columbus Crew SC (18),West,East,,
Regular,?,,(Sat) 6 Jul 2013 (W26),New England Revolution (17),2-0,?,San Jose Earthquakes (20),East,West,,
Regular,?,,(Sat) 6 Jul 2013 (W26),Houston Dynamo (18),1-0,?,Philadelphia Union (19),East,East,,
Regular,?,,(Sun) 7 Jul 2013 (W26),Vancouver Whitecaps FC (18),2-0,?,Seattle Sounders FC (16),West,West,,
Regular,?,,(Sun) 7 Jul 2013 (W26),Chicago Fire (17),1-2,?,Sporting Kansas City (19),East,East,,
Regular,?,,(Sun) 7 Jul 2013 (W26),Columbus Crew SC (19),1-0,?,Portland Timbers (18),East,West,,
Regular,?,,(Sun) 7 Jul 2013 (W26),Montreal Impact (17),1-1,?,CD Chivas USA (18),East,West,,
Regular,?,,(Sun) 7 Jul 2013 (W26),Colorado Rapids (20),0-0,?,D.C. United (19),West,East,,
Regular,?,,(Mon) 8 Jul 2013 (W27),LA Galaxy (19),2-0,?,FC Dallas (19),West,West,,
Regular,?,,(Fri) 12 Jul 2013 (W27),Philadelphia Union (20),3-1,?,CD Chivas USA (19),East,West,,
Regular,?,,(Sat) 13 Jul 2013 (W27),New York Red Bulls (20),4-0,?,Montreal Impact (18),East,East,,
Regular,?,,(Sat) 13 Jul 2013 (W27),New England Revolution (18),1-2,?,Houston Dynamo (19),East,East,,
Regular,?,,(Sat) 13 Jul 2013 (W27),Sporting Kansas City (20),3-0,?,Toronto FC (18),East,East,,
Regular,?,,(Sat) 13 Jul 2013 (W27),FC Dallas (20),0-3,?,Real Salt Lake (20),West,West,,
Regular,?,,(Sun) 14 Jul 2013 (W27),San Jose Earthquakes (21),1-0,?,Seattle Sounders FC (17),West,West,,
Regular,?,,(Sun) 14 Jul 2013 (W27),Portland Timbers (19),2-1,?,LA Galaxy (20),West,West,,
Regular,?,,(Sun) 14 Jul 2013 (W27),Vancouver Whitecaps FC (19),3-1,?,Chicago Fire (18),West,East,,
Regular,?,,(Wed) 17 Jul 2013 (W28),Colorado Rapids (21),2-1,?,New England Revolution (19),West,East,,
Regular,?,,(Thu) 18 Jul 2013 (W28),CD Chivas USA (20),1-0,?,Toronto FC (19),West,East,,
Regular,?,,(Sat) 20 Jul 2013 (W28),Toronto FC (20),0-0,?,New York Red Bulls (21),East,East,,
Regular,?,,(Sat) 20 Jul 2013 (W28),Seattle Sounders FC (18),1-1,?,Colorado Rapids (22),West,West,,
Regular,?,,(Sat) 20 Jul 2013 (W28),Montreal Impact (19),0-0,?,FC Dallas (21),East,West,,
Regular,?,,(Sat) 20 Jul 2013 (W28),Philadelphia Union (21),0-0,?,Portland Timbers (20),East,West,,
Regular,?,,(Sat) 20 Jul 2013 (W28),Columbus Crew SC (20),0-2,?,New England Revolution (20),East,East,,
Regular,?,,(Sat) 20 Jul 2013 (W28),Chicago Fire (19),4-1,?,D.C. United (20),East,East,,
Regular,?,,(Sun) 21 Jul 2013 (W28),Real Salt Lake (21),1-2,?,Sporting Kansas City (21),West,East,,
Regular,?,,(Sun) 21 Jul 2013 (W28),LA Galaxy (21),2-1,?,Vancouver Whitecaps FC (20),West,West,,
Regular,?,,(Sat) 27 Jul 2013 (W29),Toronto FC (21),2-1,?,Columbus Crew SC (21),East,East,,
Regular,?,,(Sat) 27 Jul 2013 (W29),Montreal Impact (20),1-0,?,Sporting Kansas City (22),East,East,,
Regular,?,,(Sat) 27 Jul 2013 (W29),Vancouver Whitecaps FC (21),0-1,?,Philadelphia Union (22),West,East,,
Regular,?,,(Sat) 27 Jul 2013 (W29),New York Red Bulls (22),4-3,?,Real Salt Lake (22),East,West,,
Regular,?,,(Sat) 27 Jul 2013 (W29),D.C. United (21),1-2,?,New England Revolution (21),East,East,,
Regular,?,,(Sat) 27 Jul 2013 (W29),Colorado Rapids (23),2-0,?,LA Galaxy (22),West,West,,
Regular,?,,(Sat) 27 Jul 2013 (W29),Houston Dynamo (20),1-1,?,Chicago Fire (20),East,East,,
Regular,?,,(Sun) 28 Jul 2013 (W29),San Jose Earthquakes (22),2-1,?,Portland Timbers (21),West,West,,
Regular,?,,(Mon) 29 Jul 2013 (W30),Seattle Sounders FC (19),2-1,?,CD Chivas USA (21),West,West,,
Regular,?,,(Sat) 3 Aug 2013 (W30),Sporting Kansas City (23),2-3,?,New York Red Bulls (23),East,East,,
Regular,?,,(Sat) 3 Aug 2013 (W30),D.C. United (22),3-1,?,Montreal Impact (21),East,East,,
Regular,?,,(Sat) 3 Aug 2013 (W30),Philadelphia Union (23),1-2,?,Chicago Fire (21),East,East,,
Regular,?,,(Sat) 3 Aug 2013 (W30),Colorado Rapids (24),2-2,?,Real Salt Lake (23),West,West,,
Regular,?,,(Sat) 3 Aug 2013 (W30),Houston Dynamo (21),3-1,?,Columbus Crew SC (22),East,East,,
Regular,?,,(Sun) 4 Aug 2013 (W30),San Jose Earthquakes (23),2-0,?,CD Chivas USA (22),West,West,,
Regular,?,,(Sun) 4 Aug 2013 (W30),Seattle Sounders FC (20),3-0,?,FC Dallas (22),West,West,,
Regular,?,,(Sun) 4 Aug 2013 (W30),Portland Timbers (22),1-1,?,Vancouver Whitecaps FC (22),West,West,,
Regular,?,,(Sun) 4 Aug 2013 (W30),New England Revolution (22),0-1,?,Toronto FC (22),East,East,,
Regular,?,,(Sat) 10 Aug 2013 (W31),Toronto FC (23),1-2,?,Seattle Sounders FC (21),East,West,,
Regular,?,,(Sat) 10 Aug 2013 (W31),Vancouver Whitecaps FC (23),2-0,?,San Jose Earthquakes (24),West,West,,
Regular,?,,(Sat) 10 Aug 2013 (W31),Columbus Crew SC (23),2-0,?,New York Red Bulls (24),East,East,,
Regular,?,,(Sat) 10 Aug 2013 (W31),Philadelphia Union (24),2-0,?,D.C. United (23),East,East,,
Regular,?,,(Sat) 10 Aug 2013 (W31),Sporting Kansas City (24),3-0,?,New England Revolution (23),East,East,,
Regular,?,,(Sat) 10 Aug 2013 (W31),Chicago Fire (22),2-1,?,Montreal Impact (22),East,East,,
Regular,?,,(Sat) 10 Aug 2013 (W31),Real Salt Lake (24),1-0,?,Houston Dynamo (22),West,East,,
Regular,?,,(Sun) 11 Aug 2013 (W31),FC Dallas (23),3-3,?,LA Galaxy (23),West,West,,
Regular,?,,(Mon) 12 Aug 2013 (W32),CD Chivas USA (23),1-1,?,Colorado Rapids (25),West,West,,
Regular,?,,(Sat) 17 Aug 2013 (W32),Montreal Impact (23),2-1,?,D.C. United (24),East,East,,
Regular,?,,(Sat) 17 Aug 2013 (W32),New England Revolution (24),2-0,?,Chicago Fire (23),East,East,,
Regular,?,,(Sat) 17 Aug 2013 (W32),Columbus Crew SC (24),2-0,?,Toronto FC (24),East,East,,
Regular,?,,(Sat) 17 Aug 2013 (W32),New York Red Bulls (25),0-0,?,Philadelphia Union (25),East,East,,
Regular,?,,(Sat) 17 Aug 2013 (W32),Houston Dynamo (23),3-1,?,Seattle Sounders FC (22),East,West,,
Regular,?,,(Sat) 17 Aug 2013 (W32),Colorado Rapids (26),2-0,?,Vancouver Whitecaps FC (24),West,West,,
Regular,?,,(Sun) 18 Aug 2013 (W32),LA Galaxy (24),4-2,?,Real Salt Lake (25),West,West,,
Regular,?,,(Sun) 18 Aug 2013 (W32),Portland Timbers (23),2-1,?,FC Dallas (24),West,West,,
Regular,?,,(Mon) 19 Aug 2013 (W33),San Jose Earthquakes (25),1-0,?,Sporting Kansas City (25),West,East,,
Regular,?,,(Thu) 22 Aug 2013 (W33),CD Chivas USA (24),1-3,?,FC Dallas (25),West,West,,
Regular,?,,(Thu) 22 Aug 2013 (W33),Portland Timbers (24),3-3,?,Real Salt Lake (26),West,West,,
Regular,?,,(Fri) 23 Aug 2013 (W33),Chicago Fire (24),1-0,?,Sporting Kansas City (26),East,East,,
Regular,?,,(Sat) 24 Aug 2013 (W33),Montreal Impact (24),5-0,?,Houston Dynamo (24),East,East,,
Regular,?,,(Sat) 24 Aug 2013 (W33),D.C. United (25),1-1,?,Toronto FC (25),East,East,,
Regular,?,,(Sat) 24 Aug 2013 (W33),Vancouver Whitecaps FC (25),0-1,?,LA Galaxy (25),West,West,,
