Stage,Round,Leg,Date,Team 1,FT,HT,Team 2,Conf 1,Conf 2,ET,P
Regular,?,,(Sat) 2 Mar 2013 (W8),Philadelphia Union (1),1-3,?,Sporting Kansas City (1),East,East,,
Regular,?,,(Sat) 2 Mar 2013 (W8),Vancouver Whitecaps FC (1),1-0,?,Toronto FC (1),West,East,,
Regular,?,,(Sat) 2 Mar 2013 (W8),Houston Dynamo (1),2-0,?,D.C. United (1),East,East,,
Regular,?,,(Sat) 2 Mar 2013 (W8),FC Dallas (1),1-0,?,Colorado Rapids (1),West,West,,
Regular,?,,(Sun) 3 Mar 2013 (W8),Seattle Sounders FC (1),0-1,?,Montreal Impact (1),West,East,,
Regular,?,,(Sun) 3 Mar 2013 (W8),CD Chivas USA (1),0-3,?,Columbus Crew SC (1),West,East,,
Regular,?,,(Sun) 3 Mar 2013 (W8),LA Galaxy (1),4-0,?,Chicago Fire (1),West,East,,
Regular,?,,(Sun) 3 Mar 2013 (W8),Portland Timbers (1),3-3,?,New York Red Bulls (1),West,East,,
Regular,?,,(Mon) 4 Mar 2013 (W9),San Jose Earthquakes (1),0-2,?,Real Salt Lake (1),West,West,,
Regular,?,,(Sat) 9 Mar 2013 (W9),Toronto FC (2),2-1,?,Sporting Kansas City (2),East,East,,
Regular,?,,(Sat) 9 Mar 2013 (W9),D.C. United (2),1-0,?,Real Salt Lake (2),East,West,,
Regular,?,,(Sat) 9 Mar 2013 (W9),Vancouver Whitecaps FC (2),2-1,?,Columbus Crew SC (2),West,East,,
Regular,?,,(Sat) 9 Mar 2013 (W9),Chicago Fire (2),0-1,?,New England Revolution (1),East,East,,
Regular,?,,(Sun) 10 Mar 2013 (W9),Portland Timbers (2),1-2,?,Montreal Impact (2),West,East,,
Regular,?,,(Sun) 10 Mar 2013 (W9),Colorado Rapids (2),1-2,?,Philadelphia Union (2),West,East,,
Regular,?,,(Sun) 10 Mar 2013 (W9),CD Chivas USA (2),3-1,?,FC Dallas (2),West,West,,
Regular,?,,(Mon) 11 Mar 2013 (W10),San Jose Earthquakes (2),2-1,?,New York Red Bulls (2),West,East,,
Regular,?,,(Sat) 16 Mar 2013 (W10),New York Red Bulls (3),0-0,?,D.C. United (3),East,East,,
Regular,?,,(Sat) 16 Mar 2013 (W10),Sporting Kansas City (3),0-0,?,Chicago Fire (3),East,East,,
Regular,?,,(Sat) 16 Mar 2013 (W10),Montreal Impact (3),2-1,?,Toronto FC (3),East,East,,
Regular,?,,(Sat) 16 Mar 2013 (W10),Philadelphia Union (3),1-0,?,New England Revolution (2),East,East,,
Regular,?,,(Sat) 16 Mar 2013 (W10),Columbus Crew SC (3),1-1,?,San Jose Earthquakes (3),East,West,,
Regular,?,,(Sat) 16 Mar 2013 (W10),Real Salt Lake (3),1-1,?,Colorado Rapids (3),West,West,,
Regular,?,,(Sat) 16 Mar 2013 (W10),Seattle Sounders FC (2),1-1,?,Portland Timbers (3),West,West,,
Regular,?,,(Sun) 17 Mar 2013 (W10),FC Dallas (3),3-2,?,Houston Dynamo (2),West,East,,
Regular,?,,(Sun) 17 Mar 2013 (W10),LA Galaxy (2),1-1,?,CD Chivas USA (3),West,West,,
Regular,?,,(Sat) 23 Mar 2013 (W11),D.C. United (4),1-2,?,Columbus Crew SC (4),East,East,,
Regular,?,,(Sat) 23 Mar 2013 (W11),New England Revolution (3),0-0,?,Sporting Kansas City (4),East,East,,
Regular,?,,(Sat) 23 Mar 2013 (W11),Montreal Impact (4),1-0,?,New York Red Bulls (4),East,East,,
Regular,?,,(Sat) 23 Mar 2013 (W11),FC Dallas (4),2-0,?,Real Salt Lake (4),West,West,,
Regular,?,,(Sat) 23 Mar 2013 (W11),Houston Dynamo (3),2-1,?,Vancouver Whitecaps FC (3),East,West,,
Regular,?,,(Sun) 24 Mar 2013 (W11),San Jose Earthquakes (4),1-0,?,Seattle Sounders FC (3),West,West,,
Regular,?,,(Sun) 24 Mar 2013 (W11),LA Galaxy (3),1-0,?,Colorado Rapids (4),West,West,,
Regular,?,,(Sun) 24 Mar 2013 (W11),Chicago Fire (4),1-4,?,CD Chivas USA (4),East,West,,
Regular,?,,(Sat) 30 Mar 2013 (W12),Toronto FC (4),2-2,?,LA Galaxy (4),East,West,,
Regular,?,,(Sat) 30 Mar 2013 (W12),New York Red Bulls (5),2-1,?,Philadelphia Union (4),East,East,,
Regular,?,,(Sat) 30 Mar 2013 (W12),New England Revolution (4),0-1,?,FC Dallas (5),East,West,,
Regular,?,,(Sat) 30 Mar 2013 (W12),Colorado Rapids (5),2-2,?,Portland Timbers (4),West,West,,
Regular,?,,(Sat) 30 Mar 2013 (W12),Houston Dynamo (4),2-0,?,San Jose Earthquakes (5),East,West,,
Regular,?,,(Sat) 30 Mar 2013 (W12),Sporting Kansas City (5),2-0,?,Montreal Impact (5),East,East,,
Regular,?,,(Sat) 30 Mar 2013 (W12),Real Salt Lake (5),2-1,?,Seattle Sounders FC (4),West,West,,
Regular,?,,(Sun) 31 Mar 2013 (W12),CD Chivas USA (5),2-1,?,Vancouver Whitecaps FC (4),West,West,,
Regular,?,,(Fri) 5 Apr 2013 (W13),Sporting Kansas City (6),1-0,?,D.C. United (5),East,East,,
Regular,?,,(Sat) 6 Apr 2013 (W13),Toronto FC (5),2-2,?,FC Dallas (6),East,West,,
Regular,?,,(Sat) 6 Apr 2013 (W13),Columbus Crew SC (5),1-1,?,Philadelphia Union (5),East,East,,
Regular,?,,(Sat) 6 Apr 2013 (W13),Colorado Rapids (6),1-0,?,Real Salt Lake (6),West,West,,
Regular,?,,(Sun) 7 Apr 2013 (W13),San Jose Earthquakes (6),1-1,?,Vancouver Whitecaps FC (5),West,West,,
Regular,?,,(Sun) 7 Apr 2013 (W13),Portland Timbers (5),2-0,?,Houston Dynamo (5),West,East,,
Regular,?,,(Sun) 7 Apr 2013 (W13),Chicago Fire (5),3-1,?,New York Red Bulls (6),East,East,,
Regular,?,,(Sat) 13 Apr 2013 (W14),Seattle Sounders FC (5),0-0,?,New England Revolution (5),West,East,,
Regular,?,,(Sat) 13 Apr 2013 (W14),Philadelphia Union (6),1-1,?,Toronto FC (6),East,East,,
Regular,?,,(Sat) 13 Apr 2013 (W14),Vancouver Whitecaps FC (6),1-1,?,Real Salt Lake (7),West,West,,
Regular,?,,(Sat) 13 Apr 2013 (W14),D.C. United (6),0-2,?,New York Red Bulls (7),East,East,,
Regular,?,,(Sat) 13 Apr 2013 (W14),FC Dallas (7),1-0,?,LA Galaxy (5),West,West,,
Regular,?,,(Sun) 14 Apr 2013 (W14),CD Chivas USA (6),0-1,?,Colorado Rapids (7),West,West,,
Regular,?,,(Sun) 14 Apr 2013 (W14),Montreal Impact (6),1-1,?,Columbus Crew SC (6),East,East,,
Regular,?,,(Sun) 14 Apr 2013 (W14),Houston Dynamo (6),2-1,?,Chicago Fire (6),East,East,,
Regular,?,,(Mon) 15 Apr 2013 (W15),Portland Timbers (6),1-0,?,San Jose Earthquakes (7),West,West,,
Regular,?,,(Wed) 17 Apr 2013 (W15),New York Red Bulls (8),0-1,?,Sporting Kansas City (7),East,East,,
Regular,?,,(Sat) 20 Apr 2013 (W15),Toronto FC (7),1-1,?,Houston Dynamo (7),East,East,,
Regular,?,,(Sat) 20 Apr 2013 (W15),Colorado Rapids (8),0-1,?,Seattle Sounders FC (6),West,West,,
Regular,?,,(Sat) 20 Apr 2013 (W15),New York Red Bulls (9),4-1,?,New England Revolution (6),East,East,,
Regular,?,,(Sat) 20 Apr 2013 (W15),Chicago Fire (7),1-0,?,Columbus Crew SC (7),East,East,,
Regular,?,,(Sat) 20 Apr 2013 (W15),FC Dallas (8),2-0,?,Vancouver Whitecaps FC (7),West,West,,
Regular,?,,(Sat) 20 Apr 2013 (W15),Real Salt Lake (8),1-0,?,CD Chivas USA (7),West,West,,
Regular,?,,(Sun) 21 Apr 2013 (W15),LA Galaxy (6),2-0,?,Sporting Kansas City (8),West,East,,
Regular,?,,(Sun) 21 Apr 2013 (W15),D.C. United (7),2-3,?,Philadelphia Union (7),East,East,,
Regular,?,,(Mon) 22 Apr 2013 (W16),San Jose Earthquakes (8),1-1,?,Portland Timbers (7),West,West,,
Regular,?,,(Sat) 27 Apr 2013 (W16),Toronto FC (8),1-2,?,New York Red Bulls (10),East,East,,
Regular,?,,(Sat) 27 Apr 2013 (W16),Montreal Impact (7),2-0,?,Chicago Fire (8),East,East,,
Regular,?,,(Sat) 27 Apr 2013 (W16),Vancouver Whitecaps FC (8),2-2,?,FC Dallas (9),West,West,,
Regular,?,,(Sat) 27 Apr 2013 (W16),New England Revolution (7),2-0,?,Philadelphia Union (8),East,East,,
Regular,?,,(Sat) 27 Apr 2013 (W16),Columbus Crew SC (8),3-0,?,D.C. United (8),East,East,,
Regular,?,,(Sat) 27 Apr 2013 (W16),Sporting Kansas City (9),2-3,?,Portland Timbers (8),East,West,,
Regular,?,,(Sat) 27 Apr 2013 (W16),Real Salt Lake (9),0-2,?,LA Galaxy (7),West,West,,
Regular,?,,(Sun) 28 Apr 2013 (W16),CD Chivas USA (8),2-2,?,San Jose Earthquakes (9),West,West,,
Regular,?,,(Sun) 28 Apr 2013 (W16),Houston Dynamo (8),1-1,?,Colorado Rapids (9),East,West,,
Regular,?,,(Fri) 3 May 2013 (W17),Portland Timbers (9),0-0,?,New England Revolution (8),West,East,,
Regular,?,,(Sat) 4 May 2013 (W17),San Jose Earthquakes (10),2-2,?,Montreal Impact (8),West,East,,
Regular,?,,(Sat) 4 May 2013 (W17),Philadelphia Union (9),2-2,?,Seattle Sounders FC (7),East,West,,
Regular,?,,(Sat) 4 May 2013 (W17),Columbus Crew SC (9),0-1,?,New York Red Bulls (11),East,East,,
Regular,?,,(Sat) 4 May 2013 (W17),Real Salt Lake (10),2-0,?,Vancouver Whitecaps FC (9),West,West,,
Regular,?,,(Sat) 4 May 2013 (W17),Colorado Rapids (10),1-0,?,Toronto FC (9),West,East,,
Regular,?,,(Sun) 5 May 2013 (W17),Sporting Kansas City (10),4-0,?,CD Chivas USA (9),East,West,,
Regular,?,,(Mon) 6 May 2013 (W18),LA Galaxy (8),0-1,?,Houston Dynamo (9),West,East,,
Regular,?,,(Wed) 8 May 2013 (W18),D.C. United (9),0-4,?,Houston Dynamo (10),East,East,,
Regular,?,,(Wed) 8 May 2013 (W18),New York Red Bulls (12),2-1,?,Montreal Impact (9),East,East,,
Regular,?,,(Wed) 8 May 2013 (W18),New England Revolution (9),1-2,?,Real Salt Lake (11),East,West,,
Regular,?,,(Wed) 8 May 2013 (W18),Sporting Kansas City (11),0-1,?,Seattle Sounders FC (8),East,West,,
Regular,?,,(Wed) 8 May 2013 (W18),FC Dallas (10),1-1,?,Portland Timbers (10),West,West,,
Regular,?,,(Thu) 9 May 2013 (W18),San Jose Earthquakes (11),2-1,?,Toronto FC (10),West,East,,
Regular,?,,(Sat) 11 May 2013 (W18),Chicago Fire (9),0-1,?,Philadelphia Union (10),East,East,,
Regular,?,,(Sat) 11 May 2013 (W18),Montreal Impact (10),3-2,?,Real Salt Lake (12),East,West,,
Regular,?,,(Sat) 11 May 2013 (W18),Seattle Sounders FC (9),4-0,?,San Jose Earthquakes (12),West,West,,
Regular,?,,(Sat) 11 May 2013 (W18),Vancouver Whitecaps FC (10),3-1,?,LA Galaxy (9),West,West,,
Regular,?,,(Sat) 11 May 2013 (W18),Columbus Crew SC (10),0-2,?,Colorado Rapids (11),East,West,,
Regular,?,,(Sat) 11 May 2013 (W18),New England Revolution (10),1-1,?,New York Red Bulls (13),East,East,,
Regular,?,,(Sat) 11 May 2013 (W18),FC Dallas (11),2-1,?,D.C. United (10),West,East,,
Regular,?,,(Sun) 12 May 2013 (W18),Portland Timbers (11),3-0,?,CD Chivas USA (10),West,West,,
Regular,?,,(Sun) 12 May 2013 (W18),Houston Dynamo (11),0-1,?,Sporting Kansas City (12),East,East,,
Regular,?,,(Wed) 15 May 2013 (W19),Philadelphia Union (11),1-4,?,LA Galaxy (10),East,West,,
Regular,?,,(Sat) 18 May 2013 (W19),Toronto FC (11),0-1,?,Columbus Crew SC (11),East,East,,
Regular,?,,(Sat) 18 May 2013 (W19),Vancouver Whitecaps FC (11),2-2,?,Portland Timbers (12),West,West,,
Regular,?,,(Sat) 18 May 2013 (W19),Philadelphia Union (12),1-0,?,Chicago Fire (10),East,East,,
Regular,?,,(Sat) 18 May 2013 (W19),Houston Dynamo (12),0-2,?,New England Revolution (11),East,East,,
Regular,?,,(Sun) 19 May 2013 (W19),Seattle Sounders FC (10),4-2,?,FC Dallas (12),West,West,,
Regular,?,,(Sun) 19 May 2013 (W19),San Jose Earthquakes (13),1-1,?,Colorado Rapids (12),West,West,,
Regular,?,,(Sun) 19 May 2013 (W19),New York Red Bulls (14),1-0,?,LA Galaxy (11),East,West,,
Regular,?,,(Sun) 19 May 2013 (W19),D.C. United (11),1-1,?,Sporting Kansas City (13),East,East,,
Regular,?,,(Mon) 20 May 2013 (W20),CD Chivas USA (11),1-4,?,Real Salt Lake (13),West,West,,
Regular,?,,(Sat) 25 May 2013 (W20),Montreal Impact (11),5-3,?,Philadelphia Union (13),East,East,,
Regular,?,,(Sat) 25 May 2013 (W20),D.C. United (12),0-2,?,Portland Timbers (13),East,West,,
Regular,?,,(Sat) 25 May 2013 (W20),New England Revolution (12),2-0,?,Toronto FC (12),East,East,,
Regular,?,,(Sat) 25 May 2013 (W20),FC Dallas (13),1-0,?,San Jose Earthquakes (14),West,West,,
Regular,?,,(Sat) 25 May 2013 (W20),Real Salt Lake (14),1-1,?,Chicago Fire (11),West,East,,
Regular,?,,(Sat) 25 May 2013 (W20),Colorado Rapids (13),2-0,?,CD Chivas USA (12),West,West,,
Regular,?,,(Sun) 26 May 2013 (W20),Sporting Kansas City (14),1-1,?,Houston Dynamo (13),East,East,,
Regular,?,,(Sun) 26 May 2013 (W20),New York Red Bulls (15),2-2,?,Columbus Crew SC (12),East,East,,
Regular,?,,(Mon) 27 May 2013 (W21),LA Galaxy (12),4-0,?,Seattle Sounders FC (11),West,West,,
Regular,?,,(Sat) 1 Jun 2013 (W21),Toronto FC (13),1-1,?,Philadelphia Union (14),East,East,,
Regular,?,,(Sat) 1 Jun 2013 (W21),New York Red Bulls (16),1-2,?,Vancouver Whitecaps FC (12),East,West,,
Regular,?,,(Sat) 1 Jun 2013 (W21),Columbus Crew SC (13),1-1,?,Houston Dynamo (14),East,East,,
Regular,?,,(Sat) 1 Jun 2013 (W21),Sporting Kansas City (15),1-2,?,Montreal Impact (12),East,East,,
Regular,?,,(Sat) 1 Jun 2013 (W21),Colorado Rapids (14),2-2,?,FC Dallas (14),West,West,,
Regular,?,,(Sat) 1 Jun 2013 (W21),Real Salt Lake (15),3-0,?,San Jose Earthquakes (15),West,West,,
Regular,?,,(Sun) 2 Jun 2013 (W21),CD Chivas USA (13),0-2,?,Seattle Sounders FC (12),West,West,,
Regular,?,,(Sun) 2 Jun 2013 (W21),New England Revolution (13),5-0,?,LA Galaxy (13),East,West,,
Regular,?,,(Sun) 2 Jun 2013 (W21),Chicago Fire (12),2-0,?,D.C. United (13),East,East,,
Regular,?,,(Wed) 5 Jun 2013 (W22),Philadelphia Union (15),3-0,?,Columbus Crew SC (14),East,East,,
Regular,?,,(Sat) 8 Jun 2013 (W22),New England Revolution (14),0-0,?,D.C. United (14),East,East,,
